OBJECTID,JoinID,JoinID 1910,Valid in 1910,Geometry Check 1910,FULL_STREE,ST Name Alternate 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
135,G00000135,G00000135,1,1,W 8,NA,W 8,1701,1709,1702,1710,1031,1031,W 8
136,G00000136,G00000136,1,1,34,NA,34,191,233,NA,NA,132,133,34
137,G00000137,G00000137,1,1,E 3,NA,E 3,679,741,676,738,1027,1027,E 3
138,G00000138,G00000138,1,1,SCHOLES,NA,SCHOLES,NA,NA,NA,NA,416,416,SCHOLES
139,G00000139,G00000139,1,1,MEADOW,NA,MEADOW,1,39,2,40,417,417,MEADOW
140,G00000140,G00000140,1,1,EVANS,NA,EVANS,11,25,12,22,41,42,EVANS
141,G00000141,G00000141,1,1,ESPLANADE,NA,ESPLANADE,NA,NA,NA,NA,1034,1034,ESPLANADE
142,G00000142,G00000142,1,1,E 84,NA,E 84,1301,1383,1302,1384,989,989,E 84
143,G00000143,G00000143,1,1,STILLWELL AVE,W 14,STILLWELL AVE,NA,NA,NA,NA,1038,1048,STILLWELL AVE
144,G00000144,G00000144,1,1,21 AVE,BAY 27,21 AVE,6001,6023,NA,NA,1058,1058,21 AVE
145,G00000145,G00000145,1,1,MONTGOMERY,NA,MONTGOMERY,NA,NA,NA,NA,677,677,MONTGOMERY
146,G00000146,G00000146,1,1,E 49,NA,E 49,339,409,340,410,951,951,E 49
147,G00000147,G00000147,1,1,DOUGHTY,NA,DOUGHTY,51,61,50,58,1,1,DOUGHTY
148,G00000148,G00000148,1,1,STRAUSS,DOUGLASS,DOUGLASS,1847,1953,1872,1942,728,728,DOUGLASS
149,G00000149,G00000149,1,1,GIRARD,NA,GIRARD,101,199,100,198,1034,1034,GIRARD
150,G00000150,G00000150,1,1,NEW YORK AVE,NA,NEW YORK AVE,NA,NA,NA,NA,625,624,NEW YORK AVE
151,G00000151,G00000151,1,1,INDIA,NA,INDIA,1,27,2,28,360,360,INDIA
152,G00000152,G00000152,1,1,FROST,NA,FROST,1,47,2,48,297,297,FROST
153,G00000153,G00000153,1,1,GLENMORE AVE,NA,GLENMORE AVE,631,655,632,656,779,780,GLENMORE AVE
154,G00000154,G00000154,1,1,GEORGIA AVE,NA,GEORGIA AVE,309,367,310,368,792,792,GEORGIA AVE
155,G00000155,G00000155,1,1,AVE H,NA,AVE H,3901,3923,3902,3924,996,996,AVE H
156,G00000156,G00000156,1,1,COLUMBIA,NA,COLUMBIA,379,381,NA,NA,252,246,COLUMBIA
157,G00000157,G00000157,1,1,E 55,NA,E 55,1715,1759,1716,1760,1001,1001,E 55
158,G00000158,G00000158,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,305,323,312,330,302,306,MANHATTAN AVE
159,G00000159,G00000159,1,1,AVE W,NA,AVE W,NA,NA,NA,NA,1003,1003,AVE W
160,G00000160,G00000160,1,1,ELDERT LN,NA,ELDERT LN,NA,NA,152,186,970,970,ELDERT LN
161,G00000161,G00000161,1,1,BERGEN,NA,BERGEN,2011,2081,2012,2086,641,641,BERGEN
162,G00000162,G00000162,1,1,10 AVE,NA,10 AVE,6700,6724,6701,6725,1068,1068,10 AVE
163,G00000163,G00000163,1,1,E 34,NA,E 34,537,617,538,618,994,994,E 34
164,G00000164,G00000164,1,1,UTICA AVE,NA,UTICA AVE,NA,NA,NA,NA,995,995,UTICA AVE
165,G00000165,G00000165,1,1,BELMONT AVE,NA,BELMONT AVE,895,913,896,914,978,978,BELMONT AVE
166,G00000166,G00000166,1,1,SHEPHERD AVE,NA,SHEPHERD AVE,337,363,336,366,777,777,SHEPHERD AVE
167,G00000167,G00000167,1,1,REEVE PL,NA,REEVE PL,31,61,28,52,920,920,REEVE PL
168,G00000168,G00000168,1,1,E 80,NA,E 80,NA,NA,NA,NA,989,989,E 80
169,G00000169,G00000169,1,1,23 AVE,NA,23 AVE,8601,8671,8602,8666,1050,1051,23 AVE
170,G00000170,G00000170,1,1,ATLANTIC AVE,NA,ATLANTIC AVE,NA,NA,2818,2840,766,766,ATLANTIC AVE
171,G00000171,G00000171,1,1,JAY,NA,JAY,259,269,260,286,38,38,JAY
172,G00000172,G00000172,1,1,SAINT MARKS AVE,NA,SAINT MARKS AVE,1393,1457,1396,1462,638,646,SAINT MARKS AVE
173,G00000173,G00000173,1,1,JEFFERSON AVE,NA,JEFFERSON AVE,271,343,272,344,606,606,JEFFERSON AVE
174,G00000174,G00000174,1,1,CORTELYOU RD,NA,CORTELYOU RD,1,11,2,12,1022,1022,CORTELYOU RD
175,G00000175,G00000175,1,1,UNDERHILL AVE,NA,UNDERHILL AVE,217,239,226,230,192,192,UNDERHILL AVE
176,G00000176,G00000176,1,1,E 16,NA,E 16,801,823,800,826,1406,1406,E 16
177,G00000177,G00000177,1,1,ALBEMARLE RD,NA,ALBEMARLE RD,1301,1325,NA,NA,1019,1019,ALBEMARLE RD
178,G00000178,G00000178,1,1,DUMONT AVE,NA,DUMONT AVE,533,563,542,564,805,805,DUMONT AVE
179,G00000179,G00000179,1,1,90,NA,90,301,367,302,368,1081,1081,90
180,G00000180,G00000180,1,1,16 AVE,NA,16 AVE,7701,7723,7702,7724,1074,1074,16 AVE
181,G00000181,G00000181,1,1,7 AVE,NA,7 AVE,161,171,156,170,566,566,7 AVE
182,G00000182,G00000182,1,1,MYRTLE AVE,NA,MYRTLE AVE,579,597,586,602,83,94,MYRTLE AVE
183,G00000183,G00000183,1,1,NOSTRAND AVE,NA,NOSTRAND AVE,1705,1733,1696,1744,1404,1404,NOSTRAND AVE
184,G00000184,G00000184,1,1,86,NA,86,NA,NA,1464,1484,1077,1077,86
185,G00000185,G00000185,1,1,N 8,NA,N 8,157,195,156,198,280,288,N 8
186,G00000186,G00000186,1,1,4 AVE,NA,4 AVE,NA,NA,378,396,539,523,4 AVE
187,G00000187,G00000187,1,1,BATH AVE,NA,BATH AVE,2401,2423,2402,2424,1050,1050,BATH AVE
188,G00000188,G00000188,1,1,JOHNSON AVE,NA,JOHNSON AVE,243,259,228,246,340,342,JOHNSON AVE
189,G00000189,G00000189,1,1,FULTON,NA,FULTON,1813,1829,1858,1872,703,704,FULTON
190,G00000190,G00000190,1,1,19,NA,19,1,109,2,110,115,115,19
191,G00000191,G00000191,1,1,AVE Q,NA,AVE Q,NA,NA,NA,NA,1001,1001,AVE Q
192,G00000192,G00000192,1,1,RIDGE BLVD,2 AVE,RIDGE BLVD,7701,7721,7702,7724,1413,1099,RIDGE BLVD
193,G00000193,G00000193,1,1,WEIRFIELD,NA,WEIRFIELD,177,233,180,236,905,907,WEIRFIELD
194,G00000194,G00000194,1,1,NARROWS AVE,NA,NARROWS AVE,NA,NA,NA,NA,1083,1083,NARROWS AVE
195,G00000195,G00000195,1,1,70,NA,70,1501,1549,1500,1550,1412,1412,70
196,G00000196,G00000196,1,1,ATLANTIC AVE,NA,ATLANTIC AVE,2767,2783,NA,NA,764,764,ATLANTIC AVE
197,G00000197,G00000197,1,1,FLATLAND AVE,NA,FLATLAND AVE,NA,NA,NA,NA,1008,1001,FLATLAND AVE
198,G00000198,G00000198,1,1,60,NA,60,NA,NA,NA,NA,1059,1059,60
199,G00000199,G00000199,1,1,SHEPHERD AVE,NA,SHEPHERD AVE,NA,NA,752,806,983,983,SHEPHERD AVE
200,G00000200,G00000200,1,1,E 9,NA,E 9,517,563,514,564,1026,1026,E 9
201,G00000201,G00000201,1,1,FLATBUSH AVE,NA,FLATBUSH AVE,581,605,578,604,931,931,FLATBUSH AVE
202,G00000202,G00000202,1,1,65,NA,65,1001,1071,1002,1078,1068,1068,65
203,G00000203,G00000203,1,1,CT,NA,CT,367,383,388,406,217,78,CT
204,G00000204,G00000204,1,1,W 23,NA,W 23,2801,2891,2802,2880,1046,1046,W 23
205,G00000205,G00000205,1,1,KENT AVE,NA,KENT AVE,403,419,404,422,270,270,KENT AVE
206,G00000206,G00000206,1,1,KEAP,NA,KEAP,443,459,432,450,307,308,KEAP
207,G00000207,G00000207,1,1,E 43,NA,E 43,1033,1103,1024,1106,999,999,E 43
208,G00000208,G00000208,1,1,FULTON,NA,FULTON,1035,1055,1004,1016,112,112,FULTON
209,G00000209,G00000209,1,1,E 27,NA,E 27,1301,1385,1302,1386,1008,1008,E 27
210,G00000210,G00000210,1,1,SAINT NICHOLASS AVE,NA,SAINT NICHOLASS AVE,81,101,82,102,864,864,SAINT NICHOLASS AVE
211,G00000211,G00000211,1,1,TILDEN AVE,NA,TILDEN AVE,3401,3423,3400,3422,992,992,TILDEN AVE
212,G00000212,G00000212,1,1,BOERUM,NA,BOERUM,219,291,216,290,421,421,BOERUM
213,G00000213,G00000213,1,1,19 AVE,NA,19 AVE,8401,8417,8402,8422,1054,1055,19 AVE
214,G00000214,G00000214,1,1,BROADWAY,NA,BROADWAY,867,883,872,880,812,517,BROADWAY
215,G00000215,G00000215,1,1,67,NA,67,1201,1279,1202,1280,1070,1070,67
216,G00000216,G00000216,1,1,UTICA AVE,NA,UTICA AVE,NA,NA,NA,NA,1000,1000,UTICA AVE
217,G00000217,G00000217,1,1,KEAP,NA,KEAP,173,233,176,236,436,441,KEAP
218,G00000218,G00000218,1,1,AVE K,NA,AVE K,2301,2317,2302,2318,1008,1008,AVE K
219,G00000219,G00000219,1,1,CORTELYOU RD,NA,CORTELYOU RD,NA,NA,NA,NA,992,992,CORTELYOU RD
221,G00000220,G00000221,1,1,VOORHEES AVE,NA,VOORHEES AVE,2001,2021,2002,2022,1004,1004,VOORHEES AVE
222,G00000221,G00000222,1,1,LIBERTY AVE,NA,LIBERTY AVE,789,815,792,816,974,977,LIBERTY AVE
223,G00000222,G00000223,1,1,MIDWOOD,NA,MIDWOOD,315,379,312,388,940,940,MIDWOOD
224,G00000223,G00000224,1,1,HANCOCK,NA,HANCOCK,1389,1401,1390,1400,NA,NA,HANCOCK
225,G00000224,G00000225,1,1,BKLYN AVE,NA,BKLYN AVE,1767,1849,1768,1850,999,999,BKLYN AVE
226,G00000225,G00000226,1,1,EAST PKWY,NA,EAST PKWY,NA,NA,1814,1844,643,643,EAST PKWY
227,G00000226,G00000227,1,1,AVE J,NA,AVE J,NA,NA,NA,NA,1008,1008,AVE J
228,G00000227,G00000228,1,1,E 89,NA,E 89,739,739,714,742,990,990,E 89
229,G00000228,G00000229,1,1,48,NA,48,401,475,402,476,144,148,48
230,G00000229,G00000230,1,1,80,NA,80,2001,2083,2002,2084,1057,1057,80
231,G00000230,G00000231,1,1,E 88,NA,E 88,701,749,702,750,990,990,E 88
232,G00000231,G00000232,1,1,E 16,NA,E 16,367,413,372,430,1014,1024,E 16
233,G00000232,G00000233,1,1,77,NA,77,1201,1273,1202,1284,1072,1072,77
234,G00000233,G00000234,1,1,ROEBLING,NA,ROEBLING,175,193,180,194,266,265,ROEBLING
235,G00000234,G00000235,1,1,ROGERS AVE,NA,ROGERS AVE,1195,1213,1198,1222,1405,1012,ROGERS AVE
236,G00000235,G00000236,1,1,COLONIAL RD,NA,COLONIAL RD,NA,NA,NA,NA,1099,1099,COLONIAL RD
237,G00000236,G00000237,1,1,SHEPHERD AVE,NA,SHEPHERD AVE,437,471,426,454,777,777,SHEPHERD AVE
238,G00000237,G00000238,1,1,AVE J,NA,AVE J,1801,1823,1804,1820,1008,1008,AVE J
239,G00000238,G00000239,1,1,10 AVE,NA,10 AVE,4601,4623,4602,4624,1089,1089,10 AVE
240,G00000239,G00000240,1,1,E 16,NA,E 16,1701,1781,1702,1798,1007,1007,E 16
241,G00000240,G00000241,1,1,WELLINGTON CT,NA,WELLINGTON CT,15,65,16,66,1406,1406,WELLINGTON CT
242,G00000241,G00000242,1,1,WILSON AVE,NA,HAMBURG AVE,93,107,96,110,845,834,HAMBURG AVE
243,G00000242,G00000243,1,1,DITMAS AVE,NA,DITMAS AVE,901,925,902,936,1023,1026,DITMAS AVE
244,G00000243,G00000244,1,1,S 1,NA,S 1,109,147,108,140,263,263,S 1
245,G00000244,G00000245,1,1,HENRY,NA,HENRY,569,587,554,572,79,75,HENRY
246,G00000245,G00000246,1,1,BRGHTN 3,NA,BRGHTN 3,NA,NA,NA,NA,1035,1035,BRGHTN 3
247,G00000246,G00000247,1,1,PROSPECT PL,NA,PROSPECT PL,797,865,802,876,654,654,PROSPECT PL
248,G00000247,G00000248,1,1,E NEW YORK AVE,NA,E NEW YORK AVE,NA,NA,NA,NA,949,949,E NEW YORK AVE
249,G00000248,G00000249,1,1,MORGAN AVE,NA,MORGAN AVE,647,689,630,686,396,396,MORGAN AVE
250,G00000249,G00000250,1,1,HERKIMER,NA,HERKIMER,869,891,870,892,705,705,HERKIMER
251,G00000250,G00000251,1,1,6 AVE,NA,6 AVE,4901,4923,4902,4922,147,147,6 AVE
252,G00000251,G00000252,1,1,WILLOUGHBY,NA,WILLOUGHBY,95,115,86,104,226,227,WILLOUGHBY
253,G00000252,G00000253,1,1,E 89,NA,E 89,NA,NA,NA,NA,990,990,E 89
