OBJECTID,JoinID,JoinID 1910,Valid in 1910,Geometry Check 1910,FULL_STREE,ST Name Alternate 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
1,G00000001,G00000001,1,1,SCHERMERHORN,NA,SCHERMERHORN,317,363,316,368,22,30,SCHERMERHORN
2,G00000002,G00000002,1,1,WALWORTH,NA,WALWORTH,73,119,80,124,478,478,WALWORTH
3,G00000003,G00000003,1,1,58,NA,58,701,783,702,772,1094,1094,58
4,G00000004,G00000004,1,1,AVE I,NA,AVE I,601,621,602,622,1030,1030,AVE I
5,G00000005,G00000005,1,1,AVE N,NA,AVE N,NA,NA,NA,NA,1009,1007,AVE N
6,G00000006,G00000006,1,1,AVE W,NA,AVE W,NA,NA,NA,NA,1037,1037,AVE W
7,G00000007,G00000007,1,1,PITKIN AVE,NA,PITKIN AVE,2153,2173,2154,2176,782,783,PITKIN AVE
8,G00000008,G00000008,1,1,BRAGG,NA,BRAGG,NA,NA,NA,NA,1005,1005,BRAGG
9,G00000009,G00000009,1,1,CROPSEY AVE,NA,CROPSEY AVE,2301,2335,NA,NA,1050,1050,CROPSEY AVE
10,G00000010,G00000010,1,1,KINGSHIGWY,NA,KINGSHIGWY,NA,NA,284,302,1031,1031,KINGSHIGWY
11,G00000011,G00000011,1,1,E 96,NA,E 96,NA,NA,NA,NA,955,955,E 96
12,G00000012,G00000012,1,1,AVE P,NA,AVE P,4103,4115,4102,4124,1001,1001,AVE P
13,G00000013,G00000013,1,1,AVE J,NA,AVE J,8901,8917,8902,8918,990,989,AVE J
14,G00000014,G00000014,1,1,WILLIAMS AVE,NA,WILLIAMS AVE,NA,NA,NA,NA,750,750,WILLIAMS AVE
15,G00000015,G00000015,1,1,WOODBINE,NA,WOODBINE,97,149,98,150,888,896,WOODBINE
16,G00000016,G00000016,1,1,SCOTT AVE,NA,SCOTT AVE,NA,NA,NA,NA,409,409,SCOTT AVE
17,G00000017,G00000017,1,1,36,NA,36,1401,1485,1400,1484,1064,1064,36
18,G00000018,G00000018,1,1,46,NA,46,NA,NA,NA,NA,143,144,46
19,G00000019,G00000019,1,1,NEW LOTS AVE,NA,NEW LOTS AVE,833,857,832,858,810,810,NEW LOTS AVE
20,G00000020,G00000020,1,0,ASSEMBLY RD,NA,ASSEMBLY RD,NA,NA,NA,NA,432,432,ASSEMBLY RD
21,G00000021,G00000021,1,1,AVE P,NA,AVE P,1601,1613,NA,NA,1007,1007,AVE P
22,G00000022,G00000022,1,1,CONSELYEA,NA,CONSELYEA,47,81,50,84,302,302,CONSELYEA
23,G00000023,G00000023,1,1,E 12,NA,E 12,1721,1789,1720,1788,1007,1007,E 12
24,G00000024,G00000024,1,1,AVE U,NA,AVE U,NA,NA,NA,NA,1001,1001,AVE U
25,G00000025,G00000025,1,1,MYRTLE AVE,NA,MYRTLE AVE,1383,1409,1356,1382,854,857,MYRTLE AVE
26,G00000026,G00000026,1,1,VARICK AVE,NA,VARICK AVE,39,53,32,50,416,416,VARICK AVE
27,G00000027,G00000027,1,1,57,NA,57,1301,1329,1302,1332,1062,1062,57
28,G00000028,G00000028,1,1,ATLANTIC AVE,NA,ATLANTIC AVE,NA,NA,3144,3168,973,974,ATLANTIC AVE
29,G00000029,G00000029,1,1,BATH AVE,NA,BATH AVE,1627,1647,1628,1646,1075,1075,BATH AVE
30,G00000030,G00000030,1,1,DUMONT AVE,NA,DUMONT AVE,1,9,2,10,959,959,DUMONT AVE
31,G00000031,G00000031,1,1,WEIRFIELD,NA,WEIRFIELD,297,357,270,338,908,908,WEIRFIELD
32,G00000032,G00000032,1,1,E 52,NA,E 52,221,267,262,262,952,952,E 52
33,G00000033,G00000033,1,1,W PROSPECT,NA,W PROSPECT,NA,NA,130,139,NA,570,W PROSPECT
34,G00000034,G00000034,1,1,GLENMORE AVE,NA,GLENMORE AVE,317,339,320,342,749,749,GLENMORE AVE
35,G00000035,G00000035,1,1,8 AVE,NA,8 AVE,NA,NA,8,26,191,191,8 AVE
36,G00000036,G00000036,1,1,CENTRAL AVE,NA,CENTRAL AVE,161,167,170,176,831,833,CENTRAL AVE
37,G00000037,G00000037,1,1,3 AVE,NA,3 AVE,151,163,156,170,207,205,3 AVE
38,G00000038,G00000038,1,1,HERKIMER,NA,HERKIMER,223,279,220,276,605,605,HERKIMER
39,G00000039,G00000039,1,1,GARNET,NA,GARNET,21,59,18,54,258,258,GARNET
40,G00000040,G00000040,1,1,E 7,NA,E 7,NA,NA,NA,NA,1037,1037,E 7
41,G00000041,G00000041,1,1,SHERMAN,NA,SHERMAN,1,69,2,70,573,573,SHERMAN
42,G00000042,G00000042,1,1,ATLANTIC AVE,NA,ATLANTIC AVE,NA,NA,1062,1144,113,169,ATLANTIC AVE
43,G00000043,G00000043,1,1,72,NA,72,415,475,416,476,1097,1097,72
44,G00000044,G00000044,1,1,OLD WOOD POINT RD,NA,OLD WOOD POINT RD,NA,NA,NA,NA,410,410,OLD WOOD POINT RD
45,G00000045,G00000045,1,1,SUYDAM,NA,SUYDAM,NA,NA,NA,NA,819,821,SUYDAM
46,G00000046,G00000046,1,1,53,NA,53,1401,1483,1402,1482,1062,1062,53
47,G00000047,G00000047,1,1,86,NA,86,NA,NA,1756,1758,1056,1056,86
48,G00000048,G00000048,1,1,GRAHAM AVE,NA,GRAHAM AVE,179,193,184,200,332,336,GRAHAM AVE
49,G00000049,G00000049,1,1,E 26,NA,E 26,447,475,448,480,1012,1012,E 26
50,G00000050,G00000050,1,1,59,NA,59,NA,NA,NA,NA,160,160,59
51,G00000051,G00000051,1,1,POWERS,NA,POWERS,127,163,128,174,314,318,POWERS
52,G00000052,G00000052,1,1,FLATLANDS 7,NA,FLATLANDS 7,NA,NA,NA,NA,988,988,FLATLANDS 7
53,G00000053,G00000053,1,1,HICKS,NA,HICKS,123,175,124,172,4,4,HICKS
54,G00000054,G00000054,1,1,SCHNECTADY AVE,NA,SCHNECTADY AVE,NA,NA,NA,NA,995,995,SCHNECTADY AVE
55,G00000055,G00000055,1,1,WASHINGTON AVE,NA,WASHINGTON AVE,661,689,688,716,181,180,WASHINGTON AVE
56,G00000056,G00000056,1,1,E 18,NA,E 18,2253,2295,2258,2296,1407,1407,E 18
57,G00000057,G00000057,1,1,LEWIS AVE,NA,LEWIS AVE,243,259,246,258,597,592,LEWIS AVE
58,G00000058,G00000058,1,1,AVE J,NA,AVE J,4801,4823,4802,4824,999,999,AVE J
59,G00000059,G00000059,1,1,E 46,NA,E 46,233,279,234,280,951,945,E 46
60,G00000060,G00000060,1,1,MESEROLE AVE,NA,MESEROLE AVE,129,143,122,136,378,378,MESEROLE AVE
61,G00000061,G00000061,1,1,RADDE PL,NA,RADDE PL,1,33,2,34,711,711,RADDE PL
62,G00000062,G00000062,1,1,AVE H,NA,AVE H,4801,4815,4802,4816,999,999,AVE H
63,G00000063,G00000063,1,1,7 AVE,NA,7 AVE,5401,5425,5402,5424,1093,156,7 AVE
64,G00000064,G00000064,1,1,CLARKSON AVE,NA,CLARKSON AVE,NA,NA,NA,NA,954,953,CLARKSON AVE
65,G00000065,G00000065,1,1,DUMONT AVE,NA,DUMONT AVE,155,179,156,180,963,963,DUMONT AVE
66,G00000066,G00000066,1,1,3 AVE,NA,3 AVE,8911,8921,8912,8922,1081,1081,3 AVE
67,G00000067,G00000067,1,1,86,NA,86,NA,NA,NA,NA,1038,1038,86
68,G00000068,G00000068,1,1,GERRITSEN AVE,NA,GERRITSEN AVE,2045,2083,2046,2084,1001,1005,GERRITSEN AVE
69,G00000069,G00000069,1,1,AVE Q,NA,AVE Q,121,141,122,142,1031,1031,AVE Q
70,G00000070,G00000070,1,1,AVE M,NA,AVE M,NA,NA,NA,NA,989,989,AVE M
71,G00000071,G00000071,1,1,14 AVE,NA,14 AVE,8001,8023,8002,8024,1074,1078,14 AVE
72,G00000072,G00000072,1,1,CANARSIE RD,NA,CANARSIE RD,NA,NA,NA,NA,988,989,CANARSIE RD
73,G00000073,G00000073,1,1,E 8,NA,E 8,455,535,456,542,1023,1023,E 8
74,G00000074,G00000074,1,1,TILDEN AVE,NA,TILDEN AVE,2705,2715,2710,2730,993,1404,TILDEN AVE
75,G00000075,G00000075,1,1,PRESIDENT,NA,PRESIDENT,87,129,90,134,70,71,PRESIDENT
76,G00000076,G00000076,1,1,1,NA,1,333,387,310,370,533,536,1
77,G00000077,G00000077,1,1,AVE J,NA,AVE J,NA,NA,NA,NA,1008,1008,AVE J
78,G00000078,G00000078,1,1,WELDON,NA,WELDON,117,155,118,160,971,975,WELDON
79,G00000079,G00000079,1,1,HEYWARD,NA,HEYWARD,139,191,120,180,440,445,HEYWARD
80,G00000080,G00000080,1,1,PROSPECT AVE,NA,PROSPECT AVE,1213,1237,1214,1246,920,920,PROSPECT AVE
81,G00000081,G00000081,1,1,4 AVE,NA,4 AVE,5701,5721,NA,NA,159,159,4 AVE
82,G00000082,G00000082,1,1,62,NA,62,1601,1679,1600,1690,1059,1059,62
83,G00000083,G00000083,1,1,21 AVE,BAY 27,21 AVE,7601,7623,7602,7622,1057,1057,21 AVE
84,G00000084,G00000084,1,1,CT,NA,CT,225,229,222,230,198,58,CT
85,G00000085,G00000085,1,1,E 51,NA,E 51,NA,NA,NA,NA,1001,1001,E 51
86,G00000086,G00000086,1,1,E 15,NA,E 15,2279,2375,2280,2376,1407,1407,E 15
87,G00000087,G00000087,1,1,E 100,NA,E 100,1201,1279,1202,1280,988,988,E 100
88,G00000088,G00000088,1,1,GRAND AVE,NA,GRAND AVE,NA,NA,NA,NA,193,192,GRAND AVE
89,G00000089,G00000089,1,1,NASSAU AVE,NA,NASSAU AVE,51,65,NA,NA,386,386,NASSAU AVE
90,G00000090,G00000090,1,1,MORGAN AVE,NA,MORGAN AVE,251,263,248,266,417,416,MORGAN AVE
91,G00000091,G00000091,1,1,62,NA,62,1501,1579,1502,1580,1059,1059,62
92,G00000092,G00000092,1,1,SCHNECTADY AVE,NA,SCHNECTADY AVE,NA,NA,NA,NA,999,999,SCHNECTADY AVE
93,G00000093,G00000093,1,1,SCOTT AVE,NA,SCOTT AVE,NA,NA,NA,NA,416,416,SCOTT AVE
94,G00000094,G00000094,1,1,AVE U,NA,AVE U,NA,NA,300,322,1037,1037,AVE U
95,G00000095,G00000095,1,1,FARRAGUT RD,NA,FARRAGUT RD,NA,NA,NA,NA,995,995,FARRAGUT RD
96,G00000096,G00000096,1,1,BKLYN AVE,NA,BKLYN AVE,569,591,570,592,941,940,BKLYN AVE
97,G00000097,G00000097,1,1,MC KINLEY AVE,NA,MC KINLEY AVE,NA,NA,78,84,971,976,MC KINLEY AVE
98,G00000098,G00000098,1,1,FULTON,NA,FULTON,1373,1427,1360,1420,608,605,FULTON
99,G00000099,G00000099,1,1,OCEAN PKWY,NA,OCEAN PKWY,NA,NA,NA,NA,921,921,OCEAN PKWY
100,G00000100,G00000100,1,1,REMSEN AVE,NA,REMSEN AVE,NA,NA,NA,NA,987,990,REMSEN AVE
101,G00000101,G00000101,1,1,DEBEVOISE AVE,NA,DEBEVOISE AVE,117,137,122,142,408,409,DEBEVOISE AVE
102,G00000102,G00000102,1,1,THOMAS BOYLAND,NA,HOPKINSON AVE,91,109,90,104,716,716,HOPKINSON AVE
103,G00000103,G00000103,1,1,ROGERS AVE,NA,ROGERS AVE,1233,1263,1236,1264,1405,1012,ROGERS AVE
104,G00000104,G00000104,1,1,36,NA,36,1123,1131,NA,NA,923,923,36
105,G00000105,G00000105,1,1,E 105,NA,E 105,901,985,902,986,988,988,E 105
106,G00000106,G00000106,1,1,AVE B,NA,AVE B,NA,NA,NA,NA,987,987,AVE B
107,G00000107,G00000107,1,1,VANDYKE,NA,VANDYKE,130,174,141,175,240,240,VANDYKE
108,G00000108,G00000108,1,1,AUTUMN AVE,NA,RAILROAD AVE,687,745,688,746,981,980,RAILROAD AVE
109,G00000109,G00000109,1,1,NEWJERSEY AVE,NA,NEWJERSEY AVE,107,165,114,164,759,753,NEWJERSEY AVE
110,G00000110,G00000110,1,1,E NEW YORK AVE,NA,E NEW YORK AVE,1643,1655,1644,1656,643,745,E NEW YORK AVE
111,G00000111,G00000111,1,1,BERGEN,NA,BERGEN,1023,1087,1016,1086,623,624,BERGEN
112,G00000112,G00000112,1,1,W 12,NA,W 12,1801,1893,1800,1888,1031,1031,W 12
113,G00000113,G00000113,1,1,14 AVE,NA,14 AVE,4201,4223,4202,4224,1063,1063,14 AVE
114,G00000114,G00000114,1,1,3 AVE,NA,3 AVE,121,133,120,138,206,205,3 AVE
115,G00000115,G00000115,1,1,UNION AVE,NA,UNION AVE,NA,NA,302,318,289,297,UNION AVE
116,G00000116,G00000116,1,1,RYERSON WALK,NA,RYERSON WALK,1,57,NA,NA,83,81,RYERSON WALK
117,G00000117,G00000117,1,1,ROCHESTER AVE,NA,ROCHESTER AVE,21,53,22,54,705,704,ROCHESTER AVE
118,G00000118,G00000118,1,1,OCEAN PKWY,NA,OCEAN PKWY,1201,1295,NA,NA,1030,1030,OCEAN PKWY
119,G00000119,G00000119,1,1,FLEET PL,NA,FLEET PL,0,0,0,0,229,229,FLEET PL
120,G00000120,G00000120,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,433,495,410,468,583,585,LEXINGTON AVE
121,G00000121,G00000121,1,1,STATE,NA,STATE,221,257,246,280,23,23,STATE
122,G00000122,G00000122,1,1,E 13,NA,E 13,1901,1983,1902,1984,1006,1006,E 13
123,G00000123,G00000123,1,1,FLATBUSH AVE,NA,FLATBUSH AVE,559,579,556,576,931,931,FLATBUSH AVE
124,G00000124,G00000124,1,1,20,NA,20,607,625,600,612,919,919,20
125,G00000125,G00000125,1,1,AVE N,NA,AVE N,NA,NA,NA,NA,988,988,AVE N
126,G00000126,G00000126,1,1,68,NA,68,1901,1985,1902,1986,1058,1057,68
127,G00000127,G00000127,1,1,SCHNECTADY AVE,NA,SCHNECTADY AVE,255,273,NA,NA,662,662,SCHNECTADY AVE
128,G00000128,G00000128,1,1,AVE T,NA,AVE T,3901,3923,3902,3924,1001,1001,AVE T
129,G00000129,G00000129,1,1,OCEAN PKWY,NA,OCEAN PKWY,181,255,NA,NA,1021,1021,OCEAN PKWY
130,G00000130,G00000130,1,1,CLINTON,NA,CLINTON,49,65,58,76,12,7,CLINTON
131,G00000131,G00000131,1,1,DECATUR,NA,DECATUR,305,373,294,366,620,620,DECATUR
132,G00000132,G00000132,1,1,PROSPECT PL,NA,PROSPECT PL,1211,1291,1216,1300,648,648,PROSPECT PL
133,G00000133,G00000133,1,1,47,NA,47,1215,1269,1214,1268,1410,1410,47
134,G00000134,G00000134,1,1,ATLANTIC AVE,NA,ATLANTIC AVE,NA,NA,2620,2634,753,754,ATLANTIC AVE
