ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
10,G00010145,NA,ORCHARD,NA,NA,81,105,84,106,145,geo,IN
10,G00010146,NA,ALLEN,NA,NA,89,115,88,116,146,geo,IN
10,G00010147,NA,ELDREDGE,NA,NA,99,119,98,122,147,geo,IN
10,G00010148,NA,FORSYTH,NA,NA,111,133,112,134,148,geo,IN
10,G00010149,NA,NA,NA,NA,125,151,124,150,149,geo,IN
18,G00010150,NA,E 25,NA,NA,185,231,186,230,150,geo,IN
10,G00010162,NA,NA,NA,NA,2,18,1,17,162,geo,IN
19,G00010171,NA,NA,NA,NA,NA,NA,NA,NA,171,geo,IN
19,G00010172,NA,NA,NA,NA,NA,NA,NA,NA,172,geo,IN
19,G00010173,NA,NA,NA,NA,NA,NA,NA,NA,173,geo,IN
19,G00010174,NA,NA,NA,NA,NA,NA,NA,NA,174,geo,IN
19,G00010175,NA,NA,NA,NA,NA,NA,NA,NA,175,geo,IN
19,G00010176,NA,NA,NA,NA,NA,NA,NA,NA,176,geo,IN
19,G00010177,NA,NA,NA,NA,NA,NA,NA,NA,177,geo,IN
19,G00010178,NA,NA,NA,NA,NA,NA,NA,NA,178,geo,IN
19,G00010179,NA,NA,NA,NA,NA,NA,NA,NA,179,geo,IN
19,G00010180,NA,NA,NA,NA,NA,NA,NA,NA,180,geo,IN
19,G00010181,NA,NA,NA,NA,NA,NA,NA,NA,181,geo,IN
19,G00010183,NA,NA,NA,NA,NA,NA,NA,NA,183,geo,IN
19,G00010184,NA,NA,NA,NA,NA,NA,NA,NA,184,geo,IN
19,G00010185,NA,NA,NA,NA,NA,NA,NA,NA,185,geo,IN
19,G00010186,NA,NA,NA,NA,NA,NA,NA,NA,186,geo,IN
19,G00010187,NA,NA,NA,NA,NA,NA,NA,NA,187,geo,IN
19,G00010188,NA,NA,NA,NA,NA,NA,NA,NA,188,geo,IN
12,G00010195,NA,NA,NA,NA,NA,NA,NA,NA,195,geo,IN
12,G00010200,NA,NA,NA,NA,NA,NA,NA,NA,200,geo,IN
12,G00010201,NA,NA,NA,NA,NA,NA,NA,NA,201,geo,IN
12,G00010202,NA,NA,NA,NA,NA,NA,NA,NA,202,geo,IN
12,G00010203,NA,NA,NA,NA,NA,NA,NA,NA,203,geo,IN
12,G00010204,NA,NA,NA,NA,NA,NA,NA,NA,204,geo,IN
12,G00010205,NA,NA,NA,NA,NA,NA,NA,NA,205,geo,IN
12,G00010206,NA,NA,NA,NA,NA,NA,NA,NA,206,geo,IN
12,G00010207,NA,NA,NA,NA,NA,NA,NA,NA,207,geo,IN
12,G00010212,NA,NA,NA,NA,NA,NA,NA,NA,212,geo,IN
12,G00010213,NA,NA,NA,NA,NA,NA,NA,NA,213,geo,IN
12,G00010214,NA,NA,NA,NA,NA,NA,NA,NA,214,geo,IN
12,G00010215,NA,NA,NA,NA,NA,NA,NA,NA,215,geo,IN
12,G00010223,NA,NA,NA,NA,NA,NA,NA,NA,223,geo,IN
12,G00010225,NA,5 AVE,NA,NA,NA,NA,NA,NA,225,geo,IN
12,G00010226,NA,NA,NA,NA,NA,NA,NA,NA,226,geo,IN
12,G00010257,NA,NA,NA,NA,NA,NA,NA,NA,257,geo,IN
12,G00010260,NA,NA,NA,NA,NA,NA,NA,NA,260,geo,IN
12,G00010262,NA,NA,NA,NA,NA,NA,NA,NA,262,geo,IN
12,G00010263,NA,NA,NA,NA,NA,NA,NA,NA,263,geo,IN
12,G00010264,NA,NA,NA,NA,NA,NA,NA,NA,264,geo,IN
12,G00010266,NA,NA,NA,NA,NA,NA,NA,NA,266,geo,IN
1,G00000001,STONE,NA,STONE,NA,63,69,62,70,267,geo,IN
2,G00000002,GOLD,NA,GOLD,NA,19,23,20,24,268,geo,IN
16,G00000004,8 AVE,NA,8 AVE,NA,373,389,362,378,270,geo,WN
19,G00000005,E 61,NA,E 61,NA,NA,NA,NA,NA,271,geo,IN
9,G00000006,GREENWICH,NA,GREENWICH,NA,750,766,753,769,272,geo,IN
19,G00000007,3 AVE,NA,3 AVE,NA,1124,1140,NA,NA,273,geo,IN
16,G00000009,7 AVE,NA,7 AVE,NA,98,106,97,109,275,geo,IN
19,G00000010,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,276,geo,IN
1,G00000015,WALL,NA,WALL,NA,8,20,9,21,281,geo,IN
19,G00000019,LEX AVE,NA,LEX AVE,NA,NA,NA,379,389,285,geo,IN
9,G00000021,BLEECKER,NA,BLEECKER,NA,384,396,385,393,287,geo,IN
