Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,Ward_Right,Ward_Left,ObjectID,JoinId
NA,NA,NA,8,NA,NA,NA,NA,320,NA,PROSPECT AVE,8
NA,NA,NA,9,NA,NA,NA,NA,321,NA,HANCOCK,9
NA,NA,NA,8,NA,NA,NA,NA,326,NA,6,8
NA,NA,NA,7,NA,NA,NA,NA,332,NA,BEDFORD AVE,9
NA,NA,NA,11,NA,NA,NA,NA,334,NA,PARK AVE,11
NA,NA,NA,7,NA,NA,NA,NA,338,NA,HARRISON AVE,7
NA,NA,NA,9,NA,NA,NA,NA,340,NA,SAINT JOHNS PL,9
NA,NA,NA,9,NA,NA,NA,NA,348,NA,NOSTRAND AVE,9
NA,NA,NA,7,NA,NA,NA,NA,349,NA,THROOP AVE,7
NA,NA,NA,7,NA,NA,NA,NA,352,NA,KENT AVE,7
NA,NA,NA,11,NA,NA,NA,NA,357,NA,AUBURN PL,11
NA,NA,NA,3,NA,NA,NA,NA,360,NA,CT,3
NA,NA,NA,10,NA,NA,NA,NA,361,NA,DEAN,10
NA,NA,NA,9,NA,NA,NA,NA,363,NA,NOSTRAND AVE,9
NA,NA,NA,9,NA,NA,NA,NA,372,NA,LINCOLN PL,9
NA,NA,NA,NA,NA,NA,NA,NA,374,NA,N 10,NA
NA,NA,NA,9,NA,NA,NA,NA,377,NA,SARATOGA AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,379,NA,N 3,NA
NA,NA,NA,NA,NA,NA,NA,NA,382,NA,HOOPER,NA
NA,NA,NA,4,NA,NA,NA,NA,384,NA,PEARL,4
NA,NA,NA,2,NA,NA,NA,NA,393,NA,WASHINGTON,2
NA,NA,NA,9,NA,NA,NA,NA,397,NA,THROOP AVE,9
NA,NA,NA,2,NA,NA,NA,NA,401,NA,ADAMS,2
NA,NA,NA,10,NA,NA,NA,NA,414,NA,PACIFIC,10
NA,NA,NA,8,NA,NA,NA,NA,419,NA,4 AVE,8
NA,NA,NA,NA,NA,NA,NA,NA,423,NA,MOORE,NA
NA,NA,NA,5,NA,NA,NA,NA,426,NA,GOLD,5
NA,NA,NA,10,NA,NA,NA,NA,444,NA,3 AVE,10
NA,NA,NA,NA,NA,NA,NA,NA,447,NA,LEONARD,NA
NA,NA,NA,8,NA,NA,NA,NA,456,NA,9,8
NA,NA,NA,7,NA,NA,NA,NA,457,NA,GATES AVE,7
NA,NA,NA,10,NA,NA,NA,NA,459,NA,5 AVE,8
NA,NA,NA,9,NA,NA,NA,NA,465,NA,QUINCY,9
NA,NA,NA,8,NA,NA,NA,NA,466,NA,16,8
NA,BROOKLYN AVE,NA,9,NA,NA,NA,NA,471,NA,BKLYN AVE,9
NA,NA,NA,6,NA,NA,NA,NA,474,NA,BAY,6
NA,NA,NA,NA,NA,NA,NA,NA,478,NA,GRAND,NA
NA,NA,NA,7,NA,NA,NA,NA,480,NA,CLYMER,7
NA,NA,NA,6,NA,NA,NA,NA,488,NA,CT,10
NA,NA,NA,NA,NA,NA,NA,NA,489,NA,N 3,NA
NA,NA,NA,8,NA,NA,NA,NA,490,NA,8,8
NA,NA,NA,9,NA,NA,NA,NA,492,NA,RALPH AVE,9
NA,NA,NA,2,NA,NA,NA,NA,493,NA,PROSPECT,2
NA,NA,NA,NA,NA,NA,NA,NA,501,NA,MANHATTAN AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,502,NA,LEONARD,NA
NA,NA,NA,9,NA,NA,NA,NA,504,NA,GARVEY BLVD,9
NA,NA,NA,8,NA,NA,NA,NA,513,NA,19,8
NA,NA,NA,10,NA,NA,NA,NA,515,NA,4 AVE,10
NA,NA,NA,8,NA,NA,NA,NA,519,NA,PROSPECT AVE,8
NA,NA,NA,9,NA,NA,NA,NA,522,NA,BERGEN,9
NA,NA,NA,9,NA,NA,NA,NA,524,NA,TOMPKINS AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,526,NA,GRAND,NA
NA,NA,NA,7,NA,NA,NA,NA,528,NA,LEE AVE,7
NA,NA,NA,8,NA,NA,NA,NA,533,NA,6 AVE,8
NA,NA,NA,8,NA,NA,NA,NA,538,NA,5 AVE,8
NA,NA,NA,8,NA,NA,NA,NA,546,NA,17,8
NA,NA,NA,9,NA,NA,NA,NA,550,NA,MARTIN LUTHER KING PL,9
NA,NA,NA,8,NA,NA,NA,NA,552,NA,9,8
NA,NA,NA,NA,NA,NA,NA,NA,556,NA,S 2,NA
NA,NA,NA,NA,NA,NA,NA,NA,557,NA,S 8,NA
NA,NA,NA,9,NA,NA,NA,NA,558,NA,LINCOLN PL,9
NA,NA,NA,9,NA,NA,NA,NA,574,NA,WILLOUGHBY AVE,9
