OBJECTID,GlobalID,JoinID,State,City,Borough,StreetModern,Valid 1850,GeoCheck 1850,ST Direction 1850,ST Name 1850,Left Low 1850,Left High 1850,Right Low 1850,Right High 1850,Issue 1850,Parity Left 1850,Parity Right 1850,ST Unopened 1850,ST Name Alt 1850,HNYC St Name 1850,JoinID 1850,Valid 1880,GeoCheck 1880,ST Direction 1880,ST Name 1880,Left Low 1880,Left High 1880,Right Low 1880,Right High 1880,Issue 1880,Parity Left 1880,Parity Right 1880,ST Unopened 1880,ST Name Alt 1880,HNYC St Name 1880,JoinID 1880,Valid 1910,GeoCheck 1910,ST Direction 1910,ST Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,Issue 1910,Parity Left 1910,Parity Right 1910,ST Unopened 1910,ST Name Alt 1910,HNYC Street Name 1910,JoinID 1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate,Creator,EditDate,Editor,Issue_General,Ward Right 1850,ED Left 1880,ED Right 1880,ED Left 1910,ED Right 1910,Ward Left 1850
1955,37757443-f0ff-4d2a-a255-ac6dcddef928,G00001741,NY,New York,Manhattan,W 153 ST,1,1,,,,,,,,,,,,,,1,1,,,200,210,201,211,,,,,,W 153 ST,,1,1,,,,,,,A,,,,,W 153 ST,G00001741,403.785337786033,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,403.785472132099,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:14 PM,hnyc_columbia,,12,536,536,510,511,12
1956,c405284f-c17f-4141-8d85-fac92c1d265a,G00001742,NY,New York,Manhattan,E 12 ST,1,1,,,235,283,234,278,,,,,,,,1,1,,,501,551,500,548,,,,,,E 12 ST,,1,1,,,501,551,500,546,,,,,,E 12 ST,G00001742,736.971807734233,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,736.971775285095,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:14 PM,hnyc_columbia,,17,371,370,1680,927,17
1957,80cca351-4685-48ec-a24b-a0524c5b70a7,G00001743,NY,New York,Manhattan,E 21 ST,1,1,,,16,64,17,63,,,,,,,,1,1,,,5,61,6,60,,,,,,E 21 ST,,1,1,,,11,61,14,60,,,,,,E 21 ST,G00001743,722.771163118219,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 5:21:10 AM,amv2173_columbia,722.771131295884,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:14 PM,hnyc_columbia,,18,73,73,650,989,18
1958,518cf365-adf6-4887-b68e-612d97c4bd5f,G00001744,NY,New York,Manhattan,6 AVE,1,1,,,865,885,864,884,,,,,,,,1,1,,,919,941,920,940,,,,,,6 AVE,,1,1,,,919,935,920,936,,,,,,6 AVE,G00001744,259.479516038857,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,259.479504604943,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,19,580,578,1284,1179,19
1959,0d9daf75-9e81-4404-a01c-baf941223600,G00001745,NY,New York,Manhattan,FOURTH AVE,1,1,,,136,156,131,155,,,,,,,,1,1,,,140,158,137,157,,,,,,FOURTH AVE,,1,1,,,140,158,137,157,,,,,,FOURTH AVE,G00001745,330.83237572931,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,330.832361164467,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,17,66,68,823,938,15
1960,8a26d432-cd35-41ca-a6fa-bf9037bc414e,G00001746,NY,New York,Manhattan,EIGHTH AVE,1,1,,,507,521,508,536,,,,,,,,1,1,,,539,557,540,568,,,,,,EIGHTH AVE,,1,1,,,539,559,538,568,,,,,,EIGHTH AVE,G00001746,256.136202415639,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,256.136191151021,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,16,399,404,1213,1196,16
1961,f90d8c91-4af3-4d6e-9159-084d3c949b9c,G00001747,NY,New York,Manhattan,W 68 ST,1,1,,,,,,,A,,,,,,,1,1,,,2,78,1,77,,,,,,W 68 ST,,1,1,,,2,80,1,79,,,,,,W 68 ST,G00001747,897.531857402888,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,897.531817889355,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,19,522,523,1311,1311,19
1962,2714a413-5d54-4af3-bb9b-135d5cf64a50,G00001748,NY,New York,Manhattan,FIFTH AVE,1,1,,,,,,,,,,,,,,1,1,,,,,1621,1629,,,,,,FIFTH AVE,,1,1,,,1320,1338,1321,1335,,,,,,FIFTH AVE,G00001748,269.83754689692,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,269.837535023027,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,12,630,630,485,456,12
1963,9aaa248f-f71f-49d7-ae23-1da24577581f,G00001749,NY,New York,Manhattan,SUTTON PL S,1,1,,,,,,,A,,,,,,,1,1,,Avenue A,,,,,A,,,,,Avenue A,,1,1,,AVE A,997,1011,998,1012,,,,,,AVE A,G00001749,256.993323005555,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,256.993323018298,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:15 PM,hnyc_columbia,,19,561,561,1007,1007,19
1964,c0653726-9fa7-4076-ad08-cdccd99411b7,G00001750,NY,New York,Manhattan,W 204 ST,0,1,,,,,,,,,,,,,,1,1,,,,,,,A,,,,,W 204 ST,,1,1,,,,,,,A,,,,,W 204 ST,G00001750,207.082012427189,7/10/2019 11:07:10 PM,dpm2159_columbia,7/17/2019 10:43:05 PM,rse2121_columbia,207.082003304149,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,12,535,535,672,674,12
1965,8d5c4106-07f4-4f25-ac0b-856f02cc87a8,G00001751,NY,New York,Manhattan,E 47 ST,0,1,,,,,,,,,,,,,,1,1,,,201,245,200,244,,,,,,E 47 ST,,1,1,,,201,245,200,242,,,,,,E 47 ST,G00001751,712.098200406216,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,712.098169072874,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,19,550,547,647,1108,19
1966,697e7b8e-3db6-4270-8e13-5bbe68f87f04,G00001752,NY,New York,Manhattan,E 106 ST,1,1,,,,,,,,,,,,,,1,1,,,201,243,200,242,,,,,,E 106 ST,,1,1,,,201,243,200,246,,,,,,E 106 ST,G00001752,709.456784226173,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,709.456752998543,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,12,629,626,341,342,12
1967,b0a20eac-deb1-4882-b770-8fad12440b15,G00001753,NY,New York,Manhattan,E 71 ST,1,1,,,,,,,A,,,,,,,1,1,,,401,441,400,440,,,,,,E 71 ST,,1,1,,,401,443,400,438,,,,,,E 71 ST,G00001753,712.949196906375,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,712.949165534048,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,19,613,613,1014,1013,19
1968,1bc186cb-d714-4101-94e1-0a92829c1d3b,G00001754,NY,New York,Manhattan,CHRISTOPHER ST,1,1,,,126,128,127,129,,,,,,,,1,1,,,128,130,127,129,,,,,,CHRISTOPHER ST,,1,1,,,122,130,125,129,,,,,,CHRISTOPHER ST,G00001754,153.676714329354,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,153.676707550779,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,9,227,232,152,151,9
1969,c173ddd9-0b43-441c-93f4-8c28cb0ad5ac,G00001755,NY,New York,Manhattan,W TENTH ST,1,1,,AMOS ST,116,144,117,145,,,,,,,,1,1,,,216,254,215,249,,,,,,W TENTH ST,,1,1,,,218,254,215,249,,,,,,W TENTH ST,G00001755,490.050661842241,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,490.050640266383,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:16 PM,hnyc_columbia,,9,232,233,151,150,9
1970,f56d609d-9d13-4404-a4e7-3b4e8f599330,G00001756,NY,New York,Manhattan,CROSBY ST,0,1,,,,,,,,,,,,,,1,1,,,148,170,149,171,,,,,,CROSBY ST,,1,1,,,146,170,145,169,,,,,,CROSBY ST,G00001756,427.034882112925,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,411.157231020939,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,15,64,64,819,819,15
1971,88ee1cca-7692-4eab-845c-a504216eadef,G00001757,NY,New York,Manhattan,W 46 ST,1,1,,,2,68,1,69,,,,,,,,1,1,,,2,78,1,79,,,,,,W 46 ST,,1,1,,,2,80,1,81,,,,,,W 46 ST,G00001757,1022.40363265803,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,1022.40358765895,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,19,572,572,1176,1177,19
1972,77793b2e-5c34-41e0-bd7f-38e9cc32d555,G00001758,NY,New York,Manhattan,W 171 ST,0,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,,,,,A,,,,,W 171 ST,G00001758,416.305357427385,7/10/2019 11:07:10 PM,dpm2159_columbia,7/17/2019 1:08:53 AM,amv2173_columbia,416.305339114149,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,12,534,534,686,686,12
1973,2ea6b0fe-7773-4b78-b9dc-3477d14c4223,G00001759,NY,New York,Manhattan,EIGHTH AVE,1,1,,,559,577,558,572,,,,,,,,1,1,,,619,639,620,638,,,,,,EIGHTH AVE,,1,1,,,619,639,620,638,,,,,,EIGHTH AVE,G00001759,257.121083929528,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,257.12107260417,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,19,461,472,1202,1199,19
1974,a5354428-5449-4c08-8e52-751c0a1f789f,G00001760,NY,New York,Manhattan,W 130 ST,0,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,600,640,601,641,,,,,,W 130 ST,G00001760,864.435753107108,7/10/2019 11:07:10 PM,dpm2159_columbia,7/16/2019 10:35:17 PM,amv2173_columbia,864.435715050169,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,12,531,531,719,716,12
1975,41d4fc2f-e457-4257-a0e1-0b602b7ae58a,G00001761,NY,New York,Manhattan,W 107 ST,0,1,,,,,,,,,,,,,,1,1,,,100,172,101,173,,,,,,W 107 ST,,1,1,,,102,174,101,175,,,,,,W 107 ST,G00001761,898.716738519005,7/10/2019 11:07:10 PM,dpm2159_columbia,7/22/2019 7:09:44 PM,amv2173_columbia,898.716698972183,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:17 PM,hnyc_columbia,,12,528,528,615,619,12
1976,ddbfca9b-b973-4849-9a2c-e59f5a2a3ff1,G00001762,NY,New York,Manhattan,MOUNT MORRIS PARK W,1,1,,,,,,,,,,,,,,1,1,,,1,10,,,,M,,,,MOUNT MORRIS PARK W,,1,1,,,1,10,,,,M,,,,MOUNT MORRIS PARK W,G00001762,262.130464349942,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,262.130452819486,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,12,640,0,493,495,12
1977,cbac3ced-46de-4c82-942d-1941bd75f348,G00001763,NY,New York,Manhattan,E 23 ST,1,1,,,,,2,20,,,,,,,,1,1,,,,,4,20,,,,,,E 23 ST,,1,1,,,,,2,20,,,,,,E 23 ST,G00001763,441.559438798966,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 5:29:18 AM,amv2173_columbia,441.55941937287,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,18,278,73,650,650,18
1978,137ebf6c-6036-4d39-8f70-abdde15beccb,G00001764,NY,New York,Manhattan,LEX AVE,0,1,,,,,,,,,,,,,,1,1,,,1262,1276,1263,1271,,,,,,LEXINGTON AVE,,1,1,,LEXINGTON AVE,1262,1282,1259,1275,,,,,,LEXINGTON AVE,G00001764,284.371400852592,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,284.371388333186,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,19,591,597,383,384,19
1979,24c96305-967f-4c0d-900c-e7f268a3929e,G00001765,NY,New York,Manhattan,W 114 ST,0,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,,,,,A,,,,,W 114 ST,G00001765,26.8464561580081,7/10/2019 11:07:10 PM,dpm2159_columbia,7/13/2019 1:20:20 AM,amv2173_columbia,26.828224753316,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,12,529,529,727,725,12
1980,9f7e49aa-fde6-4f23-98dc-1f4fa239470e,G00001766,NY,New York,Manhattan,PARK AVE S,1,1,,,440,458,443,463,,,,,,,,1,1,,,462,478,461,477,,,,,,FOURTH AVE,,1,1,,FOURTH AVE,462,478,461,477,,,,,,FOURTH AVE,G00001766,256.859027091819,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 5:21:10 AM,amv2173_columbia,256.859303193876,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,18,290,291,1266,1262,18
1981,223746c2-f87c-4f74-87b4-b0dd8d126180,G00001767,NY,New York,Manhattan,W 155 ST,1,1,,,,,,,,,,,,,,1,1,,,400,430,,,,,,,,W 155 ST,,1,1,,,,,,,A,,,,,W 155 ST,G00001767,388.553611494743,7/10/2019 11:07:10 PM,dpm2159_columbia,7/13/2019 2:06:06 AM,amv2173_columbia,388.553594404783,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:18 PM,hnyc_columbia,,12,532,533,665,667,12
1982,201d7621-5cce-42f6-9b4f-835a9840a768,G00001768,NY,New York,Manhattan,TENTH AVE,1,1,,,183,197,182,198,,,,,,,,1,1,,,201,219,202,220,,,,,,TENTH AVE,,1,1,,,201,219,200,220,,,,,,TENTH AVE,G00001768,277.423861701628,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,277.423849497592,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:19 PM,hnyc_columbia,,16,326,340,867,852,16
1983,c8611096-a422-4e14-be27-207f9931336e,G00001769,NY,New York,Manhattan,E 117 ST,1,1,,,,,,,,,,,,,,1,1,,,401,459,400,458,,,,,,E 117 ST,,1,1,,,401,459,400,452,,,,,,E 117 ST,G00001769,712.939530150495,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,712.939498769453,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:19 PM,hnyc_columbia,,12,635,635,293,292,12
1985,9c62175a-21dc-44db-804c-47c05fa6b3e4,G00001771,NY,New York,Manhattan,CONVENT AVE,0,1,,,,,,,,,,,,,,1,1,,,,,,,A,,,,,CONVENT AVE,,1,1,,,80,90,,,,,,,,CONVENT AVE,G00001771,537.535046748051,7/10/2019 11:07:10 PM,dpm2159_columbia,7/13/2019 2:20:16 AM,amv2173_columbia,537.535023074846,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:19 PM,hnyc_columbia,,12,531,531,644,645,12
1986,31441743-d83e-4fd5-976a-e3859da310b4,G00001772,NY,New York,Manhattan,E 112 ST,0,1,,,,,,,,,,,,,,1,1,,,147,185,150,184,,,,,,E 112 ST,,1,1,,,147,185,150,184,,,,,,E 112 ST,G00001772,507.055137207544,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,507.055114894985,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:19 PM,hnyc_columbia,,12,631,630,413,411,12
1987,7f1345a9-4461-4f4f-a416-2857cb1f5888,G00001773,NY,New York,Manhattan,PARK AVE,1,1,,,,,,,A,,,,,,,1,1,,FOURTH AVE,,,929,945,,,,,,FOURTH AVE,,1,1,,,,,439,461,,,,,,PARK AVE,G00001773,280.451179524064,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,280.451167188393,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:19 PM,hnyc_columbia,,19,583,583,1136,1136,19
1988,20e5f9d8-797c-4206-99c6-70ac0338e6e9,G00001774,NY,New York,Manhattan,W 63 ST,0,1,,,,,,,,,,,,,,1,1,,,2,52,1,53,,,,,,W 63 ST,,1,1,,,2,52,1,53,,,,,,W 63 ST,G00001774,611.211639567229,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,611.211612665729,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,19,520,521,1317,1317,19
1989,94c373b4-cc02-47dd-8b68-7400b9b0c2fc,G00001775,NY,New York,Manhattan,RIVERSIDE DR,0,1,,,,,,,,,,,,,,1,1,,,,,70,78,,,,,,RIVERSIDE DR,,1,1,,,,,69,78,,,M,,,RIVERSIDE DR,G00001775,285.05347285572,7/10/2019 11:07:10 PM,dpm2159_columbia,7/22/2019 6:34:53 PM,amv2173_columbia,285.05346029751,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,19,525,525,1390,1747,19
1990,55a7ef86-9684-4e75-aa92-7a7238949299,G00001776,NY,New York,Manhattan,E END AVE,1,1,,,,,,,,,,,,,,1,1,,,78,96,79,95,,,,,,E END AVE,,1,1,,,78,96,81,97,,,,,,E END AVE,G00001776,265.300542212691,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,265.300530532747,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,19,604,604,1031,1035,19
1991,429da5d9-cb0b-4463-9742-70bc80278d58,G00001777,NY,New York,Manhattan,RIVERSIDE DR,0,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,815,869,,,,,,,,RIVERSIDE DR,G00001777,939.059610197078,7/10/2019 11:07:10 PM,dpm2159_columbia,7/17/2019 10:40:55 PM,amv2173_columbia,939.059568844387,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,12,533,533,686,686,12
1992,6abbcb3c-b584-4723-87d4-182fee2fd543,G00001778,NY,New York,Manhattan,E 45 ST,1,1,,,91,123,86,124,XV,,,,,,,1,1,,,123,159,124,160,,,,,,E 45 ST,,1,1,,,123,157,124,158,,,,,,E 45 ST,G00001778,507.746508684822,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,507.746486320676,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,19,538,537,498,498,19
1993,1b6a247a-4c8f-443c-b8e0-e6c0d0b0b0cf,G00001779,NY,New York,Manhattan,PRINCE ST,1,1,,,48,60,47,61,,,,,,,,1,1,,,48,60,47,61,,,,,,PRINCE ST,,1,1,,,48,60,47,61,,,,,,PRINCE ST,G00001779,243.515683329409,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,243.515672607198,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:20 PM,hnyc_columbia,,14,62,63,801,800,14
1994,96b27050-57d6-4e30-99ed-b3778faa0bfa,G00001780,NY,New York,Manhattan,BROADWAY,0,1,,,,,,,,,,,,,,1,1,,BOULEVARD,,,2558,2600,,,,,BROADWAY,BOULEVARD,,1,1,,,,,2576,2596,,,,,,BROADWAY,G00001780,263.254015662273,7/10/2019 11:07:10 PM,dpm2159_columbia,7/22/2019 6:22:28 PM,amv2173_columbia,263.254004067137,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:21 PM,hnyc_columbia,,12,527,527,739,739,12
1995,47fefeff-b28e-420e-b082-e010fc5e068e,G00001781,NY,New York,Manhattan,W 123 ST,0,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,1,1,,,200,274,201,269,,,,,,W 123 ST,G00001781,878.156373536871,7/10/2019 11:07:10 PM,dpm2159_columbia,7/13/2019 12:13:52 AM,amv2173_columbia,878.156334874193,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:21 PM,hnyc_columbia,,12,536,536,555,554,12
1996,7d787052-7bc2-4979-b4ef-1329b3a5a19a,G00001782,NY,New York,Manhattan,LEX AVE,0,1,,,,,,,,,,,,,,1,1,,,1450,1470,1449,1469,,,,,,LEXINGTON AVE,,1,1,,LEXINGTON AVE,1448,1470,1449,1469,,,,,,LEXINGTON AVE,G00001782,261.024842070426,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,261.024830571392,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:21 PM,hnyc_columbia,,12,623,623,387,389,12
1997,16955bc0-288d-4319-81ee-c3422f0414a0,G00001783,NY,New York,Manhattan,FIFTH AVE,1,1,,,,,,,,,,,,,,1,1,,,,,1661,1669,,,,,,FIFTH AVE,,1,1,,,1396,1416,1401,1415,,,,,,FIFTH AVE,G00001783,292.974171217269,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,292.97415831141,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:21 PM,hnyc_columbia,,12,638,638,489,449,12
1998,75d37c83-c8e2-48e3-b22d-cb222dffe310,G00001784,NY,New York,Manhattan,W 4 ST,1,1,,,,,128,136,,,,,,,,1,1,,,206,214,,,,,,,,W 4 ST,,1,1,,,,,,,A,,,,,W 4 ST,G00001784,111.852374183483,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,111.852369263283,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:21 PM,hnyc_columbia,,9,232,166,154,156,9
1999,6d3e3498-ccff-48ca-ab5e-7b98ba0fe833,G00001785,NY,New York,Manhattan,PARK AVE,1,1,,,,,,,A,,,,,,,1,1,,FOURTH AVE,,,1031,1049,,,,,,FOURTH AVE,,1,1,,,,,563,577,,,,,,PARK AVE,G00001785,260.375050500787,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,260.375039045013,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:22 PM,hnyc_columbia,,19,586,586,1133,1133,19
2000,824f119d-848f-4d33-ada3-4c475474b54a,G00001786,NY,New York,Manhattan,E 46 ST,1,1,,,,,,,A,,,,,,,1,1,,,127,165,126,166,,,,,,E 46 ST,,1,1,,,127,163,128,164,,,,,,E 46 ST,G00001786,507.199290089052,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,507.199267764005,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:24 PM,hnyc_columbia,,19,538,538,1125,498,19
2001,c8c1f880-5bc3-478b-8743-6bea09296980,G00001787,NY,New York,Manhattan,FIRST AVE,1,1,,,,,,,,,,,,,,1,1,,FIRST AVE,1981,2001,1982,2002,,,,,,FIRST AVE,,1,1,,,1981,2001,1980,2002,,,,,,FIRST AVE,G00001787,261.33111159546,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,261.331100083411,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:24 PM,hnyc_columbia,,12,624,624,347,287,12
2002,4b768538-1657-4a4e-b347-1586079659ec,G00001788,NY,New York,Manhattan,CHAMBERS ST,0,1,,,,,,,,,,,,,,0,1,,,38,66,41,69,,,,,,,,1,1,,,,,39,69,,,,,,CHAMBERS ST,G00001788,483.960412943447,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,483.960391645263,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:24 PM,hnyc_columbia,,6,0,38,37,37,6
2003,6a3f71c8-6288-407a-bb17-df2c0b45d794,G00001789,NY,New York,Manhattan,W 92 ST,0,1,,,,,,,,,,,,,,1,1,,,200,206,201,215,,,,,,W 92 ST,,1,1,,,200,214,201,215,,,,,,W 92 ST,G00001789,415.327308038175,7/10/2019 11:07:10 PM,dpm2159_columbia,7/22/2019 7:12:30 PM,amv2173_columbia,415.327289742482,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:24 PM,hnyc_columbia,,12,527,527,742,742,12
2004,5a754a2a-c952-432b-a40f-a9490bc0118b,G00001790,NY,New York,Manhattan,W 131 ST,1,1,,,,,,,,,,,,,,1,1,,,2,70,1,69,,,,,,W 131 ST,,1,1,,,2,80,1,79,,,,,,W 131 ST,G00001790,1021.2798237843,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 11:39:45 PM,amv2173_columbia,1021.27977882307,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:25 PM,hnyc_columbia,,12,654,654,501,501,12
2005,07ce7f72-1b5f-43b4-8f79-09d69b27da68,G00001791,NY,New York,Manhattan,6 AVE,1,1,,,41,57,38,56,,,,,,,,1,1,,,41,57,38,56,,,,,,6 AVE,,1,1,,,41,57,38,56,,,,,,6 AVE,G00001791,253.723523878768,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,253.723512719857,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:25 PM,hnyc_columbia,,15,223,163,157,807,9
2006,72d72a09-bc0c-4e36-b8e6-a5e00f9b8234,G00001792,NY,New York,Manhattan,W 28 ST,1,1,,,2,16,1,13,,,,,,,,1,1,,,2,18,1,19,,,,,,W 28 ST,,1,1,,,2,20,1,19,,,,,,W 28 ST,G00001792,453.645356701282,7/10/2019 11:07:10 PM,dpm2159_columbia,7/10/2019 11:07:10 PM,dpm2159_columbia,453.645336736829,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:54:25 PM,hnyc_columbia,,18,281,281,994,1270,18
