ED,V1.x,V2.x,V3.x,V4.x,V5.x,V6.x,V7.x,V8.x,V9.x,V10.x,V11.x,V12.x,V13.x,V14.x,V15.x,V16.x,V17.x,V18.x,V19.x,V20.x,V21.x,V22.x,V23.x,V24.x,V25.x,V26.x,V27.x,V28.x,V29.x,V30.x,V31.x,V32.x,V33.x,V34.x,V35.x,V1.y,V2.y,V3.y,V4.y,V5.y,V6.y,V7.y,V8.y,V9.y,V10.y,V11.y,V12.y,V13.y,V14.y,V15.y,V16.y,V17.y,V18.y,V19.y,V20.y,V21.y,V22.y,V23.y,V24.y,V25.y,V26.y,V27.y,V28.y,V29.y,V30.y,V31.y,V32.y,V33.y,V34.y,V35.y,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66
11,BEEKMAN [M],BURLING SLIP [M],CLIFF [M],EAST RIVER [M],FERRY [M],FLETCHER [M],FRONT [M],FULTON [M],FULTON FISH MARKET [M],FULTON MARKET [M],GOLD [M],JOHN [M],MAIDEN LA [M],PEARL [M],PECK SLIP [M],PIER FORTEENTH [M],PIERS [M],PIERS [M],PLATT [M],SOUTH [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 [G],BEEKMAN [G],CLIFF [G],FLETCHER [G],FRONT [G],FULTON [G],JOHN [G],MAIDEN LANE [G],PEARL [G],PECK SLIP [G],PLATT [G],RYDERS ALLEY [G],SOUTH [G],WATER [G],FERRY [G],GOLD [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BARCLAY [M],BROADWAY [M],BROADWAY WEST [M],CHAMBERS [M],CHURCH [M],CORTLANDT [M],DEY [M],FULTON [M],GREENWICH [M],LIBERTY [M],MURRAY [M],PARK PLACE [M],READE [M],VESEY [M],WARREN [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY [G],BROADWAY [G],CHAMBERS [G],CHURCH [G],CORTLANDT [G],CORTLANDT WAY [G],DEY [G],FULTON [G],MURRAY [G],PARK PLACE [G],READE [G],VESEY [G],WARREN [G],GREENWICH [G],LIBERTY [G],WEST  BROADWAY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BARCLAY [M],BISHOP LANE [M],BROADWAY WEST [M],CHAMBERS [M],CORTLANDT [M],DEY [M],FULTON [M],GREENWICH [M],HUDSON [M],LIBERTY [M],MURRAY [M],NORTH RIVER [M],PARK PLACE [M],READE [M],VESEY [M],WARREN [M],WASHINGTON [M],WASHINGTON MARKET [M],WEST [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY [G],CHAMBERS [G],CORTLANDT [G],DEY [G],DUANE [G],FULTON [G],GREENWICH [G],HUDSON [G],MURRAY [G],PARK PLACE [G],READE [G],VESEY [G],WEST  BROADWAY [G],WARREN [G],WASHINGTON [G],WEST [G],LIBERTY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CLIFF [M],DUANE [M],FERRY [M],FRANKFORT [M],GOLD [M],JACOB [M],NEW CHAMBERS [M],PARK ROW [M],PEARL [M],ROSE [M],SPRUCE [M],WILLIAM [M],WILLIAM NORTH [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLIFF [G],DUANE [G],FERRY [G],GOLD [G],JACOB [G],NORTH WILLIAM [G],NASSAU [G],PEARL [G],ROSE [G],SPRUCE [G],WILLIAM [G],FRANKFORT [G],NEW CHAMBERS [G],PARK ROW [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CHESTNUT [M],CLIFF [M],FRANKFORT [M],HAGUE [M],NEW BOWERY [M],NEW CHAMBERS [M],OAK [M],PEARL [M],ROOSEVELT [M],ROSE [M],VANDEWATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAMBERS [G],CHESTNUT [G],CLIFF [G],FRANKFORT [G],HAGUE [G],PEARL [G],VANDEWATER [G],MADISON [G],ROOSEVELT [G],ROSE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,BATAVIA [M],CHERRY [M],JAMES SLIP [M],NEW CHAMBERS [M],OAK [M],ROOSEVELT [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATAVIA [G],CHAMBERS [G],CHERRY [G],ROOSEVELT [G],JAMES SLIP [G],WATER [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,CHERRY [M],DOVER [M],FRANKLIN SQUARE [M],OAK [M],PEARL [M],ROOSEVELT [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAMBERS [G],CHERRY [G],DOVERS [G],PEARL [G],ROOSEVELT [G],WATER [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DOVER [M],EAST RIVER [M],FERRY [M],FRONT [M],JAMES [M],JAMES SLIP [M],PEARL [M],PECK SLIP [M],PIER 21 [M],PIERS [M],ROOSEVELT [M],SOUTH [M],WATER [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOVERS [G],FRONT [G],PECK SLIP [G],ROOSEVELT [G],SOUTH [G],WATER [G],JAMES SLIP [G],PEARL [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,BATAVIA [M],CHAMBERS [M],CHERRY [M],DUANE [M],JAMES [M],MADISON [M],NEW BOWERY [M],NEW CHAMBERS [M],OAK [M],PARK ROW [M],PEARL [M],ROOSEVELT [M],ROSE [M],WILLIAM [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATAVIA [G],NEW CHAMBERS [G],PEARL [G],SAINT JAMES PLACE [G],WILLIAM [G],CHAMBERS [G],CHESTNUT [G],DUANE [G],JAMES [G],MADISON [G],PARK ROW [G],ROOSEVELT [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MADISON [M],NEW CHAMBERS [M],PARK ROW [M],PEARL [M],ROOSEVELT [M],ROSE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MADISON [G],PARK ROW [G],PEARL [G],ROOSEVELT [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
