ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
1,BATTERY PARK,BATTERY PLACE,BEAVER,BRIDGE,BROAD,BROADWAY,EAST RIVER,ELLIS ISLAND,FRONT,MARKETFIELD,MOORE,NORTH RIVER,PEARL,PIER 3,PIER 4,PIERS,SOUTH,STATE,STONE,WATER,WHITEHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BEDLOE\'SOUTH ISLAND,GOVERNORS ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALBANY,BROADWAY,CEDAR,GREENWICH,LIBERTY,NORTH RIVER,TEMPLE,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,NORTH RIVER,RECTOR,THAMES,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BATTERY PLACE,BROADWAY,EDGAR,EXCHANGE ALLEY,GREENWICH,MORRIS,NORTH RIVER,RECTOR,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BATTERY PLACE,BOWLING GREEN,BOWLING GREEN PARK,BROADWAY,GREENWICH,MORRIS,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,BEAVER,BROAD,BROADWAY,CEDAR,EXCHANGE COURT,EXCHANGE PLACE,HANOVER,LIBERTY,MAIDEN LA,NASSAU,NEW,PEARL,PINE,WALL,WHITEHALL,WILLIAM,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,BEAVER,BROAD,COENTIE\'SOUTH ALLEY,COENTIES SLIP,HANOVER,HANOVER SQUARE,MAIDEN LA,OLD SLIP,PEARL,PINE,STONE,WALL,WATER,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BROAD,COENTIES SLIP,CUYLER\'SOUTH ALLEY,DEPEYSTER,EAST RIVER,FRONT,GOUVERNEUR LANE,JEANNETTE PARK,JONES LA,MAIDEN LA,OLD SLIP,PIER FORTEENTH,PIER 4,PIERS,PINE,SOUTH,WALL,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ANN,BEEKMAN,BROADWAY,DUTCH,FULTON,GOLD,JOHN,LIBERTY,LIBERTY PLACE,MAIDEN LA,NASSAU,PARK ROW,PLATT,SPRUCE,THEATRE ALLEY,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,BEEKMAN,BURLING SLIP,CLIFF,EAST RIVER,FERRY,FLETCHER,FRONT,FULTON,FULTON FISH MARKET,FULTON MARKET,GOLD,JOHN,MAIDEN LA,PEARL,PECK SLIP,PIER FORTEENTH,PIERS,PIERS,PLATT,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BARCLAY,BROADWAY,BROADWAY WEST,CHAMBERS,CHURCH,CORTLANDT,DEY,FULTON,GREENWICH,LIBERTY,MURRAY,PARK PLACE,READE,VESEY,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BARCLAY,BISHOP LANE,BROADWAY WEST,CHAMBERS,CORTLANDT,DEY,FULTON,GREENWICH,HUDSON,LIBERTY,MURRAY,NORTH RIVER,PARK PLACE,READE,VESEY,WARREN,WASHINGTON,WASHINGTON MARKET,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CLIFF,DUANE,FERRY,FRANKFORT,GOLD,JACOB,NEW CHAMBERS,PARK ROW,PEARL,ROSE,SPRUCE,WILLIAM,WILLIAM NORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CHESTNUT,CLIFF,FRANKFORT,HAGUE,NEW BOWERY,NEW CHAMBERS,OAK,PEARL,ROOSEVELT,ROSE,VANDEWATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,BATAVIA,CHERRY,JAMES SLIP,NEW CHAMBERS,OAK,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,CHERRY,DOVER,FRANKLIN SQUARE,OAK,PEARL,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DOVER,EAST RIVER,FERRY,FRONT,JAMES,JAMES SLIP,PEARL,PECK SLIP,PIER 21,PIERS,ROOSEVELT,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
