street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
HOWARD,HOWARD,NA,1,9,2,10,785,785,334,G00000070,HOWARD
E 84,E 84,NA,1,37,2,36,484,1155,335,G00000071,E 84
LEWIS,LEWIS,NA,21,33,22,34,780,779,336,G00000072,LEWIS
3 AVE,3 AVE,NA,1066,1084,1071,1089,1140,1073,337,G00000073,3 AVE
UNION W SQ,UNION W SQ,NA,1,13,NA,NA,551,551,338,G00000074,UNION W SQ
2 AVE,2 AVE,NA,69,85,72,86,906,903,339,G00000075,2 AVE
W 30,W 30,NA,500,564,501,569,1227,1232,340,G00000076,W 30
W 120,W 120,NA,500,550,501,551,725,724,341,G00000077,W 120
W 4,W 4,NA,2,12,1,11,818,818,342,G00000078,W 4
E 72,E 72,NA,501,541,500,538,1018,1018,343,G00000079,E 72
SAINT NICHOLAS AVE,NICHOLAS AVE,NA,1501,1513,1500,1512,678,677,344,G00000080,NICHOLAS AVE
1 AVE,1 AVE,NA,393,409,394,408,966,953,345,G00000081,1 AVE
W 10,W 10,NA,154,182,155,185,156,156,346,G00000082,W 10
MADISON AVE,MADISON AVE,NA,1768,1786,1769,1781,446,447,347,G00000083,MADISON AVE
5 AVE,5 AVE,NA,NA,NA,1150,1159,507,477,348,G00000084,5 AVE
W 4,W 4,NA,218,230,219,231,155,156,349,G00000085,W 4
W 132,W 132,NA,NA,NA,NA,NA,542,539,350,G00000086,W 132
W 49,W 49,NA,2,74,1,75,1177,1178,351,G00000087,W 49
BETHUNE,BETHUNE,NA,14,48,11,45,176,176,352,G00000088,BETHUNE
RIVINGTON,RIVINGTON,NA,268,288,269,289,221,766,353,G00000089,RIVINGTON
E 107,E 107,NA,151,183,150,174,406,405,354,G00000090,E 107
W 171,W 171,NA,NA,NA,NA,NA,686,686,355,G00000091,W 171
SAINT CLASSON PL,SAINT CLASSON PL,NA,NA,NA,NA,NA,719,719,356,G00000092,SAINT CLASSON PL
THOMPSON,THOMPSON,NA,21,43,22,44,121,124,357,G00000093,THOMPSON
LENOX AVE,LENOX AVE,6 AVE,181,199,180,198,562,493,358,G00000094,LENOX AVE
PARK AVE,PARK AVE,NA,1138,1148,NA,NA,480,480,359,G00000095,PARK AVE
2 AVE,2 AVE,NA,827,841,824,844,1106,1105,360,G00000096,2 AVE
C W P,CENTRAL PARK WEST,NA,210,219,NA,NA,1297,1290,361,G00000097,CENTRAL PARK WEST
5 AVE,5 AVE,NA,NA,NA,1190,1199,507,472,362,G00000098,5 AVE
SHERMAN AVE,SHERMAN AVE,NA,NA,NA,123,135,674,674,363,G00000099,SHERMAN AVE
E 106,E 106,NA,51,77,48,76,463,464,364,G00000100,E 106
MADISON AVE,MADISON AVE,NA,1112,1128,1107,1121,1155,1155,365,G00000101,MADISON AVE
E 17,E 17,NA,1,25,2,30,551,551,366,G00000102,E 17
E 60,E 60,NA,401,443,NA,NA,1001,1001,367,G00000103,E 60
W 15,W 15,NA,300,368,301,367,865,864,368,G00000104,W 15
SHINBONE ALY,SHINBONE ALY,NA,NA,NA,NA,NA,819,819,369,G00000105,SHINBONE ALY
E 65,E 65,NA,101,135,100,130,1138,1138,370,G00000106,E 65
CANAL,CANAL,NA,NA,NA,NA,NA,76,76,371,G00000107,CANAL
MADISON AVE,MADISON AVE,NA,NA,NA,1839,1861,439,439,372,G00000108,MADISON AVE
MADISON AVE,MADISON AVE,NA,1072,1088,1073,1089,1155,1156,373,G00000109,MADISON AVE
5 AVE,5 AVE,NA,NA,NA,NA,NA,993,988,374,G00000110,5 AVE
W 29,W 29,NA,100,166,101,169,1184,1184,375,G00000111,W 29
W 192,W 192,NA,NA,NA,NA,NA,676,676,376,G00000112,W 192
E 103,E 103,NA,149,173,148,176,401,400,377,G00000113,E 103
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,675,675,378,G00000115,BROADWAY
W 160,W 160,NA,420,430,425,427,669,670,379,G00000116,W 160
W 111,W 111,NA,NA,NA,NA,NA,727,727,380,G00000117,W 111
GROVE,GROVE,NA,47,75,50,76,154,154,381,G00000118,GROVE
E 84,E 84,NA,NA,NA,NA,NA,484,1155,382,G00000119,E 84
C W P,CENTRAL PARK WEST,NA,111,120,NA,NA,1307,1290,383,G00000120,CENTRAL PARK WEST
PARK ROW,PARK ROW,NA,100,154,109,163,37,19,384,G00000121,PARK ROW
WASHINGTON E SQ,WASHINGTON E SQ,NA,NA,NA,78,84,818,818,385,G00000122,WASHINGTON E SQ
CENTRE,CENTRE,NA,15,23,14,22,37,37,386,G00000123,CENTRE
3 AVE,3 AVE,NA,818,836,817,837,1128,1097,387,G00000124,3 AVE
VESTRY,VESTRY,NA,49,57,52,56,36,34,388,G00000125,VESTRY
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,714,714,389,G00000126,BROADWAY
W 145,W 145,NA,400,424,401,425,654,657,390,G00000127,W 145
3 AVE,3 AVE,NA,640,658,639,659,1123,1115,391,G00000128,3 AVE
W 35,W 35,NA,NA,NA,NA,NA,1192,1192,392,G00000129,W 35
W 73,W 73,NA,2,50,1,67,1304,1304,393,G00000130,W 73
E 43,E 43,NA,NA,NA,40,52,1169,1169,394,G00000131,E 43
WATER,WATER,NA,100,116,95,115,8,9,395,G00000132,WATER
W 128,W 128,NA,300,310,301,311,642,643,396,G00000133,W 128
COLUMBUS CIR,COLUMBUS CIR,NA,NA,NA,NA,NA,1290,1290,397,G00000134,COLUMBUS CIR
E 37,E 37,NA,201,247,200,246,1256,1255,398,G00000135,E 37
W 91,W 91,NA,200,210,201,211,742,742,399,G00000137,W 91
AMSTERDAM AVE,AMSTERDAM AVE,NA,736,758,743,757,740,595,400,G00000138,AMSTERDAM AVE
DELANCEY,DELANCEY,NA,NA,NA,115,131,219,219,401,G00000139,DELANCEY
