ED,Name,Min,Max
14,FERRY,NA,55
14,FRANKFORT,NA,NA
14,GOLD,82,108
14,JACOB,1,23
14,N WILLIAM,1,31
14,NASSAU,NA,NA
14,NEW CHAMBERS,1,36
14,NULL,NA,NA
14,PARK ROW,NA,NA
14,PEARL,313,343
14,ROSE,1,67
14,SPRUCE,NA,NA
14,WILLIAM,182,249
15,CHAMBERS,NA,NA
15,CHESTNUT,NA,NA
15,CLIFF,99,106
15,FRANKFORT,NA,NA
15,HAGUE,NA,NA
15,MADISON,NA,NA
15,NEW BOWERY,NA,NA
15,NEW CHAMBERS,NA,NA
15,NULL,NA,NA
15,OAK,NA,NA
15,PEARL,NA,NA
15,ROOSEVELT,NA,NA
15,ROSE,1,67
15,VANDEWATER,1,45
16,BATAVIA,NA,NA
16,CHAMBERS,62,92
16,CHERRY,46,71
16,JAMES SLIP,1,8
16,NEW CHAMBERS,NA,NA
16,NULL,NA,NA
16,OAK,NA,NA
16,ROOSEVELT,70,115
16,WATER,325,357
17,CHAMBERS,NA,NA
17,CHERRY,1,45
17,DOVER,NA,NA
17,DOVERS,NA,NA
17,FRANKLIN SQ,NA,NA
17,NULL,1,16
17,OAK,NA,NA
17,PEARL,343,392
17,ROOSEVELT,70,115
17,WATER,281,322
18,DOVER,NA,NA
18,DOVERS,NA,NA
18,EAST RIVER,NA,NA
18,FERRY,NA,NA
18,FRONT,237,291
18,JAMES,NA,NA
18,JAMES SLIP,9,20
18,NULL,NA,NA
18,PEARL,313,343
18,PECK SLIP,NA,NA
18,PIER 21,NA,NA
18,PIERS,NA,NA
18,ROOSEVELT,118,131
18,SOUTH,NA,NA
18,WATER,257,357
19,BATAVIA,14,23
19,CHAMBERS,NA,NA
19,CHERRY,NA,NA
19,CHESTNUT,NA,NA
19,DUANE,NA,NA
19,JAMES,73,100
19,MADISON,NA,NA
19,NEW BOWERY,NA,NA
19,NEW CHAMBERS,1,36
19,NULL,18,36
19,OAK,NA,NA
19,PARK ROW,100,163
19,PEARL,422,464
19,ROOSEVELT,NA,NA
19,ROSE,NA,NA
19,SAINT JAMES PL,NA,NA
19,WILLIAM,246,274
20,MADISON,NA,NA
20,NEW CHAMBERS,NA,NA
20,PARK ROW,156,187
20,PEARL,422,464
20,ROOSEVELT,1,36
20,ROSE,NA,NA
21,JAMES,1,11
21,MADISON,NA,NA
21,NEW BOWERY,27,50
21,PARK ROW,170,215
21,ROOSEVELT,1,36
22,CHATHAM SQ,NA,NA
22,JAMES,1,33
22,MADISON,23,56
22,NEW BOWERY,27,66
22,OLIVER,15,33
22,PARK ROW,NA,NA
22,ROSE,NA,NA
22,WORTH,NA,NA
23,CATHERINE,25,68
23,HENRY,NA,NA
23,MADISON,57,72
23,OAK,47,59
23,OLIVER,15,58
24,JAMES,43,72
24,MADISON,39,56
24,OAK,38,47
24,OLIVER,35,58
24,ROSE,NA,NA
25,CHAMBERS,NA,NA
25,JAMES,43,72
25,MADISON,NA,NA
25,NEW BOWERY,NA,NA
25,NULL,NA,NA
25,OAK,NA,NA
25,ROOSEVELT,NA,NA
25,ROSE,NA,NA
25,SAINT JAMES PL,NA,NA
