OBJECTID,JoinID,Valid 1910,GeoCheck 1910,StreetModern,ST Name Alt 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
2535,G00002334,1,1,N MOORE,NA,N MOORE,2,14,1,15,31,31,N MOORE
2536,G00002335,1,1,CANAL,NA,CANAL,502,516,523,529,34,105,CANAL
2537,G00002336,1,1,11 AVE,NA,11 AVE,375,395,376,394,1231,1231,11 AVE
2538,G00002337,1,1,BLEECKER,NA,BLEECKER,272,278,271,279,128,127,BLEECKER
2539,G00002338,1,1,WHITE,NA,WHITE,100,114,101,111,38,38,WHITE
2540,G00002339,1,1,3 AVE,NA,3 AVE,952,970,953,971,1135,1090,3 AVE
2541,G00002340,1,1,HUDSON,NA,HUDSON,135,149,136,150,36,35,HUDSON
2542,G00002341,1,1,GREENE,NA,GREENE,241,247,248,250,818,818,GREENE
2543,G00002342,1,1,W 76,NA,W 76,230,256,231,255,1389,1388,W 76
2544,G00002343,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,804,822,803,821,1133,1133,LEXINGTON AVE
2545,G00002344,1,1,COLUMBUS AVE,NA,COLUMBUS AVE,538,556,539,557,580,579,COLUMBUS AVE
2546,G00002345,1,1,E 33,NA,E 33,1,27,2,26,1265,1265,E 33
2547,G00002346,1,1,SULLIVAN,NA,SULLIVAN,44,56,43,55,115,121,SULLIVAN
2548,G00002347,1,1,STANTON,NA,STANTON,106,118,105,119,872,873,STANTON
2549,G00002348,1,1,E 58,NA,E 58,101,133,100,136,1135,1136,E 58
2550,G00002349,1,1,2 AVE,NA,2 AVE,481,497,480,498,960,1711,2 AVE
2551,G00002350,1,1,BEAVER,NA,BEAVER,73,95,76,90,7,8,BEAVER
2552,G00002351,1,1,W 204,NA,W 204,NA,NA,NA,NA,674,674,W 204
2553,G00002352,1,1,E 1,NA,E 1,12,26,11,23,897,893,E 1
2554,G00002353,1,1,PARK AVE,NA,PARK AVE,748,756,NA,NA,1160,1160,PARK AVE
2555,G00002354,1,1,E 109,NA,E 109,199,251,200,246,334,1722,E 109
2556,G00002355,1,1,5 AVE,NA,5 AVE,352,370,355,371,1268,1265,5 AVE
2557,G00002356,1,1,CONVENT AVE,NA,CONVENT AVE,380,398,381,399,659,657,CONVENT AVE
2558,G00002357,1,1,W 32,NA,W 32,NA,NA,NA,NA,1269,1269,W 32
2559,G00002358,1,1,E 72,NA,E 72,31,65,26,58,1160,1160,E 72
2560,G00002359,1,1,FORSYTH,NA,FORSYTH,31,61,30,60,189,188,FORSYTH
2561,G00002360,1,1,LEX AVE,NA,LEXINGTON AVE,1570,1588,1565,1575,395,396,LEXINGTON AVE
2562,G00002361,1,1,WAVERLY PL,NA,WAVERLY PL,188,204,185,203,156,158,WAVERLY PL
2563,G00002362,1,1,F DOUGLASS BLVD,NA,F DOUGLASS BLVD,NA,NA,NA,NA,621,574,F DOUGLASS BLVD
2564,G00002363,1,1,E 50,NA,E 50,301,363,300,364,1095,1096,E 50
2565,G00002364,1,1,DELANCEY,NA,DELANCEY,NA,NA,287,303,780,780,DELANCEY
2566,G00002365,1,1,PARK AVE,NA,PARK AVE,1626,1636,NA,NA,448,448,PARK AVE
2567,G00002366,1,1,CONVENT AVE,NA,CONVENT AVE,420,438,421,439,658,657,CONVENT AVE
2568,G00002367,1,1,ADAM POWELL BLVD,NA,7 AVE,NA,NA,2103,2119,552,552,7 AVE
2569,G00002368,1,1,11 AVE,NA,11 AVE,247,261,246,260,1230,1230,11 AVE
2570,G00002369,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,260,266,261,271,1122,1122,LEXINGTON AVE
2572,G00002372,1,1,3 AVE,NA,3 AVE,1952,1964,1943,1965,406,338,3 AVE
2573,G00002373,1,1,BROADWAY,NA,BROADWAY,2141,2159,NA,NA,1389,1389,BROADWAY
2574,G00002374,1,1,2 AVE,NA,2 AVE,NA,NA,1732,1746,364,365,2 AVE
2575,G00002375,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,198,220,201,219,1262,1261,LEXINGTON AVE
2576,G00002376,1,1,ACADEMY,NA,ACADEMY,NA,NA,NA,NA,674,674,ACADEMY
2577,G00002377,1,1,W 79,NA,W 79,NA,NA,NA,NA,1392,1392,W 79
2578,G00002378,1,1,YORK AVE,NA,AVE A,1313,1329,1310,1328,1013,1018,AVE A
2579,G00002379,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,680,680,BROADWAY
2580,G00002380,1,1,W 146,NA,W 146,500,564,501,565,699,699,W 146
2581,G00002381,1,1,E 86,NA,E 86,141,177,140,166,385,384,E 86
2582,G00002382,1,1,7 AVE,NA,7 AVE,1507,1527,NA,NA,1272,1272,7 AVE
2583,G00002383,1,1,COLUMBUS CIR,NA,COLUMBUS CIR,NA,NA,NA,NA,1290,1290,COLUMBUS CIR
2584,G00002384,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,312,332,313,331,1121,1121,LEXINGTON AVE
2585,G00002385,1,1,W 218,NA,W 218,NA,NA,NA,NA,674,673,W 218
2586,G00002386,1,1,ORCHARD,NA,ORCHARD,11,39,10,38,186,185,ORCHARD
2587,G00002387,1,1,BOWERY,NA,BOWERY,232,246,235,245,805,885,BOWERY
2588,G00002388,1,1,F DOUGLASS BLVD,NA,F DOUGLASS BLVD,2351,2365,2350,2368,642,550,F DOUGLASS BLVD
2590,G00002390,1,1,BROADWAY,NA,BROADWAY,3579,3599,NA,NA,698,698,BROADWAY
2591,G00002391,1,1,W 13,NA,W 13,352,362,395,399,177,177,W 13
2592,G00020643,1,1,W 142,NA,W 142,200,236,201,243,523,522,W 142
2593,G00002393,1,1,NASSAU,NA,NASSAU,29,39,28,40,7,7,NASSAU
2594,G00002394,1,1,W 150,NA,W 150,300,310,301,309,663,666,W 150
2595,G00002395,1,1,W 58,NA,W 58,2,68,1,57,1181,1181,W 58
2596,G00002396,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,NA,NA,702,702,RIVERSIDE DR
2597,G00002397,1,1,E 11,NA,E 11,401,441,400,438,922,921,E 11
2598,G00002398,1,1,W 39,NA,W 39,200,276,201,277,1197,1198,W 39
2599,G00002399,1,1,ADAM POWELL BLVD,NA,7 AVE,NA,NA,2041,2059,555,556,7 AVE
2600,G00002400,1,1,E 70,NA,E 70,501,535,500,534,1018,1018,E 70
2601,G00002401,1,1,W 143,NA,W 143,100,166,101,167,509,516,W 143
2602,G00002402,1,1,AUDUBON AVE,NA,AUDUBON AVE,300,318,301,319,677,677,AUDUBON AVE
2603,G00002404,1,1,PARK AVE,NA,4 AVE,NA,NA,NA,NA,1265,1262,4 AVE
2604,G00002405,1,1,E 80,NA,E 80,1,29,2,28,1155,1158,E 80
2605,G00002406,1,1,W 142,NA,W 142,NA,NA,NA,NA,1431,700,W 142
2606,G00002407,1,1,E 109,NA,E 109,301,349,300,350,335,337,E 109
2608,G00002409,1,1,E 21,NA,E 21,301,345,300,350,968,969,E 21
2609,G00002410,1,1,9 AVE,NA,9 AVE,89,107,88,104,863,862,9 AVE
2610,G00002411,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,457,479,450,462,630,633,MANHATTAN AVE
2611,G00002412,1,1,W 131,NA,W 131,NA,NA,NA,NA,716,715,W 131
2612,G00002413,1,1,W 22,NA,W 22,100,172,101,169,834,842,W 22
2613,G00002414,1,1,BLEECKER,NA,BLEECKER,296,314,297,315,153,154,BLEECKER
2614,G00002415,1,1,WILLIAM,NA,WILLIAM,41,51,44,56,7,7,WILLIAM
2615,G00002416,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,1640,1654,1639,1659,706,654,AMSTERDAM AVE
2616,G00002417,1,1,COLLISTER,NA,COLLISTER,2,10,1,9,36,36,COLLISTER
2617,G00002418,1,1,BAXTER,NA,BAXTER,NA,NA,NA,NA,40,49,BAXTER
2618,G00002419,1,1,GREENWICH,NA,GREENWICH,620,634,617,631,141,141,GREENWICH
2619,G00002420,1,1,W BROADWAY,NA,W BROADWAY,298,336,299,335,124,124,W BROADWAY
2620,G00002421,1,1,AVE A,NA,AVE A,127,143,NA,NA,910,911,AVE A
2621,G00002422,1,1,DELANCEY,NA,DELANCEY,NA,NA,71,83,211,211,DELANCEY
2622,G00002423,1,1,W 88,NA,W 88,250,270,251,267,746,745,W 88
2623,G00002425,1,1,W 158,NA,W 158,470,478,NA,NA,667,667,W 158
2624,G00002426,1,1,PITT,NA,PITT,113,143,NA,NA,241,240,PITT
2625,G00002427,1,1,PARK AVE,NA,PARK AVE,378,388,NA,NA,505,1132,PARK AVE
2626,G00002428,1,1,WAVERLY PL,NA,WAVERLY PL,234,252,233,251,165,165,WAVERLY PL
2627,G00002429,1,1,BROADWAY,NA,BROADWAY,2825,2841,NA,NA,729,729,BROADWAY
2628,G00002430,1,1,HUDSON,NA,HUDSON,341,361,346,364,103,110,HUDSON
2629,G00002431,1,1,5 AVE,NA,5 AVE,NA,NA,1180,1189,507,472,5 AVE
2630,G00002432,1,1,MONTGOMERY,NA,MONTGOMERY,81,87,82,88,86,86,MONTGOMERY
2631,G00002433,1,1,DELANCEY,NA,DELANCEY,54,70,NA,NA,207,208,DELANCEY
2632,G00002434,1,1,W 80,NA,W 80,226,256,227,257,1747,1391,W 80
2633,G00002436,1,1,F DOUGLASS BLVD,NA,F DOUGLASS BLVD,2771,2785,2768,2788,662,513,F DOUGLASS BLVD
2634,G00002437,1,1,LENOX AVE,6 AVE,LENOX AVE,683,699,680,698,516,1716,LENOX AVE
2635,G00002438,1,1,10 AVE,NA,10 AVE,771,785,766,780,1367,1336,10 AVE
2636,G00002439,1,1,W 136,NA,W 136,2,54,1,53,532,528,W 136
2637,G00002440,1,1,W 136,NA,W 136,600,630,601,631,710,709,W 136
2638,G00002441,1,1,LEX AVE,NA,LEXINGTON AVE,2114,2120,2113,2125,425,425,LEXINGTON AVE
2639,G00002442,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,560,576,561,577,746,580,AMSTERDAM AVE
2640,G00002443,1,1,COLUMBUS AVE,NA,COLUMBUS AVE,36,58,41,57,1318,1319,COLUMBUS AVE
2641,G00002444,1,1,BROADWAY,NA,BROADWAY,2121,2139,NA,NA,1389,1389,BROADWAY
2642,G00020644,1,1,W 111,NA,W 111,222,258,233,259,574,574,W 111
2643,G00002446,1,1,9 AVE,NA,9 AVE,147,169,146,162,859,856,9 AVE
2644,G00002447,1,1,JEFFERSON,NA,JEFFERSON,11,19,10,20,77,75,JEFFERSON
2645,G00002448,1,1,PRINCE,NA,PRINCE,190,206,189,205,119,116,PRINCE
2646,G00002449,1,1,W 35,NA,W 35,500,566,501,563,1236,1235,W 35
2647,G00002450,1,1,E HOUSTON,NA,E HOUSTON,298,316,297,317,1663,243,E HOUSTON
2648,G00002451,1,1,W 174,NA,W 174,NA,NA,NA,NA,683,683,W 174
2649,G00002452,1,1,E 123,NA,E 123,NA,NA,NA,NA,422,422,E 123
2650,G00002453,1,1,AVE A,NA,AVE A,211,225,210,224,924,1681,AVE A
2651,G00002455,1,1,LEX AVE,NA,LEXINGTON AVE,1422,1446,1429,1447,387,388,LEXINGTON AVE
2652,G00002456,1,1,MINETTA LN,NA,MINETTA LN,1,11,2,12,810,809,MINETTA LN
2653,G00002457,1,1,E 83,NA,E 83,301,353,300,342,1041,1042,E 83
2654,G00002458,1,1,HUDSON,NA,HUDSON,97,101,96,100,33,33,HUDSON
2655,G00002459,1,1,GREENE,NA,GREENE,119,149,118,152,125,125,GREENE
2656,G00002460,1,1,E 43,NA,E 43,123,153,124,NA,1126,1126,E 43
2658,G00002462,1,1,W END AVE,NA,W END AVE,699,719,700,718,741,741,W END AVE
2659,G00002463,1,1,GREENE,NA,GREENE,1,33,2,36,125,125,GREENE
2660,G00002464,1,1,NATHAN D PERLMAN PL,NA,LIVINGSTON PL,NA,NA,1,9,978,625,LIVINGSTON PL
2661,G00002465,1,1,E 54,NA,E 54,33,75,32,80,1166,505,E 54
2662,G00002466,1,1,ADAM POWELL BLVD,NA,7 AVE,NA,NA,2461,2479,521,516,7 AVE
2663,G00002467,1,1,BROADWAY,NA,BROADWAY,1841,1855,NA,NA,1319,1319,BROADWAY
2664,G00002468,1,1,W 57,NA,W 57,300,370,301,365,1324,1324,W 57
2665,G00002469,1,1,W 19,NA,W 19,100,160,101,169,835,835,W 19
2666,G00002470,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,100,118,99,117,986,986,LEXINGTON AVE
2667,G00002471,1,1,BROADWAY,NA,BROADWAY,NA,NA,3240,3258,716,716,BROADWAY
2668,G00002472,1,1,7 AVE,NA,7 AVE,242,260,245,261,844,841,7 AVE
2669,G00002473,1,1,GRAND,NA,GRAND,236,252,237,253,199,191,GRAND
2670,G00002474,1,1,HANCOCK PL,NA,HANCOCK PL,NA,NA,19,37,639,639,HANCOCK PL
2671,G00002475,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,1980,1998,1979,1999,1733,667,AMSTERDAM AVE
2672,G00002476,1,1,1 AVE,NA,1 AVE,2089,2105,2070,2084,339,286,1 AVE
2673,G00002477,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,2120,2134,2119,2135,685,671,AMSTERDAM AVE
2674,G00002478,1,1,ALLEN,NA,ALLEN,179,211,178,208,891,870,ALLEN
2675,G00002479,1,1,MADISON AVE,NA,MADISON AVE,852,868,843,859,1160,1160,MADISON AVE
2676,G00002480,1,1,ADAM POWELL BLVD,NA,7 AVE,2004,2020,NA,NA,559,559,7 AVE
2677,G00002481,1,1,W 175,NA,W 175,NA,NA,NA,NA,683,681,W 175
2678,G00002482,1,1,E 3,NA,E 3,205,261,210,258,1665,245,E 3
2679,G00002483,1,1,BROADWAY,NA,BROADWAY,2521,2539,NA,NA,741,741,BROADWAY
2680,G00002484,1,1,E 41,NA,E 41,301,345,300,354,1112,1113,E 41
2681,G00002486,1,1,9 AVE,NA,9 AVE,507,521,502,522,1209,1201,9 AVE
2682,G00002487,1,1,MONROE,NA,MONROE,1,43,2,44,563,56,MONROE
2683,G00002488,1,1,GREENWICH,NA,GREENWICH,94,112,91,111,4,4,GREENWICH
2684,G00002489,1,1,E 38,NA,E 38,21,45,22,44,1171,1171,E 38
2685,G00002490,1,1,W 78,NA,W 78,250,264,251,265,1388,1392,W 78
2686,G00002491,1,1,BROADWAY,NA,BROADWAY,1591,1611,1592,1610,1278,1278,BROADWAY
2687,G00002492,1,1,E 90,NA,E 90,301,341,300,338,365,366,E 90
2688,G00002493,1,1,W 179,NA,W 179,500,526,501,527,681,693,W 179
2689,G00002494,1,1,E 118,NA,E 118,201,257,200,250,317,320,E 118
2690,G00002495,1,1,W 51,NA,W 51,100,162,101,163,1285,1285,W 51
2691,G00002496,1,1,MORNINGSIDE AVE,NA,MORNINGSIDE AVE,NA,NA,1,9,624,626,MORNINGSIDE AVE
2692,G00002497,1,1,W 48,NA,W 48,2,78,1,77,1177,1177,W 48
2693,G00002498,1,1,W 168,NA,W 168,NA,NA,NA,NA,686,686,W 168
2694,G00002499,1,1,PARK AVE,NA,PARK AVE,1098,1116,NA,NA,481,380,PARK AVE
2695,G00002500,1,1,E 50,DUNSCOMB PL,E 50,401,433,400,432,998,998,E 50
2696,G00002501,1,1,BROADWAY,NA,BROADWAY,NA,NA,3880,3898,686,688,BROADWAY
2697,G00002502,1,1,MORNINGSIDE AVE,NA,MORNINGSIDE AVE,140,158,141,159,638,639,MORNINGSIDE AVE
2698,G00002503,1,1,E 83,NA,E 83,133,173,140,174,1148,1150,E 83
2699,G00002504,1,1,10 AVE,NA,10 AVE,237,257,240,258,867,850,10 AVE
2700,G00002505,1,1,STONE,NA,STONE,43,61,42,60,8,8,STONE
2701,G00002506,1,1,CANAL,NA,CANAL,312,338,313,331,30,125,CANAL
2702,G00002507,1,1,8 AVE,NA,8 AVE,601,617,600,618,1206,1198,8 AVE
2703,G00002508,1,1,RIVINGTON,NA,RIVINGTON,148,162,147,163,1699,748,RIVINGTON
2704,G00002509,1,1,E 42,NA,E 42,401,411,NA,NA,996,996,E 42
2705,G00002511,1,1,W 60,NA,W 60,6,44,7,45,1726,1319,W 60
2706,G00002512,1,1,E 45,NA,E 45,301,345,300,344,1104,1105,E 45
2707,G00002513,1,1,CHERRY,NA,CHERRY,116,164,117,161,1519,58,CHERRY
2708,G00002514,1,1,1 AVE,NA,1 AVE,2295,2323,2296,2316,318,294,1 AVE
2709,G00002515,1,1,GOLD,NA,GOLD,35,51,38,52,10,11,GOLD
2710,G00002516,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,NA,NA,724,724,RIVERSIDE DR
2711,G00002517,1,1,PARK AVE,NA,PARK AVE,348,358,NA,NA,505,1127,PARK AVE
2712,G00002518,1,1,DONNELLON SQ,NA,SAINT NICHOLAS PL,NA,NA,2,8,657,660,SAINT NICHOLAS PL
2713,G00002519,1,1,BROADWAY,NA,BROADWAY,3421,3437,NA,NA,705,705,BROADWAY
2714,G00002520,1,1,MONTGOMERY,NA,MONTGOMERY,35,53,36,54,89,84,MONTGOMERY
2715,G00002521,1,1,E 18,NA,E 18,31,49,30,46,989,551,E 18
2716,G00002522,1,1,W END AVE,NA,W END AVE,261,279,266,276,1386,1386,W END AVE
2717,G00002523,1,1,JEFFERSON,NA,JEFFERSON,21,33,22,40,78,74,JEFFERSON
2718,G00002524,1,1,E 53,NA,E 53,401,451,400,450,997,997,E 53
2719,G00002525,1,1,9 AVE,NA,9 AVE,863,875,866,876,1325,1324,9 AVE
2720,G00002526,1,1,WATER,NA,WATER,78,98,77,93,8,9,WATER
2721,G00002527,1,1,TRINITY PL,NA,TRINITY PL,34,52,33,53,5,5,TRINITY PL
2722,G00002528,1,1,E 104,NA,E 104,153,187,158,190,402,401,E 104
2723,G00002529,1,1,W 59,NA,W 59,500,554,501,555,1372,1372,W 59
2724,G00002530,1,1,W 153,NA,W 153,600,622,NA,NA,692,692,W 153
2725,G00002531,1,1,ADAM POWELL BLVD,NA,7 AVE,NA,NA,2621,2639,510,510,7 AVE
2726,G00002532,1,1,LASALLE,W 125,LASALLE,500,554,501,551,722,720,LASALLE
2727,G00002533,1,1,W 66,NA,W 66,100,100,101,101,1315,1309,W 66
2728,G00002534,1,1,2 AVE,NA,2 AVE,39,49,36,50,897,896,2 AVE
2729,G00002535,1,1,W END AVE,NA,W END AVE,779,797,782,804,738,737,W END AVE
2730,G00002536,1,1,SPRUCE,NA,SPRUCE,NA,NA,NA,NA,14,10,SPRUCE
2731,G00002537,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,675,676,BROADWAY
2732,G00002539,1,1,EDGECOMB AVE,NA,EDGECOMB AVE,NA,NA,26,46,648,648,EDGECOMB AVE
2733,G00002540,1,1,MAIDEN LN,NA,MAIDEN LN,1,19,2,18,10,10,MAIDEN LN
2734,G00002541,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,176,196,179,199,1380,1309,AMSTERDAM AVE
2735,G00002542,1,1,E 28,NA,E 28,21,49,22,50,1267,988,E 28
2736,G00002543,1,1,1 AVE,NA,1 AVE,377,391,378,392,967,952,1 AVE
2737,G00002544,1,1,E 88,NA,E 88,101,129,102,124,379,378,E 88
2738,G00002545,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,48,59,1388,1388,RIVERSIDE DR
2739,G00002546,1,1,E 6,NA,E 6,401,445,400,444,913,914,E 6
2740,G00002548,1,1,W 177,NA,W 177,NA,NA,801,803,679,679,W 177
2741,G00002549,1,1,1 AVE,NA,1 AVE,1265,1281,1266,1284,1067,1009,1 AVE
2742,G00002550,1,1,BROADWAY,NA,BROADWAY,871,885,874,886,989,989,BROADWAY
2743,G00002551,1,1,STUYVESANT,NA,STUYVESANT,15,37,28,50,929,929,STUYVESANT
2744,G00002552,1,1,E 13,NA,E 13,501,549,502,550,1681,926,E 13
2745,G00002553,1,1,SAINT MARKS PL,NA,SAINT MARKS PL,1,37,2,36,898,909,SAINT MARKS PL
2746,G00002554,1,1,HUDSON,NA,HUDSON,405,421,404,418,140,132,HUDSON
2747,G00002555,1,1,PARK AVE,NA,PARK AVE,NA,NA,881,901,1153,1153,PARK AVE
2748,G00002556,1,1,E 53,NA,E 53,1,27,2,24,1167,1167,E 53
2749,G00002557,1,1,NAGLE AVE,NA,NAGLE AVE,NA,NA,NA,NA,675,671,NAGLE AVE
2750,G00002558,1,1,PARK AVE,NA,PARK AVE,NA,NA,1879,1897,425,425,PARK AVE
2751,G00002559,1,1,E 43,NA,E 43,1,15,2,22,1169,1169,E 43
2752,G00002560,1,1,E 131,NA,E 131,101,127,100,126,426,426,E 131
2753,G00002561,1,1,E 75,NA,E 75,201,247,200,248,1052,1051,E 75
2754,G00002562,1,1,W 117,NA,W 117,350,370,351,373,629,629,W 117
2755,G00002563,1,1,10 AVE,NA,10 AVE,221,235,222,238,867,851,10 AVE
2756,G00002564,1,1,E 49,NA,E 49,NA,NA,NA,NA,1127,1124,E 49
2757,G00002565,1,1,IRVING PL,NA,IRVING PL,51,63,52,64,982,982,IRVING PL
2758,G00002566,1,1,PEARL,NA,PEARL,313,343,314,342,14,18,PEARL
2759,G00002567,1,1,W 78,NA,W 78,300,338,301,339,1388,1392,W 78
2760,G00002568,1,1,E 34,NA,E 34,39,63,38,72,1265,1265,E 34
2761,G00002569,1,1,E 117,NA,E 117,NA,NA,NA,NA,444,447,E 117
2762,G00002570,1,1,PARK AVE,NA,PARK AVE,NA,NA,1039,1057,482,378,PARK AVE
2763,G00002571,1,1,GANSEVOORT,NA,GANSEVOORT,80,106,NA,NA,171,177,GANSEVOORT
2764,G00002572,1,1,8 AVE,NA,8 AVE,851,869,850,868,1332,1284,8 AVE
2765,G00002573,1,1,SAINT NICHOLAS AVE,NA,NICHOLAS AVE,723,739,718,738,657,660,NICHOLAS AVE
2766,G00002574,1,1,5 AVE,NA,5 AVE,NA,NA,1240,1249,507,465,5 AVE
2767,G00002575,1,1,LEX AVE,NA,LEXINGTON AVE,2076,2090,2077,2089,423,423,LEXINGTON AVE
2768,G00002576,1,1,E 74,NA,E 74,501,541,500,540,1025,1025,E 74
2769,G00002577,1,1,W 136,NA,W 136,NA,NA,NA,NA,649,648,W 136
2770,G00002578,1,1,E 45,NA,E 45,1,27,2,28,540,1169,E 45
2771,G00002579,1,1,7 AVE,NA,7 AVE,882,898,881,897,1287,1287,7 AVE
2772,G00002580,1,1,6 AVE,NA,6 AVE,411,429,414,428,840,993,6 AVE
2773,G00002581,1,1,AVE D,NA,AVE D,NA,NA,NA,NA,240,229,AVE D
2774,G00002582,1,1,E 12,NA,E 12,29,53,34,54,823,823,E 12
2775,G00002583,1,1,GREENE,NA,GREENE,35,55,38,54,125,125,GREENE
2776,G00002584,1,1,MADISON AVE,NA,MADISON AVE,1974,1992,1971,1991,435,435,MADISON AVE
2777,G00002585,1,1,BROADWAY,NA,BROADWAY,3661,3673,NA,NA,692,692,BROADWAY
2778,G00002586,1,1,E 73,NA,E 73,299,355,300,344,1062,1063,E 73
2779,G00002587,1,1,BROADWAY,NA,BROADWAY,3341,3359,NA,NA,710,710,BROADWAY
2780,G00002588,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,790,798,1742,1742,RIVERSIDE DR
2781,G00002589,1,1,MADISON AVE,NA,MADISON AVE,2038,2056,2039,2057,433,434,MADISON AVE
2782,G00002590,1,1,E 126,NA,E 126,101,131,102,132,424,423,E 126
2783,G00002591,1,1,AVE B,NA,AVE B,76,92,73,91,915,1667,AVE B
2784,G00002592,1,1,CORTLANDT ALY,NA,CORTLANDT ALY,NA,NA,NA,NA,38,38,CORTLANDT ALY
2785,G00002593,1,1,W 4,NA,W 4,286,298,285,299,166,165,W 4
2786,G00002594,1,1,LEXINGTON AVE,NA,LEXINGTON AVE,784,802,783,801,1134,1133,LEXINGTON AVE
2787,G00002595,1,1,GREENWICH,NA,GREENWICH,310,320,315,323,32,33,GREENWICH
2788,G00002596,1,1,6 AVE,NA,6 AVE,253,267,250,266,828,991,6 AVE
2789,G00002597,1,1,W 101,NA,W 101,200,222,201,215,736,736,W 101
2790,G00002598,1,1,W 101,NA,W 101,NA,NA,NA,NA,736,737,W 101
2791,G00002599,1,1,HUDSON,NA,HUDSON,55,63,54,64,33,33,HUDSON
2792,G00002600,1,1,HUDSON,NA,HUDSON,217,243,216,230,106,114,HUDSON
2793,G00002601,1,1,6 AVE,NA,6 AVE,449,465,446,462,1183,994,6 AVE
2794,G00002602,1,1,W 177,NA,W 177,500,518,501,517,681,681,W 177
2795,G00002603,1,1,BROAD,NA,BROAD,107,113,110,122,9,1,BROAD
2796,G00002604,1,1,5 AVE,NA,5 AVE,NA,NA,1030,1038,507,484,5 AVE
2797,G00002605,1,1,5 AVE,NA,5 AVE,2078,2098,2077,2097,499,433,5 AVE
2798,G00002606,1,1,W 114,NA,W 114,124,130,125,129,576,570,W 114
2799,G00002607,1,1,E 125,NA,E 125,301,349,300,352,305,306,E 125
2800,G00002608,1,1,W 147,NA,W 147,100,164,NA,NA,515,515,W 147
2801,G00002609,1,1,MOTT,NA,MOTT,241,293,242,286,800,803,MOTT
2802,G00002610,1,1,E 61,NA,E 61,NA,NA,NA,NA,1134,1141,E 61
2803,G00002611,1,1,BROADWAY,NA,BROADWAY,463,487,462,486,125,784,BROADWAY
2804,G00002612,1,1,SULLIVAN,NA,SULLIVAN,2,18,1,21,115,121,SULLIVAN
2805,G00002613,1,1,W 140,NA,W 140,NA,NA,451,477,651,652,W 140
2806,G00002614,1,1,10 AVE,NA,10 AVE,575,591,576,594,1354,1350,10 AVE
2807,G00002615,1,1,BROOME,NA,BROOME,195,209,196,210,754,753,BROOME
2808,G00002616,1,1,W 34,NA,W 34,2,62,1,51,1268,1268,W 34
2809,G00002617,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,89,99,1390,1390,RIVERSIDE DR
2810,G00002618,1,1,F DOUGLASS BLVD,NA,F DOUGLASS BLVD,2819,2829,2830,2848,666,510,F DOUGLASS BLVD
2811,G00002619,1,1,W 108,NA,W 108,2,18,1,19,618,1730,W 108
2812,G00002620,1,1,W 167,NA,W 167,452,470,NA,NA,671,671,W 167
2813,G00002621,1,1,SAINT NICHOLAS AVE,NA,NICHOLAS AVE,281,289,280,288,639,639,NICHOLAS AVE
2814,G00002622,1,1,W 183,NA,W 183,600,630,601,629,678,678,W 183
2815,G00002624,1,1,BROADWAY,NA,BROADWAY,4001,4019,NA,NA,686,686,BROADWAY
2816,G00002625,1,1,E 24,NA,E 24,133,165,140,164,984,984,E 24
2817,G00002626,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,725,725,BROADWAY
2818,G00002627,1,1,AUDUBON AVE,NA,AUDUBON AVE,340,356,341,357,677,677,AUDUBON AVE
2819,G00002628,1,1,AVE B,NA,AVE B,166,174,159,173,928,1671,AVE B
2820,G00002629,1,1,W 82,NA,W 82,250,270,251,267,1390,1396,W 82
2821,G00002630,1,1,5 AVE,NA,5 AVE,130,140,109,117,990,989,5 AVE
2822,G00002632,1,1,MADISON AVE,NA,MADISON AVE,1672,1690,1669,1693,456,456,MADISON AVE
2823,G00002633,1,1,AVE A,NA,AVE A,175,193,174,190,922,1679,AVE A
2824,G00002634,1,1,YORK AVE,NA,AVE A,1351,1371,1350,1368,1015,1018,AVE A
2825,G00002635,1,1,W 18,NA,W 18,100,168,101,171,828,835,W 18
2826,G00002636,1,1,1 AVE,NA,1 AVE,281,295,274,288,978,944,1 AVE
2827,G00002637,1,1,3 AVE,NA,3 AVE,1550,1566,1549,1567,385,372,3 AVE
2828,G00002638,1,1,W 36,NA,W 36,100,166,101,165,1192,1192,W 36
