OBJECTID,JoinID,Valid 1910,GeoCheck 1910,StreetModern,ST Name Alt 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
330,G00000066,1,1,LEX AVE,NA,LEXINGTON AVE,1634,1648,1631,1647,399,401,LEXINGTON AVE
331,G00000067,1,1,MADISON AVE BRG APPROACH,NA,MADISON AVE BRG,NA,NA,NA,NA,NA,NA,MADISON AVE BRG
332,G00000068,1,1,FULTON,NA,FULTON,22,24,19,23,11,11,FULTON
333,G00000069,1,1,W 204,NA,W 204,NA,NA,NA,NA,674,674,W 204
334,G00000070,1,1,HOWARD,NA,HOWARD,1,9,2,10,785,785,HOWARD
335,G00000071,1,1,E 84,NA,E 84,1,37,2,36,484,1155,E 84
336,G00000072,1,1,LEWIS,NA,LEWIS,21,33,22,34,780,779,LEWIS
337,G00000073,1,1,3 AVE,NA,3 AVE,1066,1084,1071,1089,1140,1073,3 AVE
338,G00000074,1,1,UNION W SQ,NA,UNION W SQ,1,13,NA,NA,551,551,UNION W SQ
339,G00000075,1,1,2 AVE,NA,2 AVE,69,85,72,86,906,903,2 AVE
340,G00000076,1,1,W 30,NA,W 30,500,564,501,569,1227,1232,W 30
341,G00000077,1,1,W 120,NA,W 120,500,550,501,551,725,724,W 120
342,G00000078,1,1,W 4,NA,W 4,2,12,1,11,818,818,W 4
343,G00000079,1,1,E 72,NA,E 72,501,541,500,538,1018,1018,E 72
344,G00000080,1,1,SAINT NICHOLAS AVE,NA,NICHOLAS AVE,1501,1513,1500,1512,678,677,NICHOLAS AVE
345,G00000081,1,1,1 AVE,NA,1 AVE,393,409,394,408,966,953,1 AVE
346,G00000082,1,1,W 10,NA,W 10,154,182,155,185,156,156,W 10
347,G00000083,1,1,MADISON AVE,NA,MADISON AVE,1768,1786,1769,1781,446,447,MADISON AVE
348,G00000084,1,1,5 AVE,NA,5 AVE,NA,NA,1150,1159,507,477,5 AVE
349,G00000085,1,1,W 4,NA,W 4,218,230,219,231,155,156,W 4
350,G00000086,1,1,W 132,NA,W 132,NA,NA,NA,NA,542,539,W 132
351,G00000087,1,1,W 49,NA,W 49,2,74,1,75,1177,1178,W 49
352,G00000088,1,1,BETHUNE,NA,BETHUNE,14,48,11,45,176,176,BETHUNE
353,G00000089,1,1,RIVINGTON,NA,RIVINGTON,268,288,269,289,221,766,RIVINGTON
354,G00000090,1,1,E 107,NA,E 107,151,183,150,174,406,405,E 107
355,G00000091,1,1,W 171,NA,W 171,NA,NA,NA,NA,686,686,W 171
356,G00000092,1,1,SAINT CLASSON PL,NA,SAINT CLASSON PL,NA,NA,NA,NA,719,719,SAINT CLASSON PL
357,G00000093,1,1,THOMPSON,NA,THOMPSON,21,43,22,44,121,124,THOMPSON
358,G00000094,1,1,LENOX AVE,6 AVE,LENOX AVE,181,199,180,198,562,493,LENOX AVE
359,G00000095,1,1,PARK AVE,NA,PARK AVE,1138,1148,NA,NA,480,480,PARK AVE
360,G00000096,1,1,2 AVE,NA,2 AVE,827,841,824,844,1106,1105,2 AVE
361,G00000097,1,1,C W P,NA,CENTRAL PARK WEST,210,219,NA,NA,1297,1290,CENTRAL PARK WEST
362,G00000098,1,1,5 AVE,NA,5 AVE,NA,NA,1190,1199,507,472,5 AVE
363,G00000099,1,1,SHERMAN AVE,NA,SHERMAN AVE,NA,NA,123,135,674,674,SHERMAN AVE
364,G00000100,1,1,E 106,NA,E 106,51,77,48,76,463,464,E 106
365,G00000101,1,1,MADISON AVE,NA,MADISON AVE,1112,1128,1107,1121,1155,1155,MADISON AVE
366,G00000102,1,1,E 17,NA,E 17,1,25,2,30,551,551,E 17
367,G00000103,1,1,E 60,NA,E 60,401,443,NA,NA,1001,1001,E 60
368,G00000104,1,1,W 15,NA,W 15,300,368,301,367,865,864,W 15
369,G00000105,1,1,SHINBONE ALY,NA,SHINBONE ALY,NA,NA,NA,NA,819,819,SHINBONE ALY
370,G00000106,1,1,E 65,NA,E 65,101,135,100,130,1138,1138,E 65
371,G00000107,1,1,CANAL,NA,CANAL,NA,NA,NA,NA,76,76,CANAL
372,G00000108,1,1,MADISON AVE,NA,MADISON AVE,NA,NA,1839,1861,439,439,MADISON AVE
373,G00000109,1,1,MADISON AVE,NA,MADISON AVE,1072,1088,1073,1089,1155,1156,MADISON AVE
374,G00000110,1,1,5 AVE,NA,5 AVE,NA,NA,NA,NA,993,988,5 AVE
375,G00000111,1,1,W 29,NA,W 29,100,166,101,169,1184,1184,W 29
376,G00000112,1,1,W 192,NA,W 192,NA,NA,NA,NA,676,676,W 192
377,G00000113,1,1,E 103,NA,E 103,149,173,148,176,401,400,E 103
378,G00000115,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,675,675,BROADWAY
379,G00000116,1,1,W 160,NA,W 160,420,430,425,427,669,670,W 160
380,G00000117,1,1,W 111,NA,W 111,NA,NA,NA,NA,727,727,W 111
381,G00000118,1,1,GROVE,NA,GROVE,47,75,50,76,154,154,GROVE
382,G00000119,1,1,E 84,NA,E 84,NA,NA,NA,NA,484,1155,E 84
383,G00000120,1,1,C W P,NA,CENTRAL PARK WEST,111,120,NA,NA,1307,1290,CENTRAL PARK WEST
384,G00000121,1,1,PARK ROW,NA,PARK ROW,100,154,109,163,37,19,PARK ROW
385,G00000122,1,1,WASHINGTON E SQ,NA,WASHINGTON E SQ,NA,NA,78,84,818,818,WASHINGTON E SQ
386,G00000123,1,1,CENTRE,NA,CENTRE,15,23,14,22,37,37,CENTRE
387,G00000124,1,1,3 AVE,NA,3 AVE,818,836,817,837,1128,1097,3 AVE
388,G00000125,1,1,VESTRY,NA,VESTRY,49,57,52,56,36,34,VESTRY
389,G00000126,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,714,714,BROADWAY
390,G00000127,1,1,W 145,NA,W 145,400,424,401,425,654,657,W 145
391,G00000128,1,1,3 AVE,NA,3 AVE,640,658,639,659,1123,1115,3 AVE
392,G00000129,1,1,W 35,NA,W 35,NA,NA,NA,NA,1192,1192,W 35
393,G00000130,1,1,W 73,NA,W 73,2,50,1,67,1304,1304,W 73
394,G00000131,1,1,E 43,NA,E 43,NA,NA,40,52,1169,1169,E 43
395,G00000132,1,1,WATER,NA,WATER,100,116,95,115,8,9,WATER
396,G00000133,1,1,W 128,NA,W 128,300,310,301,311,642,643,W 128
397,G00000134,1,1,COLUMBUS CIR,NA,COLUMBUS CIR,NA,NA,NA,NA,1290,1290,COLUMBUS CIR
398,G00000135,1,1,E 37,NA,E 37,201,247,200,246,1256,1255,E 37
399,G00000137,1,1,W 91,NA,W 91,200,210,201,211,742,742,W 91
400,G00000138,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,736,758,743,757,740,595,AMSTERDAM AVE
401,G00000139,1,1,DELANCEY,NA,DELANCEY,NA,NA,115,131,219,219,DELANCEY
402,G00000140,1,1,MADISON AVE,NA,MADISON AVE,316,332,317,331,1169,1169,MADISON AVE
403,G00000141,1,1,W LITTLE 12,NA,W LITTLE 12,4,38,7,41,177,177,W LITTLE 12
404,G00000142,1,1,3 AVE,NA,3 AVE,488,506,489,505,1260,1246,3 AVE
405,G00000143,1,1,W 51,NA,W 51,214,256,215,257,1285,1284,W 51
406,G00000144,1,1,THOMPSON,NA,THOMPSON,1,19,2,20,121,124,THOMPSON
407,G00000145,1,1,E 69,NA,E 69,101,129,100,128,1137,1137,E 69
408,G00000146,1,1,MARBLE HL AVE,NA,MARBLE HL AVE,NA,NA,NA,NA,NA,NA,MARBLE HL AVE
409,G00000147,1,1,CLAREMONT AVE,NA,CLAREMONT AVE,NA,NA,2,14,725,725,CLAREMONT AVE
410,G00000148,1,1,W 120,NA,W 120,300,318,301,319,633,634,W 120
411,G00000149,1,1,WILLIAM,NA,WILLIAM,145,155,144,154,10,10,WILLIAM
412,G00000150,1,1,CONVENT AVE,NA,CONVENT AVE,280,298,281,299,654,654,CONVENT AVE
413,G00000151,1,1,11 AVE,NA,11 AVE,721,735,720,736,1368,1366,11 AVE
414,G00000152,1,1,PARK E TER,NA,PARK E TER,NA,NA,NA,NA,674,674,PARK E TER
415,G00000153,1,1,E 15,NA,E 15,201,233,200,232,980,980,E 15
416,G00000154,1,1,W 56,NA,W 56,222,250,223,251,1288,1286,W 56
417,G00000155,1,1,E 8,NA,E 8,351,403,350,398,1655,257,E 8
418,G00000156,1,1,E 46,NA,E 46,81,125,80,124,1125,1125,E 46
419,G00000157,1,1,W 87,NA,W 87,100,176,101,183,580,580,W 87
420,G00000158,1,1,BROADWAY,NA,BROADWAY,1431,1449,1434,1450,1200,1200,BROADWAY
421,G00000159,1,1,E 30,NA,E 30,133,159,132,160,1263,1264,E 30
422,G00000160,1,1,E HOUSTON,NA,E 2,426,444,NA,NA,229,229,E 2
423,G00000161,1,1,11 AVE,NA,11 AVE,589,605,592,608,1358,1356,11 AVE
424,G00000162,1,1,WATER,NA,WATER,204,224,203,223,11,11,WATER
425,G00000163,1,1,STANTON,NA,STANTON,186,200,189,203,242,235,STANTON
426,G00000164,1,1,5 AVE,NA,5 AVE,110,116,85,95,991,551,5 AVE
427,G00000165,1,1,FLETCHER,NA,FLETCHER,26,46,27,45,11,11,FLETCHER
428,G00000166,1,1,E 61,NA,E 61,1,25,2,28,1163,1163,E 61
429,G00000167,1,1,SULLIVAN,NA,SULLIVAN,166,196,167,197,816,815,SULLIVAN
430,G00000168,1,1,THOMPSON,NA,THOMPSON,45,83,46,82,122,123,THOMPSON
431,G00000169,1,1,PEARL,NA,PEARL,55,69,54,73,8,8,PEARL
432,G00000170,1,1,DOYERS,NA,DOYERS,1,19,2,18,46,46,DOYERS
433,G00000171,1,1,6 AVE,NA,6 AVE,NA,NA,114,130,158,825,6 AVE
434,G00000172,1,1,W 102,NA,W 102,300,326,301,325,738,735,W 102
435,G00000173,1,1,E 43,NA,E 43,301,335,300,348,1110,1111,E 43
436,G00000174,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,725,725,BROADWAY
437,G00000175,1,1,YORK AVE,NA,AVE A,1473,1491,1470,1492,1023,1024,AVE A
438,G00000176,1,1,E 8,NA,E 8,47,61,44,58,822,822,E 8
439,G00000177,1,1,E 99,NA,E 99,153,175,152,176,394,394,E 99
440,G00000178,1,1,10 AVE,NA,10 AVE,NA,NA,NA,NA,674,672,10 AVE
441,G00000179,1,1,BROADWAY,NA,BROADWAY,NA,NA,2720,2736,733,732,BROADWAY
442,G00000180,1,1,MORNINGSIDE AVE,NA,MORNINGSIDE AVE,NA,NA,20,29,624,629,MORNINGSIDE AVE
443,G00000181,1,1,9 AVE,NA,9 AVE,841,861,842,864,1326,1327,9 AVE
444,G00000182,1,1,NASSAU,NA,NASSAU,139,151,140,152,10,10,NASSAU
445,G00000183,1,1,E 52,NA,E 52,NA,NA,NA,NA,505,1127,E 52
446,G00000184,1,1,E 23,NA,E 23,101,133,100,132,985,985,E 23
447,G00000185,1,1,DELANCEY,NA,DELANCEY,NA,NA,99,113,216,216,DELANCEY
448,G00000186,1,1,2 AVE,NA,2 AVE,1,17,2,16,893,894,2 AVE
449,G00000187,1,1,ADAM POWELL BLVD,NA,7 AVE,1960,1976,NA,NA,561,561,7 AVE
450,G00000188,1,1,10 AVE,NA,10 AVE,485,501,484,500,1233,1214,10 AVE
451,G00000189,1,1,E 101,NA,E 101,1,25,2,24,471,472,E 101
452,G00000190,1,1,W 160,NA,W 160,600,600,NA,NA,686,686,W 160
453,G00000192,1,1,PEARL,NA,PEARL,33,53,34,52,1,1,PEARL
454,G00000193,1,1,1 AVE,NA,1 AVE,983,1003,984,1004,1086,1007,1 AVE
455,G00000194,1,1,E 89,NA,E 89,NA,NA,NA,NA,481,483,E 89
456,G00000195,1,1,2 AVE,NA,2 AVE,133,143,132,144,898,899,2 AVE
457,G00000196,1,1,W 157,NA,W 157,NA,NA,NA,NA,1742,1742,W 157
458,G00000197,1,1,MADISON,NA,MADISON,23,37,20,40,22,25,MADISON
459,G00000198,1,1,AMSTERDAM AVE,NA,AMSTERDAM AVE,338,356,339,355,1388,1300,AMSTERDAM AVE
460,G00000199,1,1,E 7,NA,E 7,NA,NA,132,182,911,911,E 7
461,G00000200,1,1,HUDSON,NA,HUDSON,323,341,324,344,104,111,HUDSON
462,G00000201,1,1,W 113,NA,W 113,NA,NA,NA,NA,727,727,W 113
463,G00000202,1,1,FRONT,NA,FRONT,78,94,77,93,9,9,FRONT
464,G00000203,1,1,W 103,NA,W 103,240,256,235,255,735,735,W 103
465,G00000204,1,1,LEX AVE,NA,LEXINGTON AVE,1790,1800,1791,1801,411,411,LEXINGTON AVE
466,G00000205,1,1,E 62,NA,E 62,201,253,200,252,1081,1080,E 62
467,G00000206,1,1,W 46,NA,W 46,NA,NA,NA,NA,1271,1281,W 46
468,G00000207,1,1,E 58,NA,E 58,301,357,300,350,1082,1083,E 58
469,G00000208,1,1,E 52,NA,E 52,1,27,2,26,1167,1167,E 52
470,G00000209,1,1,W 119,NA,W 119,350,372,351,373,631,630,W 119
471,G00000210,1,1,HESTER,NA,HESTER,68,82,81,95,186,195,HESTER
472,G00000211,1,1,PARK AVE,NA,PARK AVE,NA,NA,1495,1507,409,409,PARK AVE
473,G00000212,1,1,E 112,NA,E 112,301,341,300,348,328,331,E 112
474,G00000213,1,1,W 102,NA,W 102,NA,NA,NA,NA,737,735,W 102
475,G00000214,1,1,W 112,NA,W 112,116,142,121,141,577,576,W 112
476,G00000215,1,1,ESSEX,NA,ESSEX,91,125,94,132,217,218,ESSEX
477,G00000216,1,1,FRAWLEY CIR,NA,FRAWLEY CIR,NA,NA,NA,NA,507,507,FRAWLEY CIR
478,G00000217,1,1,OLIVER,NA,OLIVER,22,32,15,33,23,22,OLIVER
479,G00000218,1,1,W 170,NA,W 170,NA,NA,NA,NA,686,686,W 170
480,G00000219,1,1,E 77,NA,E 77,1,35,2,18,1158,1159,E 77
481,G00000220,1,1,CANAL,NA,CANAL,NA,NA,129,135,179,190,CANAL
482,G00000221,1,1,BROADWAY,NA,BROADWAY,NA,NA,3758,3778,1742,691,BROADWAY
483,G00000222,1,1,LIBERTY,NA,LIBERTY,58,72,59,75,7,10,LIBERTY
485,G00000224,1,1,AVE B,NA,AVE B,36,54,37,53,919,1665,AVE B
486,G00000225,1,1,E 46,NA,E 46,401,417,NA,NA,999,999,E 46
487,G00000226,1,1,WASHINGTON W SQ,NA,WASHINGTON W SQ,NA,NA,29,32,807,807,WASHINGTON W SQ
488,G00000227,1,1,C W P,NA,CENTRAL PARK WEST,350,359,NA,NA,593,507,CENTRAL PARK WEST
489,G00000228,1,1,PARK AVE,NA,PARK AVE,NA,NA,1739,1757,420,420,PARK AVE
490,G00000229,1,1,MADISON AVE,NA,MADISON AVE,1934,1944,1931,1945,436,436,MADISON AVE
491,G00000230,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,724,724,BROADWAY
492,G00000231,1,1,PARK AVE,NA,PARK AVE,1840,1856,NA,NA,435,435,PARK AVE
493,G00000232,1,1,BENNETT AVE,NA,BENNETT AVE,NA,NA,NA,NA,678,678,BENNETT AVE
494,G00000233,1,1,BROADWAY,NA,BROADWAY,3501,3517,NA,NA,702,702,BROADWAY
495,G00000234,1,1,ADAM POWELL BLVD,NA,7 AVE,2480,2498,NA,NA,520,520,7 AVE
496,G00000235,1,1,5 AVE,NA,5 AVE,NA,NA,NA,NA,827,822,5 AVE
497,G00000236,1,1,1 AVE,NA,1 AVE,329,343,328,340,970,951,1 AVE
498,G00000237,1,1,6 AVE,NA,6 AVE,851,869,850,868,1279,1177,6 AVE
499,G00000238,1,1,GREENWICH AVE,NA,GREENWICH AVE,115,129,102,118,169,168,GREENWICH AVE
500,G00000239,1,1,NASSAU,NA,NASSAU,57,69,56,68,10,10,NASSAU
501,G00000240,1,1,5 AVE,NA,5 AVE,NA,NA,938,948,1181,1159,5 AVE
502,G00000241,1,1,E 54,NA,E 54,301,357,300,358,1086,1092,E 54
