XCoord,YCoord,OBJECTID,MN_STREET1910_FULL_STREE,MN_STREET1910_Y1910NAMESTREET,MN_STREET1910_Y1910LEFT_LOW,MN_STREET1910_Y1910LEFT_HIGH,MN_STREET1910_Y1910RIGHT_LOW,MN_STREET1910_Y1910RIGHT_HIGH,MN_STREET1910_JOINID,MN_STREET1910_Y1910NAMEALT,MN_STREET1910_MINUS_ED_ED,MN_STREET1910_PLUS_ED_ED
988202.55934014,219973.22119247,1652,W  60 ST,NULL,100,168,101,169,G00008461,NULL,1322,1320
1002133.19502777,245033.60655734,1653,EDGECOMB AVE,NULL,NULL,NULL,NULL,NULL,G00008463,NULL,671,671
985875.65208451,199505.78476523,1654,DIVISION ST,NULL,84,NULL,NULL,NULL,G00008471,NULL,181,63
999164.57448955,233201.84926273,1655,LENOX AVE,NULL,NULL,NULL,260,278,G00008473,NULL,556,494
980876.95932601,199041.42775431,1656,VESEY ST,NULL,69,83,70,86,G00008490,NULL,13,13
995738.21487247,220027.04326331,1657,E  74 ST,NULL,201,257,200,258,G00008493,NULL,1051,1061
982684.60449681,213694.10350139,1658,W  29 ST,NULL,600,660,601,661,G00008506,NULL,1228,1227
982119.60579085,205075.63501002,1659,CLARKSON ST,NULL,23,53,26,54,G00008508,NULL,139,140
999348.53409539,243384.82233506,1660,EDWARD MORGAN PL,NULL,NULL,NULL,NULL,NULL,G00008511,NULL,1742,1742
985289.02186014,204043.54225793,1661,BLEECKER ST,NULL,74,90,75,89,G00008514,NULL,818,818
997835.65818413,234570.78008785,1662,F DOUGLAS BLVD,NULL,2329,2349,2336,2348,G00008526,NULL,639,552
982080.85570430,206763.75318889,1663,CHARLES ST,NULL,130,146,127,143,G00008527,NULL,145,145
990508.85689288,211320.73226389,1664,3 AVE,NULL,524,540,525,541,G00008529,NULL,1122,1253
992712.75799689,228110.45721456,1665,W  95 ST,NULL,100,176,101,177,G00008531,NULL,591,594
1008215.50144456,256894.76832259,1666,W  219 ST,NULL,NULL,NULL,NULL,NULL,G00008535,NULL,673,673
989890.80055026,227434.51663731,1667,RIVERSIDE DR,NULL,NULL,NULL,148,156,G00008539,NULL,746,746
999689.75060456,234148.55980369,1668,LENOX AVE,NULL,NULL,NULL,342,354,G00008540,NULL,548,496
1001387.93498868,233060.23643307,1669,E  127 ST,NULL,NULL,NULL,NULL,NULL,G00008547,NULL,425,435
986175.37343389,214455.78160401,1670,W  38 ST,NULL,300,360,301,361,G00008551,NULL,1213,1201
981944.39501923,195389.32597061,1671,SOUTH ST,NULL,29,39,NULL,NULL,G00008552,NULL,9,9
1002197.89503051,230174.65387356,1672,E  119 ST,NULL,301,357,296,356,G00008554,NULL,316,318
982181.33040493,197412.20512693,1673,WILLIAM ST,NULL,97,109,90,108,G00008558,NULL,10,10
989098.85183889,212984.38871348,1674,FIFTH AVE,NULL,422,438,423,439,G00008569,NULL,1173,544
1001607.81418968,245092.71409643,1675,AMSTERDAM AVE,NULL,2166,2168,NULL,NULL,G00008574,NULL,685,671
980553.74996838,196292.20553461,1676,BROADWAY,NULL,NULL,NULL,8,26,G00008575,NULL,6,7
994237.54612184,213899.19446260,1677,E  51 ST,NULL,NULL,NULL,NULL,NULL,G00008579,NULL,998,998
998884.87852664,241073.36534381,1678,W  149 ST,NULL,500,568,501,567,G00008581,NULL,697,696
983903.12748627,197633.68204618,1679,DOVERS ST,NULL,NULL,NULL,2,14,G00008586,NULL,17,18
985717.86303002,199388.22545310,1680,MARKET ST,NULL,2,8,1,7,G00008588,NULL,63,52
998404.22331997,231828.44469327,1681,LENOX AVE,NULL,NULL,NULL,144,158,G00008590,NULL,568,517
999388.93427706,241982.76805256,1682,W  153 ST,NULL,500,550,NULL,NULL,G00008592,NULL,692,692
987473.00699347,213442.84219290,1683,W  37 ST,NULL,122,156,123,153,G00008601,NULL,1192,1192
988061.95184577,200065.97163698,1684,GRAND ST,NULL,408,424,409,423,G00008608,NULL,756,759
992453.54214393,218509.47018297,1685,E  63 ST,NULL,1,23,2,24,G00008611,NULL,1162,1163
985322.29607181,211057.90798640,1686,W  25 ST,NULL,200,282,201,271,G00008612,NULL,844,840
1001903.47140676,249469.47027072,1687,BENNETT AVE,NULL,NULL,NULL,NULL,NULL,G00008617,NULL,678,678
989688.32293685,199439.95303994,1688,GRAND ST,NULL,542,556,543,561,G00008622,NULL,781,100
988210.89757805,209310.47217681,1689,PARK AVE S,FOURTH AVE,324,342,NULL,NULL,G00008635,NULL,988,984
989939.96055693,212960.96011860,1690,E  40 ST,NULL,23,47,24,44,G00008636,NULL,1171,1171
991099.97628152,226128.52695926,1691,AMSTERDAM AVE,NULL,518,540,519,535,G00008638,NULL,1393,1291
1000387.60605752,237372.28868331,1692,ADAM POWELL BLVD,NULL,2380,2398,NULL,NULL,G00008641,NULL,525,526
990922.72499560,208254.28580493,1693,E  26 ST,NULL,401,439,400,440,G00008645,NULL,NULL,954
990379.46301209,222042.91124755,1694,W  71 ST,NULL,2,74,1,77,G00008649,NULL,1306,1307
983532.18498668,202250.65066656,1695,GRAND ST,NULL,72,88,71,87,G00008655,NULL,125,125
996001.39884355,223898.23651079,1696,E  87 ST,NULL,40,71,42,74,G00008658,NULL,483,482
1003687.85743771,249560.87100656,1697,W  186 ST,NULL,520,538,521,539,G00008665,NULL,677,677
982397.14608222,201265.69184252,1698,FRANKLIN ST,NULL,NULL,NULL,126,132,G00008674,NULL,31,31
995182.03018375,235424.07419951,1699,BROADWAY,NULL,3081,3137,NULL,NULL,G00008685,NULL,723,721
987001.80550805,204801.56075502,1700,E  SEVENTH ST,NULL,9,11,NULL,NULL,G00008695,NULL,909,908
984540.83766098,200617.31567864,1701,CANAL ST,NULL,206,220,203,219,G00008696,NULL,49,794
992538.82691430,214987.82433914,1702,3 AVE,NULL,838,854,839,857,G00008708,NULL,1129,1098
985127.34457117,202686.97847019,1703,LAFAYETTE ST,NULL,232,268,231,269,G00008709,NULL,800,801
987822.46823680,199397.00807989,1704,CLINTON ST,NULL,200,208,199,207,G00008715,NULL,82,77
994709.10575566,216662.71957164,1705,E  61 ST,NULL,301,355,300,346,G00008716,NULL,1076,1077
995491.25506455,231287.70610940,1706,MANHATTAN AVE,NULL,NULL,NULL,238,256,G00008731,NULL,622,621
992038.68880697,211063.08120439,1707,FIRST AVE,NULL,645,663,646,664,G00008733,NULL,1257,996
985919.38988014,201829.01976407,1708,BOWERY,NULL,174,188,NULL,NULL,G00008742,NULL,789,200
1009786.54316310,258519.00767736,1709,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00008743,NULL,NULL,NULL
983911.14779166,199206.80670583,1710,PEARL ST,NULL,465,485,466,482,G00008747,NULL,37,41
993176.40050024,216136.45167060,1711,3 AVE,NULL,934,950,935,951,G00008752,NULL,1136,1089
986481.27652943,203322.59635731,1712,E  FIRST ST,NULL,2,10,1,9,G00008758,NULL,897,893
993703.16464467,227115.36930973,1713,C P  W,NULL,330,339,NULL,NULL,G00008759,NULL,590,507
999821.87140330,244165.31437643,1714,W  161 ST,NULL,NULL,NULL,NULL,NULL,G00008762,NULL,686,686
990146.76969055,212698.18341319,1715,PARK AVE,NULL,NULL,NULL,81,99,G00008771,NULL,1171,1121
985828.24978431,205123.06273668,1716,MERCER ST,NULL,281,287,280,288,G00008773,NULL,818,818
987776.31921493,200380.47691347,1717,SUFFOLK ST,NULL,39,61,38,62,G00008787,NULL,754,755
1000556.04628010,244353.03562173,1718,W  163 ST,NULL,534,560,533,561,G00008789,NULL,688,688
1001666.26727045,229217.03952650,1719,E  115 ST,NULL,301,345,300,352,G00008792,NULL,323,324
986542.03664852,204059.60002039,1720,BOWERY,NULL,348,364,NULL,NULL,G00008793,NULL,819,905
1007780.53790063,256370.28258456,1721,W  216 ST,NULL,NULL,NULL,NULL,NULL,G00008808,NULL,674,674
992485.03601139,225845.24652190,1722,W  87 ST,NULL,2,72,1,67,G00008811,NULL,579,579
985872.21787222,204946.26354960,1723,WASHINGTON PL,NULL,1,5,2,6,G00008813,NULL,818,818
993280.71814705,218495.88490831,1724,PARK AVE,NULL,600,608,NULL,NULL,G00008820,NULL,1162,1138
1001308.70323934,250813.01449965,1725,CABRINI BLVD,NULL,NULL,NULL,NULL,NULL,G00008823,NULL,679,679
983275.60495522,200238.54461860,1726,CATHERINE LN,NULL,NULL,NULL,NULL,NULL,G00008826,NULL,38,38
999432.82695925,231108.72690527,1727,E  117 ST,NULL,1,23,2,28,G00008827,NULL,445,446
982081.29861680,197278.73820227,1728,WILLIAM ST,NULL,85,95,84,88,G00008829,NULL,10,10
986517.09355097,200695.07142864,1729,GRAND ST,NULL,290,306,291,307,G00008834,NULL,209,194
1007309.59560106,256203.96303532,1730,W  215 ST,NULL,NULL,NULL,NULL,NULL,G00008835,NULL,674,674
1003311.84539447,250831.03923393,1731,WADSWORTH AVE,NULL,NULL,NULL,NULL,NULL,G00008836,NULL,676,676
995827.80130747,233559.93581689,1732,MORNINGSIDE DR,NULL,NULL,NULL,NULL,NULL,G00008838,NULL,630,630
1004287.81867218,251338.88418281,1733,W  193 ST,NULL,NULL,NULL,NULL,NULL,G00008844,NULL,676,676
998391.14411385,229755.94703381,1734,FIFTH AVE,NULL,1300,1318,1301,1319,G00008847,NULL,507,457
983081.49149831,197090.88949660,1735,FULTON ST,NULL,32,38,31,39,G00008851,NULL,11,11
999971.37897830,231559.91849148,1736,MADISON AVE,NULL,1832,1846,1831,1837,G00008861,NULL,441,440
997257.62620372,224546.75830523,1737,LEX AVE,NULL,1380,1388,1381,1399,G00008869,NULL,386,386
996526.06254218,221448.87342490,1738,E  80 ST,NULL,201,245,200,248,G00008875,NULL,1037,1036
982531.05854405,204757.44831043,1739,W  HOUSTON ST,NULL,243,275,242,276,G00008898,NULL,110,133
997266.90440039,233954.32298743,1740,SAINT NICHLAS AVE,NULL,239,259,238,260,G00008900,NULL,636,636
1001952.71869855,240561.73149627,1741,W  153 ST,NULL,NULL,NULL,NULL,NULL,G00008901,NULL,510,511
989748.43223264,204724.26579806,1742,E  12 ST,NULL,501,551,500,546,G00008905,NULL,1680,927
987444.96407055,208658.44592181,1743,E  21 ST,NULL,11,61,14,60,G00008913,NULL,650,989
989988.50721180,216697.68476456,1744,6 AVE,NULL,919,933,920,936,G00008919,NULL,1284,1179
987053.06065489,206685.79993273,1745,FOURTH AVE,NULL,140,158,137,159,G00008922,NULL,823,938
986506.37178764,214124.67481872,1746,EIGHTH AVE,NULL,539,559,540,568,G00008923,NULL,1213,1196
989999.08958211,221359.07643680,1747,W  68 ST,NULL,2,80,1,79,G00008924,NULL,NULL,NULL
998495.40571635,229943.40810902,1748,FIFTH AVE,NULL,1320,1334,1321,1335,G00008938,NULL,485,456
994816.34171622,214621.48501277,1749,SUTTON PL S,Avenue A,997,1011,998,1012,G00008939,NULL,1007,1007
1006255.41398239,253650.74061552,1750,W  204 ST,NULL,NULL,NULL,NULL,NULL,G00008944,NULL,672,674
992281.63910847,213787.83018402,1751,E  47 ST,NULL,201,245,200,242,G00008946,NULL,647,1108
999879.64622214,227500.25321843,1752,E  106 ST,NULL,201,243,200,246,G00008951,NULL,341,342
996612.15669414,218588.31254498,1753,E  71 ST,NULL,401,443,400,438,G00008952,NULL,1014,1013
982549.28652597,206364.82518098,1754,CHRISTOPHER ST,NULL,122,130,125,129,G00008959,NULL,152,151
982745.74118555,206647.38859223,1755,W  TENTH ST,NULL,218,254,215,249,G00008964,NULL,151,150
985503.76743735,203648.37998076,1756,CROSBY ST,NULL,146,170,145,169,G00008967,NULL,819,819
989613.69825014,214967.01401331,1757,W  46 ST,NULL,2,80,1,81,G00008973,NULL,1176,1177
1000352.79061706,246893.15012810,1758,W  171 ST,NULL,NULL,NULL,NULL,NULL,G00008977,NULL,686,686
986881.58757263,214802.38032027,1759,EIGHTH AVE,NULL,619,639,620,638,G00008981,NULL,1202,1199
995635.36074747,237136.58023839,1760,W  130 ST,NULL,600,640,601,641,G00008986,NULL,719,716
994273.57147630,230927.45584564,1761,W  107 ST,NULL,102,174,101,175,G00008989,NULL,615,619
999224.13473789,232271.99383897,1762,MOUNT MORRIS PARK W,NULL,1,10,NULL,NULL,G00008996,NULL,495,495
987421.76007312,209285.05413533,1763,E  23 ST,NULL,NULL,NULL,2,20,G00009006,NULL,650,650
996482.03884413,223147.26832206,1764,LEX AVE,NULL,1262,1280,1263,1277,G00009015,NULL,383,384
993384.11790077,233510.43030791,1765,W  114 ST,NULL,NULL,NULL,NULL,NULL,G00009017,NULL,727,725
989116.99829210,210868.53451344,1766,PARK AVE S,FOURTH AVE,NULL,NULL,461,477,G00009020,NULL,1266,1262
1000617.01581039,241919.85315214,1767,W  155 ST,NULL,NULL,NULL,NULL,NULL,G00009026,NULL,665,667
983028.18779914,211558.50721485,1768,TENTH AVE,NULL,201,219,200,220,G00009030,NULL,867,852
1002583.19937801,229363.26934148,1769,E  117 ST,NULL,401,459,400,452,G00009037,NULL,293,292
998500.56335039,236584.25047036,1770,SAINT NICHLAS AVE,NULL,NULL,NULL,458,484,G00009042,NULL,536,536
997353.80028586,236773.58407545,1771,CONVENT AVE,NULL,80,90,NULL,NULL,G00009067,NULL,644,645
1000121.01114089,229191.48505476,1772,E  112 ST,NULL,147,185,150,184,G00009075,NULL,413,411
992315.15101651,216613.28368665,1773,PARK AVE,NULL,NULL,NULL,441,455,G00009094,NULL,1165,1136
989491.64796930,220150.11552373,1774,W  63 ST,NULL,2,52,1,53,G00009102,NULL,1317,1317
989145.77267680,225377.12754343,1775,RIVERSIDE DR,NULL,NULL,NULL,70,79,G00009106,NULL,1390,1390
999217.36252845,221016.57391240,1776,E  END AVE,NULL,78,96,81,97,G00009107,NULL,1031,1035
999101.73899082,243939.62587015,1777,RIVERSIDE DR,NULL,815,869,NULL,NULL,G00009112,NULL,686,686
991496.09589610,213626.66761265,1778,E  45 ST,NULL,123,157,124,158,G00009120,NULL,498,498
985333.62807014,202876.54327960,1779,PRINCE ST,NULL,48,60,47,61,G00009124,NULL,801,800
992290.95995598,229137.35607939,1780,BROADWAY,NULL,NULL,NULL,2576,2596,G00009127,NULL,739,739
997887.58065247,233758.99873898,1781,W  123 ST,NULL,200,274,201,269,G00009131,NULL,555,554
997638.24224039,225232.96936718,1782,LEX AVE,NULL,1448,1470,1447,1469,G00009132,NULL,387,389
999001.98295122,230857.27225897,1783,FIFTH AVE,NULL,1400,1416,1401,1415,G00009133,NULL,489,449
983507.34415709,206511.23417293,1784,W  4 ST,NULL,NULL,NULL,NULL,NULL,G00009144,NULL,154,156
993089.08139122,218007.73791873,1785,PARK AVE,NULL,NULL,NULL,563,581,G00009150,NULL,1163,1133
991622.76575430,213854.89681497,1786,E  46 ST,NULL,127,163,128,164,G00009152,NULL,1125,498
1000392.10320247,226145.31826427,1787,FIRST AVE,NULL,1981,2001,1980,2002,G00009153,NULL,347,287
982707.48847335,199340.58102740,1788,CHAMBERS ST,NULL,NULL,NULL,39,69,G00009154,NULL,37,37
991757.09291347,227742.85099439,1789,W  92 ST,NULL,200,214,201,215,G00009158,NULL,742,742
1000565.08497593,234704.20846272,1790,W  131 ST,NULL,2,NULL,1,NULL,G00009167,NULL,500,501
984046.97710014,205967.80005639,1791,6 AVE,NULL,41,57,38,56,G00009178,NULL,157,807
987571.36965764,210694.60162640,1792,W  28 ST,NULL,2,20,1,19,G00009195,NULL,994,1270
993631.88214289,233839.38227244,1793,RIVERSIDE DR,NULL,NULL,NULL,431,439,G00009197,NULL,725,725
999810.70016580,238882.69715297,1794,BRADHURST AVE,NULL,21,39,20,38,G00009205,NULL,653,656
984664.07888431,202335.95561406,1795,CROSBY ST,NULL,42,72,41,71,G00009206,NULL,784,784
997206.97833914,227609.62783564,1796,FIFTH AVE,NULL,NULL,NULL,1200,1210,G00009211,NULL,507,471
997366.64829539,238898.12855256,1797,W  139 ST,NULL,532,570,531,571,G00009226,NULL,705,1431
991327.81686914,215957.35012318,1798,MADISON AVE,NULL,500,510,501,513,G00009228,NULL,1167,505
999065.73446414,239602.23803672,1799,CONVENT AVE,NULL,340,358,341,359,G00009230,NULL,654,654
1000943.98288293,235386.12907987,1800,W  134 ST,NULL,2,NULL,1,NULL,G00009245,NULL,503,504
999972.76332593,243933.26759644,1801,BROADWAY,NULL,NULL,NULL,3840,3858,G00009247,NULL,686,689
995142.96835955,237398.84349339,1802,W  125 ST,NULL,NULL,NULL,NULL,NULL,G00009256,NULL,719,716
989156.25329889,220481.78644831,1803,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00009259,NULL,1317,1317
990667.28029652,199876.39278386,1804,DELANCEY ST,NULL,338,338,NULL,NULL,G00009262,NULL,777,777
981850.17211055,204708.99351889,1805,GREENWICH ST,NULL,572,NULL,579,NULL,G00009270,NULL,103,103
985958.15930139,208365.90172343,1806,W  17 ST,NULL,2,68,1,65,G00009271,NULL,991,990
998348.82808956,235496.57531631,1807,F DOUGLAS BLVD,NULL,2411,2425,2410,2428,G00009275,NULL,643,543
996398.78933872,233834.01335273,1808,MORNINGSIDE AVE,NULL,NULL,NULL,59,69,G00009282,NULL,630,630
982047.03211710,206508.49287265,1809,W  TENTH ST,NULL,266,280,267,279,G00009287,NULL,146,145
995788.05302738,225057.04353793,1810,FIFTH AVE,NULL,NULL,NULL,1091,1099,G00009295,NULL,507,481
981686.06663168,206163.29671264,1811,CHRISTOPHER ST,NULL,152,186,165,187,G00009296,NULL,138,146
992961.30769663,217779.72984456,1812,PARK AVE,NULL,NULL,NULL,535,561,G00009297,NULL,1163,1134
1006242.84576606,255488.33602168,1813,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00009298,NULL,674,674
995703.30516539,221742.61725998,1814,LEX AVE,NULL,1142,1172,1137,1175,G00009313,NULL,1153,1152
998003.78940956,240509.49836130,1815,BROADWAY,NULL,3541,3559,NULL,NULL,G00009318,NULL,699,699
996674.39738330,232475.39074189,1816,F DOUGLAS BLVD,NULL,2153,2169,2154,2168,G00009323,NULL,627,565
995145.41832517,236825.09910034,1817,RIVERSIDE DR,NULL,NULL,NULL,550,570,G00009329,NULL,719,719
994822.05200663,217643.14383164,1818,2 AVE,NULL,1221,1239,1222,1240,G00009341,NULL,1070,1070
987297.29376222,218337.82091998,1819,W  53 ST,NULL,400,454,401,457,G00009343,NULL,1336,1337
981809.86215181,205114.18972293,1820,CLARKSON ST,NULL,55,60,56,61,G00009350,NULL,139,140
990219.16672793,201716.95223930,1821,AVE D,NULL,1,19,2,16,G00009357,NULL,246,229
982372.60544889,212238.40431307,1822,ELEVENTH AVE,NULL,181,199,182,200,G00009359,NULL,867,867
996984.13593705,226686.44070564,1823,E  98 ST,NULL,1,25,2,40,G00009360,NULL,472,476
988141.36851764,213956.20599556,1824,W  40 ST,NULL,100,130,101,139,G00009362,NULL,1198,1200
1003284.77933968,251664.20341406,1825,BROADWAY TER,NULL,NULL,NULL,NULL,NULL,G00009369,NULL,676,676
1002838.99299373,232107.40361698,1826,2 AVE,NULL,2461,2471,2460,2470,G00009370,NULL,303,303
992159.24253568,228898.35885397,1827,BROADWAY,NULL,NULL,NULL,2558,2574,G00009376,NULL,740,740
990115.31470098,210610.10376389,1828,3 AVE,NULL,470,486,471,487,G00009379,NULL,1261,1247
989462.58765997,211595.19365723,1829,PARK AVE,NULL,2,20,NULL,NULL,G00009380,NULL,1265,1260
1002236.73189510,249179.01973614,1830,W  182 ST,NULL,NULL,NULL,NULL,NULL,G00009392,NULL,678,678
992580.10528390,229725.80921756,1831,W  100 ST,NULL,NULL,NULL,NULL,NULL,G00009393,NULL,736,736
999934.31540413,233567.69482368,1832,W  126 ST,NULL,2,NULL,1,NULL,G00009396,NULL,495,496
982975.84327716,198890.34171546,1833,CENTRE ST,NULL,NULL,NULL,2,12,G00009398,NULL,37,37
981602.82532834,202113.52495656,1834,HUBERT ST,NULL,11,17,10,18,G00009405,NULL,36,36
985238.65253831,200000.67665602,1835,BOWERY,NULL,30,58,NULL,NULL,G00009411,NULL,51,190
996760.83093747,220366.29619373,1836,E  77 ST,NULL,301,357,300,356,G00009422,NULL,1047,1048
986957.79608164,220510.62612160,1837,W  END AVE,NULL,1,11,2,16,G00009425,NULL,1372,1372
982859.94589766,201504.71077708,1838,WALKER ST,NULL,2,30,1,31,G00009430,NULL,30,30
987216.83181684,209641.33896915,1839,FIFTH AVE,NULL,1099,1099,NULL,NULL,G00009431,NULL,995,650
1004396.15455921,249705.12076780,1840,LAUREL HIL TER,NULL,NULL,NULL,NULL,NULL,G00009435,NULL,671,671
993166.74852927,233076.78025220,1841,RIVERSIDE DR,NULL,NULL,NULL,NULL,NULL,G00009439,NULL,727,727
996887.89105081,225498.82841552,1842,E  94 ST,NULL,27,75,26,76,G00009445,NULL,478,479
983643.19526335,206386.69029473,1843,W  WASHINGTON PL,NULL,NULL,NULL,131,43,G00009449,NULL,154,157
987535.20289926,208903.27991377,1844,E  22 ST,NULL,5,45,6,50,G00009450,NULL,650,650
984204.54076139,207056.07543889,1845,GREENWICH AVE,NULL,23,34,18,37,G00009454,NULL,158,159
983725.27662805,206175.23402473,1846,W  4 ST,NULL,176,192,175,193,G00009455,NULL,126,157
1000976.93309776,238382.71571628,1847,W  144 ST,NULL,NULL,NULL,NULL,NULL,G00009458,NULL,521,520
985798.69931847,205758.47960889,1848,E  EIGHTH ST,NULL,31,43,34,42,G00009459,NULL,822,822
991709.56555718,203943.72453259,1849,E  13 ST,NULL,NULL,NULL,NULL,NULL,G00009460,NULL,263,263
996220.60892081,222676.14721707,1850,LEX AVE,NULL,1228,1248,1223,1239,G00009467,NULL,1149,1148
995731.90582997,217735.76995873,1851,FIRST AVE,NULL,1241,1255,1242,1256,G00009469,NULL,1067,1009
998230.62950705,231613.44200648,1852,LENOX AVE,NULL,123,141,NULL,NULL,G00009473,NULL,569,490
987469.64577972,205834.38824973,1853,3 AVE,NULL,66,84,67,85,G00009476,NULL,938,930
984931.01617851,199206.21072527,1854,E  BROADWAY,NULL,2,6,5,15,G00009478,NULL,46,NULL
998953.78285231,237867.06778914,1855,SAINT NICHLAS AVE,NULL,NULL,NULL,NULL,NULL,G00009484,NULL,651,651
989935.09661671,225100.64366113,1856,W  80 ST,NULL,NULL,NULL,NULL,NULL,G00009489,NULL,1392,1391
993982.09469325,233183.54193187,1857,W  114 ST,NULL,NULL,NULL,NULL,NULL,G00009491,NULL,727,725
999244.67455901,237114.52680480,1858,F DOUGLAS BLVD,NULL,2543,2559,2552,2568,G00009497,NULL,648,530
986816.11362222,205166.07757847,1859,COOPER SQ,NULL,NULL,NULL,NULL,NULL,G00009511,NULL,822,819
994625.96644080,222954.97359510,1860,FIFTH AVE,NULL,NULL,NULL,998,1009,G00009512,NULL,1181,1155
990232.39927651,225691.93826552,1861,BROADWAY,NULL,2281,2299,NULL,NULL,G00009514,NULL,1396,1396
993180.82907518,213141.25421339,1862,FIRST AVE,NULL,825,839,826,842,G00009526,NULL,1103,999
981935.48587974,198565.38032679,1863,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00009527,NULL,12,37
989981.10879457,218547.44155013,1864,SEVENTH AVE,NULL,922,936,919,937,G00009529,NULL,1290,1290
1001001.81146468,240937.17959256,1865,BRADHURST AVE,NULL,NULL,NULL,210,222,G00009533,NULL,665,704
1002661.94282289,249659.68478531,1866,WADSWORTH AVE,NULL,220,234,221,235,G00009540,NULL,678,678
997921.96542622,238443.30022994,1867,AMSTERDAM AVE,NULL,1580,1598,NULL,NULL,G00009545,NULL,708,651
991200.15078589,227304.04117648,1868,BROADWAY,NULL,2417,2439,NULL,NULL,G00009551,NULL,745,745
985593.88509555,203219.86608376,1869,MULBERRY ST,NULL,273,295,272,294,G00009559,NULL,800,800
986221.22472014,207789.57134722,1870,FIFTH AVE,NULL,98,108,73,83,G00009583,NULL,991,551
995724.05430368,223890.59984064,1871,MADISON AVE,NULL,1176,1186,1173,1189,G00009591,NULL,482,482
989638.81795055,224463.24830165,1872,BROADWAY,NULL,NULL,NULL,2180,2196,G00009597,NULL,NULL,NULL
984952.29845222,202783.84185740,1873,CROSBY ST,NULL,74,104,73,105,G00009600,NULL,800,800
1000252.52654593,242121.84257755,1874,W  155 ST,NULL,452,474,453,473,G00009608,NULL,664,667
982340.61404305,207189.07057972,1875,GREENWICH ST,NULL,738,750,733,751,G00009610,NULL,144,144
990172.62249318,227127.26331481,1876,W  87 ST,NULL,300,356,301,237,G00009611,NULL,746,746
987428.03661097,206806.53033432,1877,IRVING PL,NULL,1,13,2,12,G00009613,NULL,983,983
995213.48659122,215329.87270360,1878,SUTTON PL N,SUTTON PL,1053,1071,1,21,G00009620,NULL,1005,1005
1003914.09058105,250206.16991281,1879,AUDUBON AVE,NULL,NULL,NULL,NULL,NULL,G00009622,NULL,676,676
983754.22686543,202591.13719031,1880,BROOME ST,NULL,469,483,468,482,G00009623,NULL,125,125
987897.35981931,211691.69608890,1881,W  32 ST,NULL,2,50,1,49,G00009626,NULL,1269,1269
996820.74305518,217579.97647110,1882,E  68 ST,NULL,501,535,500,534,G00009629,NULL,1009,1009
995337.38890247,232588.43825202,1883,MORNINGSIDE DR,NULL,35,47,NULL,NULL,G00009631,NULL,624,624
982528.94585143,201735.06049040,1884,BEACH ST,NULL,NULL,NULL,11,19,G00009634,NULL,31,35
991998.96710164,216181.12264152,1885,PARK AVE,NULL,394,416,NULL,NULL,G00009650,NULL,1166,1131
1009288.74518605,258590.45908252,1886,MARBLE HILL AVE,NULL,NULL,NULL,NULL,NULL,G00009654,NULL,NULL,NULL
989805.72342749,212151.98375552,1887,E  37 ST EXT,NULL,NULL,NULL,NULL,NULL,G00009656,NULL,1121,1122
1003031.45471510,249924.05925656,1888,W  186 ST,NULL,NULL,NULL,NULL,NULL,G00009657,NULL,678,678
982667.77316564,201718.31413282,1889,BEACH ST,NULL,NULL,NULL,1,9,G00009663,NULL,31,35
986335.17134263,217529.28743206,1890,TENTH AVE,NULL,705,719,686,700,G00009665,NULL,1361,1344
1002389.04277814,246507.65860906,1891,AMSTERDAM AVE,NULL,2270,2298,NULL,NULL,G00009666,NULL,683,671
1002003.50975655,240234.81830044,1892,W  152 ST,NULL,NULL,NULL,NULL,NULL,G00009668,NULL,510,510
982796.86542714,209206.45729298,1893,W  14 ST,NULL,NULL,NULL,NULL,NULL,G00009678,NULL,177,865
989494.53810666,224090.36801446,1894,W  76 ST,NULL,NULL,NULL,NULL,NULL,G00009679,NULL,1389,1388
999799.71427958,233321.76205211,1895,W  125 ST,NULL,2,84,1,85,G00009682,NULL,495,495
982011.20049585,206236.44289181,1896,CHRISTOPHER ST,NULL,148,150,145,163,G00009686,NULL,138,146
997739.13278664,240490.32025006,1897,W  145 ST,NULL,NULL,NULL,601,623,G00009690,NULL,703,699
995334.12283289,220552.45723873,1898,E  75 ST,NULL,155,185,168,198,G00009698,NULL,1143,1145
1002215.75244230,236657.26525214,1899,FIFTH AVE,NULL,2300,2314,NULL,NULL,G00009700,NULL,1716,428
999211.41330664,229699.48422022,1900,E  112 ST,NULL,41,77,36,76,G00009702,NULL,455,456
999301.37769364,238420.19971839,1901,W  141 ST,NULL,328,334,329,353,G00009703,NULL,652,653
992205.42041969,227195.69193495,1902,W  91 ST,NULL,100,154,101,169,G00009719,NULL,584,588
991520.82962817,210908.07109311,1903,E  36 ST EXT,NULL,301,347,NULL,NULL,G00009738,NULL,1254,1253
983957.83357763,201972.99521793,1904,GRAND ST,NULL,106,120,107,119,G00009741,NULL,125,125
993955.95449343,228970.85723260,1905,W  100 ST,NULL,48,NULL,51,NULL,G00009763,NULL,600,603
986374.75410468,203443.99145573,1906,BOWERY,NULL,312,318,NULL,NULL,G00009764,NULL,821,897
1001272.24087789,233420.52828731,1907,E  128 ST,NULL,39,79,47,78,G00009776,NULL,434,435
