XCoord,YCoord,OBJECTID,MN_STREET1910_FULL_STREE,MN_STREET1910_Y1910NAMESTREET,MN_STREET1910_Y1910LEFT_LOW,MN_STREET1910_Y1910LEFT_HIGH,MN_STREET1910_Y1910RIGHT_LOW,MN_STREET1910_Y1910RIGHT_HIGH,MN_STREET1910_JOINID,MN_STREET1910_Y1910NAMEALT,MN_STREET1910_MINUS_ED_ED,MN_STREET1910_PLUS_ED_ED
981463.50310042,202620.21849697,125,VESTRY ST,NULL,49,57,52,56,G00000675,NULL,36,34
996389.65713914,237460.50675590,126,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00000682,NULL,714,714
999336.54593039,239611.76885756,127,W  145 ST,NULL,400,424,401,425,G00000686,NULL,654,657
991251.16675997,212686.79039136,128,3 AVE,NULL,640,658,639,659,G00000693,NULL,1123,1115
987703.28704473,212724.75996764,129,W  35 ST,NULL,NULL,NULL,NULL,NULL,G00000694,NULL,1192,1192
990654.38087214,222540.76528986,130,W  73 ST,NULL,2,50,1,67,G00000701,NULL,1304,1304
990254.12839972,213721.02913652,131,E  43 ST,NULL,none,none,40,52,G00000704,NULL,1169,1169
982077.74924726,196120.92867406,132,WATER ST,NULL,100,116,95,115,G00000709,NULL,8,9
997995.67295597,235238.11684373,133,W  128 ST,NULL,300,310,301,311,G00000710,NULL,642,643
989248.86756105,218976.64193408,134,COLUMBUS CIR,NULL,NULL,NULL,NULL,NULL,G00000716,NULL,1290,1290
991006.47436775,211486.16226112,135,E  37 ST EXT,NULL,201,247,200,246,G00000725,NULL,1256,1255
1001011.07573781,236582.31552732,136,W  138 ST,NULL,NULL,NULL,NULL,NULL,G00000728,NULL,1732,508
991629.87203030,227514.72151314,137,W  91 ST,NULL,NULL,NULL,201,211,G00000734,NULL,742,742
992523.62812581,228697.32251064,138,AMSTERDAM AVE,NULL,736,758,743,757,G00000740,NULL,740,595
987620.24587222,200986.56362781,139,DELANCEY ST,NULL,NULL,NULL,115,131,G00000742,NULL,219,219
990058.54791818,213666.71477664,140,MADISON AVE,NULL,316,332,317,331,G00000746,NULL,1169,1169
982272.34990793,208865.56493015,141,LITTLE W  12 ST,NULL,4,38,7,41,G00000757,NULL,177,177
990244.75899589,210843.96763343,142,3 AVE,NULL,488,506,489,505,G00000762,NULL,1260,1246
988505.67389139,217072.71354206,143,W  51 ST,NULL,214,256,215,257,G00000763,NULL,1285,1284
982908.24219867,202402.57193643,144,THOMPSON ST,NULL,1,19,2,20,G00000785,NULL,121,124
994118.49042164,219375.13511831,145,E  69 ST,NULL,101,129,100,128,G00000787,NULL,1137,1137
1009296.47318897,258482.09168115,146,MARBLE HILL AVE,NULL,NULL,NULL,NULL,NULL,G00000800,NULL,NULL,NULL
994014.19223785,233893.26553081,147,CLAREMONT AVE,NULL,NULL,NULL,2,14,G00000806,NULL,725,725
996922.31027330,233396.80458148,148,W  120 ST,NULL,300,318,301,319,G00000810,NULL,633,634
982513.67012739,197852.13584156,149,WILLIAM ST,NULL,145,155,144,154,G00000813,NULL,10,10
998682.92847122,238912.19512548,150,CONVENT AVE,NULL,280,298,281,299,G00000819,NULL,654,654
985926.41445018,218649.75746801,151,ELEVENTH AVE,NULL,721,735,722,736,G00000822,NULL,1368,1366
1007647.28029314,256735.52676877,152,PARK TER E,NULL,NULL,NULL,NULL,NULL,G00000829,NULL,674,674
988140.86989931,206574.55758238,153,E  15 ST,NULL,201,NULL,200,NULL,G00000830,NULL,980,980
989048.45659847,218261.53006206,154,W  56 ST,NULL,222,250,223,251,G00000838,NULL,1288,1286
990563.33044996,203120.03210483,155,E  EIGHTH ST,NULL,351,399,350,398,G00000839,NULL,1655,257
991191.66548775,214094.15118007,156,E  46 ST,NULL,81,125,80,124,G00000853,NULL,1125,1125
991698.58089139,226280.71005385,157,W  87 ST,NULL,100,176,101,183,G00000857,NULL,580,580
987920.30596764,214225.84439985,158,BROADWAY,NULL,1431,1449,1434,1450,G00000858,NULL,1200,1200
989581.54280264,210170.17846265,159,E  30 ST,NULL,133,159,132,160,G00000861,NULL,1263,1264
990261.12510489,201535.82253585,160,E  HOUSTON ST,NULL,426,444,427,443,G00000863,NULL,229,229
985039.41934097,217053.11876498,161,ELEVENTH AVE,NULL,589,603,592,608,G00000872,NULL,1358,1356
983278.87775052,197023.99576556,162,WATER ST,NULL,204,224,203,223,G00000874,NULL,11,11
988900.62374438,201537.99958162,163,STANTON ST,NULL,186,200,189,203,G00000876,NULL,242,235
986345.17624389,208012.90587430,164,FIFTH AVE,NULL,110,116,85,95,G00000880,NULL,991,551
982922.20621976,196394.29312076,165,FLETCHER ST,NULL,26,46,27,45,G00000881,NULL,11,11
992200.73031360,218053.48913956,166,E  61 ST,NULL,1,25,2,28,G00000882,NULL,1163,1163
984004.32954764,204600.78376156,167,SULLIVAN ST,NULL,166,196,167,197,G00000926,NULL,816,815
983383.18905764,203151.67068209,168,THOMPSON ST,NULL,45,83,46,82,G00000931,NULL,122,123
981169.83866151,195610.80206965,169,PEARL ST,NULL,55,69,54,73,G00000941,NULL,8,8
984823.44703906,199545.54725194,170,DOYERS ST,NULL,1,17,2,16,G00000945,NULL,46,46
984540.93953084,206860.61700436,171,6 AVE,NULL,NULL,NULL,114,130,G00000950,NULL,158,825
992231.16824485,230516.98258523,172,W  102 ST,NULL,300,326,301,325,G00000957,NULL,737,735
992332.36554901,212567.12068319,173,E  43 ST,NULL,301,335,300,348,G00000958,NULL,1110,1111
994072.88027664,233283.57137619,174,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00000959,NULL,725,725
997910.31535109,220194.64430606,175,YORK AVE,Avenue A,1473,1491,1470,1492,G00000960,NULL,1023,1024
