ED,Name,Min,Max
1,COLUMBIA HTS,11,76
1,DOUGHTY,1,61
1,EAST RIVER,NA,NA
1,ELIZABETH PL,1,20
1,EVERITT,1,10
1,FULTON,NA,NA
1,FURMAN,1,15
1,HENRY,1,28
1,HICKS,NA,NA
1,MCKENNEY,NA,NA
1,MCKENNY,1,23
1,MIDDAGH,1,82
1,POPLAR,NA,NA
1,POPLAR PL,NA,NA
1,VINE,1,36
1,WILLOW,1,18
2,COLUMBIA HTS,61,90
2,CRANBERRY,1,100
2,EAST RIVER,NA,NA
2,EVERITT,NA,NA
2,FULTON,NA,NA
2,FURMAN,NA,NA
2,HENRY,1,50
2,HICKS,43,66
2,MIDDAGH,1,96
2,PROSPECT,NA,NA
2,WILLOW,19,39
3,COLUMBIA HTS,79,136
3,CRANBERRY,1,100
3,EAST RIVER,NA,NA
3,EVERITT,NA,NA
3,FULTON,NA,NA
3,FURMAN,16,262
3,HENRY,49,91
3,HICKS,NA,NA
3,ORANGE,1,102
3,PINEAPPLE,1,80
3,PINEAPPLE WALK,81,110
3,WILLOW,36,78
4,CLARK,1,80
4,COLLEGE PL,1,36
4,COLUMBIA HTS,117,226
4,EAST RIVER,NA,NA
4,EVERITT,NA,NA
4,FORT STERLING PARK,NA,NA
4,FURMAN,NA,NA
4,HENRY,0,169
4,HICKS,101,NA
4,LOVE LN,30,60
4,PIERREPONT,0,84
4,PINEAPPLE,1,40
4,WILLOW,79,163
5,CLARK,39,118
5,CLINTON,1,56
5,FULTON,212,337
5,HENRY,0,169
5,HICKS,101,122
5,LOVE LN,1,29
5,MONROE PL,1,52
5,PIERREPONT,85,171
5,PINEAPPLE,41,80
5,PINEAPPLE WALK,81,110
6,EAST RIVER,NA,NA
6,FURMAN,251,334
6,GRACE CT,1,62
6,HICKS,0,265
6,JORALEMON,19,79
6,MONTAGUE,1,90
6,MONTAGUE TER,1,13
6,PIERREPONT,0,36
6,PIERREPONT PL,1,24
6,REMSEN,1,58
7,CLINTON,49,122
7,GRACE CT ALY,1,20
7,HENRY,NA,NA
7,HICKS,0,265
7,HUNTS ALY,NA,NA
7,HUNTS LN,1,29
7,JORALEMON,80,157
7,MONTAGUE,91,167
7,PIERREPONT,33,130
7,REMSEN,59,146
