Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,134,NA,72,NA,NA,67,131,NA,NA,2,NA
NA,457,NA,443,NA,NA,444,458,NA,NA,7,NA
NA,162,NA,98,NA,NA,97,161,NA,NA,15,NA
NA,508,NA,494,NA,NA,497,517,NA,NA,16,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
NA,86,NA,51,NA,NA,49,83,NA,NA,22,NA
NA,1382,NA,1360,NA,NA,1385,1409,NA,NA,25,NA
NA,52,NA,32,NA,NA,41,61,NA,NA,26,NA
NA,NA,NA,NA,NA,57,NA,NA,NA,NA,27,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
NA,360,NA,300,NA,NA,297,357,NA,NA,31,NA
NA,140,NA,128,NA,NA,NA,NA,NA,NA,33,NA
NA,223,NA,209,NA,NA,210,224,NA,NA,34,NA
NA,26,NA,10,NA,NA,3,19,NA,NA,35,NA
NA,180,NA,172,NA,NA,161,171,NA,NA,36,NA
NA,170,NA,156,NA,NA,151,169,NA,NA,37,NA
NA,54,NA,20,NA,NA,23,59,NA,NA,39,NA
NA,70,NA,2,NA,NA,1,69,NA,NA,41,NA
NA,1144,NA,1062,NA,NA,NA,NA,NA,NA,42,NA
NA,42,NA,28,NA,NA,27,41,NA,NA,44,NA
NA,NA,NA,NA,NA,NA,85,85,NA,NA,45,NA
NA,NA,NA,NA,NA,53,NA,NA,NA,NA,46,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,47,NA
NA,200,NA,184,NA,NA,177,193,NA,NA,48,NA
NA,174,NA,130,NA,NA,129,163,NA,NA,51,NA
NA,172,NA,124,NA,NA,123,175,NA,NA,53,NA
NA,714,NA,686,NA,NA,661,689,NA,NA,55,NA
NA,262,NA,248,NA,NA,243,257,NA,NA,57,NA
NA,136,NA,122,NA,NA,131,145,NA,NA,60,NA
NA,34,NA,2,NA,NA,1,33,NA,NA,61,NA
NA,984,NA,970,NA,NA,941,959,NA,NA,63,NA
NA,136,NA,92,NA,NA,89,131,NA,NA,75,NA
NA,378,NA,310,NA,1,317,385,NA,NA,76,NA
NA,160,NA,108,NA,NA,109,159,NA,NA,78,NA
NA,178,NA,118,NA,NA,135,195,NA,NA,79,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA
