OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
2389,,E 3 ST,271,329,270,328,G00002185,,309,307
2390,,E 95 ST,1,29,2,30,G00002186,,625,623
2391,,E 3 ST,1,37,2,38,G00002187,,258,258
2392,,HUDSON ST,585,597,,,G00002188,,236,235
2394,,EIGHTH AVE,891,909,892,908,G00002190,,511,504
2396,FOURTH AVE,FOURTH AVE,1813,1847,,,G00002193,,630,630
2397,,CHARLTON ST,90,112,91,111,G00002194,,104,105
2398,SECOND AVE,SECOND AVE,2401,2417,2400,2418,G00002195,,647,646
2399,EIGHTH AVE,EIGHTH AVE,2179,2203,2180,2204,G00002196,,529,536
2400,,BEAVER ST,11,33,14,30,G00002198,,9,1
2401,,LEXINGTON AVE,1004,1022,1001,1019,G00002199,,588,595
2402,,SULLIVAN ST,204,234,205,235,G00002200,,160,160
2403,,E 97 ST,201,235,200,234,G00002201,,624,624
2404,,E 74 ST,401,447,400,446,G00002202,,613,613
2405,,E 51 ST,101,141,100,140,G00002203,,576,576
2406,,6 AVE,189,207,190,206,G00002204,,180,181
2407,ELM ST,ELM ST,58,62,57,61,G00002205,,47,47
2408,FIRST AVE,FIRST AVE,1113,1131,1114,1128,G00002206,,619,619
2410,,E 70 ST,,,,,G00002208,,588,587
2411,,FOURTH AVE,42,58,39,55,G00002209,,66,67
2412,,E 79 ST,1,41,2,42,G00002210,,589,589
2414,FOURTH AVE,FOURTH AVE,,,947,953,G00002212,,584,584
2416,,LEXINGTON AVE,1940,1960,1941,1961,G00002214,,641,641
2417,,MURRAY ST,64,84,63,87,G00002215,,14,14
2418,,W 60 ST,200,256,201,255,G00002216,,519,519
2419,,E 12 ST,201,241,200,246,G00002217,,361,361
2420,BOULEVARD,BOULEVARD,2177,2197,,,G00002218,BROADWAY,525,525
2422,,E 128 ST,143,175,144,180,G00002220,,652,652
2423,,W HOUSTON ST,151,163,150,162,G00002221,,113,129
2424,,LEROY ST,100,128,101,127,G00002222,,217,228
2425,,W 66 ST,126,162,127,163,G00002223,,521,522
2426,,OLD SLIP,,,17,27,G00002224,,9,1
2428,,9 AVE,3750,3764,3751,3765,G00002226,,535,535
2429,,E 45 ST,,,30,40,G00002227,,571,571
2430,,E 126 ST,,,,,G00002228,,648,648
2431,,E 78 ST,301,353,300,352,G00002229,,609,609
2433,,WALL ST,90,104,91,103,G00002231,,9,9
2434,,MADISON AVE,300,314,301,315,G00002232,,570,570
2435,,HORATIO ST,68,92,61,87,G00002233,,240,243
2436,,PRINCE ST,128,146,127,147,G00002234,,125,126
2437,,E 120 ST,301,357,300,356,G00002235,,642,643
2438,ELEVENTH AVE,ELEVENTH AVE,503,521,504,522,G00002237,WEST END AVE,526,526
2440,,W 160 ST,440,442,431,433,G00002239,,533,533
2441,FIRST AVE,FIRST AVE,861,881,860,874,G00002240,,551,551
2442,,FIFTH AVE,656,672,659,671,G00002241,,578,577
2443,SECOND AVE,SECOND AVE,1003,1027,1004,1022,G00002242,,560,559
2444,,6 AVE,887,899,888,900,G00002243,,579,578
2446,,6 AVE,635,651,636,654,G00002245,,299,297
2447,,NORFOLK ST,83,109,84,110,G00002246,,211,149
2448,,E 32 ST,139,167,134,174,G00002247,,475,475
2449,FOURTH AVE,FOURTH AVE,,,,,G00002248,,576,576
2450,,CATHERINE ST,43,55,46,64,G00002249,,79,26
2451,,BAYARD ST,39,51,40,52,G00002250,,43,43
2454,,W 14 ST,300,356,301,359,G00002253,,244,245
2455,,E 93 ST,,,,,G00002254,,623,623
2456,,W 86 ST,300,350,301,351,G00002255,,526,527
2457,,MADISON AVE,590,606,585,601,G00002256,,584,584
2458,,W 122 ST,1,21,2,20,G00002257,,640,640
2459,,E 84 ST,39,59,40,62,G00002258,,591,590
2461,,DUANE ST,184,190,179,181,G00002260,,16,16
2463,EIGHTH AVE,EIGHTH AVE,2309,2321,2310,2322,G00002262,,530,536
2464,,WILLIAM ST,157,171,156,168,G00002263,,11,11
2465,,E 67 ST,401,441,400,440,G00002264,,616,616
2466,,W 48 ST,300,362,301,375,G00002265,,465,465
2467,,FRANKLIN ST,167,191,168,194,G00002266,,17,17
2468,FOURTH AVE,FOURTH AVE,1046,1060,,,G00002267,,587,587
2469,,FIFTH AVE,24,32,23,33,G00002268,,174,172
2470,,MADISON AVE,48,60,47,61,G00002269,,280,280
2471,,E 67 ST,,,,,G00002270,,587,587
2472,,WHITE ST,2,32,1,31,G00002271,,20,20
2473,,3 AVE,1132,1148,1131,1149,G00002272,,594,616
2474,,SOUTH ST,1,7,,,G00002273,,1,0
2475,,CHRYSTIE ST,73,99,74,98,G00002274,,200,200
2476,,W 97 ST,300,318,301,319,G00002275,,527,527
2477,,PARK ROW,1,13,,,G00002276,,43,43
2479,,FORSYTH ST,63,89,62,88,G00002278,,200,199
2480,,LEXINGTON AVE,2146,2168,2147,2169,G00002279,,651,652
2481,,LENOX AVE,1433,1451,1434,1452,G00002280,,650,650
2483,,E 15 ST,123,153,122,148,G00002282,,69,69
2484,,E 119 ST,201,253,200,254,G00002283,,642,637
2485,TENTH AVE,TENTH AVE,,,,,G00002284,,535,535
2486,FOURTH AVE,FOURTH AVE,1667,1701,,,G00002285,,625,625
2487,EIGHTH AVE,EIGHTH AVE,236,249,,,G00002286,CENTRAL PARK WEST,526,0
2488,,W 155 ST,,,,,G00002287,,532,533
2489,,UNION SQ W,17,29,,,G00002288,,182,0
2490,,W 55 ST,300,376,301,377,G00002289,,511,516
2491,,ELIZABETH ST,165,199,166,198,G00002290,,59,58
2492,,LEXINGTON AVE,1682,1702,1683,1703,G00002291,,630,630
2493,TENTH AVE,TENTH AVE,460,478,461,479,G00002292,,526,526
2494,,W 24 ST,100,164,101,165,G00002293,,343,343
2495,BOULEVARD,BOULEVARD,,,3038,3044,G00002294,BROADWAY,529,529
2496,,WILLIAM ST,1,9,2,10,G00002295,,1,9
2497,FIRST AVE,FIRST AVE,629,643,628,646,G00002296,,487,487
2498,FOURTH AVE,FOURTH AVE,376,408,377,409,G00002297,BOWERY,66,67
2499,,W 36 ST,400,462,401,463,G00002298,,390,391
2500,,E TENTH ST,73,95,74,98,G00002299,,67,67
2502,,W 173 ST,550,572,555,571,G00002301,,534,534
2503,,SEVENTH AVE,100,116,101,117,G00002302,,329,185
2504,,E 73 ST,,,,,G00002303,,588,588
2505,,MADISON AVE,1692,1708,1693,1709,G00002304,,631,631
2506,,W 53 ST,500,554,501,555,G00002305,,509,509
2508,FOURTH AVE,FOURTH AVE,,,2056,2088,G00002307,,638,638
2509,EIGHTH AVE,EIGHTH AVE,478,485,,,G00002308,CENTRAL PARK WEST,529,0
2510,,E 89 ST,301,355,300,354,G00002309,,601,601
2511,,LEXINGTON AVE,1100,1112,1101,1113,G00002310,,589,596
2512,,FIFTH AVE,,,1301,1317,G00002311,,0,591
2513,,E 121 ST,301,359,300,358,G00002312,,645,642
2514,,W 15 ST,2,64,1,67,G00002313,,182,182
2515,,E 102 ST,161,177,160,176,G00002314,,625,625
2516,,E BROADWAY,120,162,121,161,G00002315,,86,86
2517,,W 212 ST,500,536,501,529,G00002316,,535,535
2520,,W 38 ST,400,460,401,457,G00002319,,392,395
2523,,GRAND ST,308,320,309,321,G00002322,,202,198
2524,,W 35 ST,2,78,1,77,G00002323,,295,295
2525,,E 88 ST,1,41,2,40,G00002324,,599,599
2526,,W 96 ST,2,60,1,59,G00002325,,527,527
2527,,E 56 ST,301,353,300,354,G00002326,,564,564
2528,,W 35 ST,300,382,301,375,G00002327,,402,401
2530,FRONT ST,FRONT ST,,,,,G00002329,,97,97
2531,,BARROW ST,1,1,,,G00002330,,223,223
2532,,GREENWICH ST,322,332,325,337,G00002331,,16,16
2535,,N MOORE ST,2,14,1,15,G00002334,,19,20
2536,,CANAL ST,502,516,523,533,G00002335,,24,102
2537,,ELEVENTH AVE,381,395,380,394,G00002336,,388,388
2538,,BLEECKER ST,272,280,271,279,G00002337,,225,223
2539,,WHITE ST,98,114,97,113,G00002338,,47,47
2540,,3 AVE,952,970,953,971,G00002339,,541,566
2541,,HUDSON ST,135,149,136,150,G00002340,,18,21
2542,,GREENE ST,229,237,230,238,G00002341,,158,164
2543,,W 76 ST,214,260,215,261,G00002342,,525,525
2544,,LEXINGTON AVE,804,820,803,821,G00002343,,586,593
2545,NINTH AVE,COLUMBUS AVE,538,556,539,557,G00002344,,527,527
2546,,E 33 ST,1,23,2,28,G00002345,,292,292
2547,,SULLIVAN ST,46,56,43,55,G00002346,,110,121
2548,,STANTON ST,106,120,105,119,G00002347,,251,213
2549,,E 58 ST,101,135,100,136,G00002348,,584,584
2550,SECOND AVE,SECOND AVE,481,497,482,498,G00002349,,500,502
2551,,BEAVER ST,75,95,76,92,G00002350,,9,9
2552,,W 204 ST,508,518,541,553,G00002351,,535,535
2553,,E FIRST ST,12,26,11,23,G00002352,,257,257
2554,FOURTH AVE,FOURTH AVE,1162,1170,,,G00002353,,588,588
2555,,E 109 ST,201,247,200,246,G00002354,,629,629
2556,,FIFTH AVE,354,370,355,371,G00002355,,295,295
2558,,W 32 ST,,,,,G00002357,,289,293
2559,,E 72 ST,23,61,24,62,G00002358,,588,588
2560,,FORSYTH ST,31,61,32,60,G00002359,,193,195
2562,,WAVERLY PL,186,204,167,169,G00002361,,167,169
2564,,E 50 ST,301,363,300,364,G00002363,,553,552
2566,FOURTH AVE,FOURTH AVE,2055,2087,,,G00002365,,638,638
2569,,ELEVENTH AVE,247,261,246,260,G00002368,,377,377
2570,Lexington Ave,Lexington Ave,256,274,257,271,G00002369,,296,476
2571,,W 117 ST,204,280,205,281,G00002370,,536,536
2572,,3 AVE,1948,1964,1949,1965,G00002372,,630,629
2573,BOULEVARD,BOULEVARD,2133,2153,,,G00002373,BROADWAY,525,525
2574,SECOND AVE,SECOND AVE,1733,1751,1734,1752,G00002374,,600,601
2575,Lexington Ave,Lexington Ave,198,218,201,219,G00002375,,291,475
2576,,ACADEMY ST,598,624,599,625,G00002376,,535,535
2577,,W 79 ST,,,,,G00002377,,525,525
2578,,AVE A,1299,1309,1300,1310,G00002378,,613,613
2581,,E 86 ST,135,161,134,160,G00002381,,598,597
2582,,SEVENTH AVE,1507,1527,,,G00002382,BROADWAY,470,568
2583,,COLUMBUS CIR,,,,,G00002383,,0,0
2584,,LEXINGTON AVE,314,332,315,331,G00002384,,296,477
2586,,ORCHARD ST,11,39,10,38,G00002386,,196,196
2587,,BOWERY,232,244,233,245,G00002387,,58,216
2588,EIGHTH AVE,EIGHTH AVE,2343,2365,2344,2366,G00002388,,530,536
2591,,W 13 ST,352,362,,,G00002391,,242,244
2593,,NASSAU ST,27,39,28,38,G00002393,,9,9
2594,,W 150 ST,300,312,301,313,G00002394,,532,532
2595,,W 58 ST,2,66,1,55,G00002395,,584,584
2597,,E 11 ST,401,443,400,444,G00002397,,365,366
2598,,W 39 ST,200,276,201,277,G00002398,,403,403
2600,,E 70 ST,501,535,500,534,G00002400,,613,616
2602,,AUDUBON AVE,,,,,G00002402,,534,534
2603,,FOURTH AVE,480,494,479,493,G00002404,,291,291
2604,,E 80 ST,1,23,2,24,G00002405,,590,589
2606,,E 109 ST,301,349,300,348,G00002407,,627,627
2608,,E 21 ST,301,345,300,350,G00002409,,425,424
2609,,9 AVE,89,103,88,102,G00002410,,327,328
2610,,MANHATTAN AVE,443,479,444,480,G00002411,,529,529
2612,,W 22 ST,100,170,101,169,G00002413,,190,190
2613,,BLEECKER ST,296,314,297,315,G00002414,,225,224
2614,,WILLIAM ST,45,53,46,54,G00002415,,9,9
2615,TENTH AVE,TENTH AVE,,,1641,1659,G00002416,,531,531
2616,,COLLISTER ST,,,,,G00002417,,18,18
2617,,BAXTER ST,100,102,99,101,G00002418,,46,45
2618,,GREENWICH ST,620,634,617,631,G00002419,,229,228
2619,S. FIFTH AVE,S. FIFTH AVE,209,247,214,242,G00002420,,122,123
2620,,A AVE,127,143,,,G00002421,,368,0
2622,,W 88 ST,250,264,251,267,G00002423,,527,527
2624,,PITT ST,111,141,,,G00002426,,303,303
2625,FOURTH AVE,FOURTH AVE,800,814,,,G00002427,,577,577
2626,,WAVERLY PL,226,230,183,197,G00002428,,178,177
2627,BOULEVARD,BOULEVARD,2825,2835,,,G00002429,BROADWAY,529,529
2628,,HUDSON ST,343,361,346,364,G00002430,,105,106
2629,,FIFTH AVE,,,1489,1499,G00002431,,0,625
2630,,MONTGOMERY ST,81,87,82,88,G00002432,,96,91
2631,,DELANCEY ST,54,70,55,69,G00002433,,209,206
2632,,W 80 ST,246,252,245,255,G00002434,,525,525
2633,EIGHTH AVE,EIGHTH AVE,,,2766,2782,G00002436,,532,536
2634,,LENOX AVE,1753,1771,1754,1772,G00002437,,654,654
2635,,TENTH AVE,771,787,766,780,G00002438,,509,508
2636,,W 136 ST,2,66,1,67,G00002439,,654,654
2638,,LEXINGTON AVE,2102,2126,2103,2127,G00002441,,651,652
2639,TENTH AVE,TENTH AVE,,,553,569,G00002442,,527,527
2640,NINTH AVE,COLUMBUS AVE,959,973,960,974,G00002443,,520,520
2641,BOULEVARD,BOULEVARD,2113,2131,,,G00002444,BROADWAY,525,525
2643,,9 AVE,147,169,146,162,G00002446,,336,336
2644,,JEFFERSON ST,9,19,6,20,G00002447,,88,87
2645,,PRINCE ST,190,206,189,205,G00002448,,119,115
2646,,W 35 ST,500,560,501,559,G00002449,,388,389
2647,,E HOUSTON ST,298,316,297,317,G00002450,,305,304
2648,,,550,590,551,565,G00002451,,534,534
2649,,E 123 ST,,,,,G00002452,,648,641
2650,,A AVE,211,225,210,224,G00002453,,363,372
2651,,LEXINGTON AVE,1412,1448,1423,1447,G00002455,,623,623
2652,,MINETTA LN,1,5,2,10,G00002456,,161,161
2653,,E 83 ST,301,349,300,348,G00002457,,603,605
2654,,HUDSON ST,99,103,96,102,G00002458,,17,15
2655,,GREENE ST,119,147,120,146,G00002459,,126,126
2656,,E 43 ST,125,155,126,156,G00002460,,537,537
2657,,LEONARD ST,123,139,124,140,G00002461,,47,47
2658,ELEVENTH AVE,ELEVENTH AVE,699,713,700,714,G00002462,WEST END AVE,527,527
2659,,GREENE ST,1,31,2,32,G00002463,,123,123
2660,Livingston pl,Livingston pl,,,1,9,G00002464,,437,438
2661,,E 54 ST,49,77,48,82,G00002465,,583,577
2663,BOULEVARD,BOULEVARD,1821,1849,,,G00002467,BROADWAY,517,517
2664,,W 57 ST,300,370,301,365,G00002468,,516,516
2665,,W 19 ST,100,164,101,167,G00002469,,187,189
2666,Lexington Ave,Lexington Ave,100,118,99,117,G00002470,,279,474
2668,,SEVENTH AVE,244,260,245,261,G00002472,,344,343
2669,,GRAND ST,236,250,237,253,G00002473,,201,200
2670,,HANCOCK PL,,,7,19,G00002474,,530,530
2671,TENTH AVE,TENTH AVE,1974,1998,1975,1999,G00002475,,533,533
2672,FIRST AVE,FIRST AVE,2067,2089,2068,2090,G00002476,,627,627
2673,TENTH AVE,TENTH AVE,2118,2134,2119,2135,G00002477,,534,534
2674,,ALLEN ST,179,207,180,208,G00002478,,249,250
2675,,MADISON AVE,850,868,851,869,G00002479,,588,588
2677,,W 175 ST,550,572,551,575,G00002481,,534,534
2678,,E 3 ST,201,265,200,260,G00002482,,310,306
2679,BOULEVARD,BOULEVARD,2521,2537,,,G00002483,BROADWAY,527,527
2680,,E 41 ST,301,347,300,356,G00002484,,479,480
2681,,9 AVE,507,521,506,522,G00002486,,395,398
2682,,MONROE ST,1,45,2,44,G00002487,,79,80
2683,,GREENWICH ST,94,112,91,111,G00002488,,6,8
2684,,E 38 ST,21,41,22,40,G00002489,,298,296
2685,,W 78 ST,250,262,251,263,G00002490,,525,525
2686,,BROADWAY,1591,1611,1592,1610,G00002491,,468,468
2687,,E 90 ST,301,341,300,340,G00002492,,601,601
2688,,W 179 ST,,,,,G00002493,,534,534
2689,,E 118 ST,201,255,200,254,G00002494,,637,637
2690,,W 51 ST,100,162,101,163,G00002495,,579,579
2691,,MORNINGSIDE AVE,,,1,10,G00002496,,529,529
2692,,W 48 ST,2,80,1,79,G00002497,,575,575
2694,FOURTH AVE,FOURTH AVE,1383,1397,,,G00002499,,600,600
2695,,DUNSCOMB PL,401,433,400,432,G00002500,,554,552
2697,,MORNINGSIDE AVE,138,150,139,151,G00002502,,530,530
2698,,E 83 ST,135,173,134,174,G00002503,,597,597
2699,,TENTH AVE,237,255,242,258,G00002504,,346,346
2700,,STONE ST,43,61,42,62,G00002505,,1,1
2701,,CANAL ST,314,338,313,331,G00002506,,20,123
2702,,EIGHTH AVE,601,617,600,618,G00002507,,397,403
2703,,RIVINGTON ST,148,162,145,163,G00002508,,212,151
2704,,E 42 ST,401,435,400,430,G00002509,,542,480
2705,,W 60 ST,6,44,7,45,G00002511,,517,517
2706,,E 45 ST,301,347,300,346,G00002512,,546,545
2707,,CHERRY ST,116,164,117,163,G00002513,,81,82
2708,FIRST AVE,FIRST AVE,2303,2307,2292,2306,G00002514,,636,635
2709,,GOLD ST,37,51,38,50,G00002515,,11,10
2711,FOURTH AVE,FOURTH AVE,,,,,G00002517,,576,576
2712,,SAINT NICHOLAS' PL,,,758,772,G00002518,,532,532
2714,,MONTGOMERY ST,35,47,36,50,G00002520,,94,91
2715,,E 18 ST,31,49,30,48,G00002521,,188,186
2716,ELEVENTH AVE,ELEVENTH AVE,261,281,262,282,G00002522,WEST END AVE,524,524
2717,,JEFFERSON ST,21,27,22,26,G00002523,,88,87
2718,,E 53 ST,400,450,401,451,G00002524,,559,559
2719,,9 AVE,863,881,862,880,G00002525,,515,516
2720,,WATER ST,74,94,75,95,G00002526,,9,9
2722,,E 104 ST,143,185,142,188,G00002528,,625,625
2723,,W 59 ST,500,552,501,557,G00002529,,518,519
2726,,LASALLE ST,500,550,501,551,G00002532,,530,530
2727,,W 66 ST,100,124,101,125,G00002533,,521,522
2728,SECOND AVE,SECOND AVE,39,51,38,52,G00002534,,258,259
2729,ELEVENTH AVE,ELEVENTH AVE,779,795,780,796,G00002535,WEST END AVE,527,527
2730,,SPRUCE ST,,,,,G00002536,,0,11
2731,,BROADWAY,,,4502,4538,G00002537,,535,535
2732,,EDGECOMB AVE,,,26,46,G00002539,,531,531
2733,,MAIDEN LN,1,19,2,18,G00002540,,11,11
2734,TENTH AVE,TENTH AVE,176,204,177,205,G00002541,,524,523
2735,,E 28 ST,23,49,24,50,G00002542,,280,280
2736,FIRST AVE,FIRST AVE,377,391,378,392,G00002543,,433,426
2737,,E 88 ST,101,129,100,128,G00002544,,599,599
2738,,RIVERSIDE DR,,,50,59,G00002545,,525,525
2739,,E SIXTH ST,401,447,400,442,G00002546,,273,270
2741,FIRST AVE,FIRST AVE,1219,1237,1206,1224,G00002549,,616,616
2742,,BROADWAY,871,887,874,888,G00002550,,188,188
2743,,STUYVESANT ST,13,37,16,48,G00002551,,355,355
2744,,E 13 ST,501,549,500,550,G00002552,,372,371
2745,,SAINT MARK'S PL,1,37,2,36,G00002553,,355,275
2746,,HUDSON ST,405,421,404,418,G00002554,,217,219
2747,FOURTH AVE,FOURTH AVE,,,1220,1226,G00002555,,589,589
2748,,E 53 ST,1,25,2,22,G00002556,,577,577
2749,,NAGLE AVE,2,72,1,71,G00002557,,535,535
2750,FOURTH AVE,FOURTH AVE,,,2363,2381,G00002558,,651,651
2751,,E 43 ST,1,21,2,22,G00002559,,570,570
2752,,E 131 ST,101,131,100,130,G00002560,,653,653
2753,,E 75 ST,201,241,200,242,G00002561,,611,612
2754,,W 117 ST,324,368,325,369,G00002562,,529,529
2755,,TENTH AVE,221,235,222,240,G00002563,,326,340
2756,,E 49 ST,,,,,G00002564,,576,576
2757,,IRVING PL,51,63,52,64,G00002565,,70,70
2758,,PEARL ST,311,341,314,342,G00002566,,37,37
2759,,W 78 ST,300,322,301,323,G00002567,,525,525
2760,,E 34 ST,37,63,38,72,G00002568,,291,291
2761,,E 117 ST,,,,,G00002569,,639,638
2762,FOURTH AVE,FOURTH AVE,,,1322,1338,G00002570,,598,598
2763,,,76,108,,,G00002571,,243,243
2764,,EIGHTH AVE,851,869,850,868,G00002572,,466,467
2765,,ST NICHOLAS AVENUE,723,739,724,740,G00002573,,532,532
2766,,FIFTH AVE,,,1561,1569,G00002574,,0,625
2767,,LEXINGTON AVE,2070,2088,2071,2089,G00002575,,648,648
2769,,W 136 ST,,,,,G00002577,,531,531
2770,,E 45 ST,1,27,2,28,G00002578,,571,571
2771,,SEVENTH AVE,880,900,881,899,G00002579,,506,581
2772,,6 AVE,411,427,414,428,G00002580,,284,283
2773,,AVE D,,,,,G00002581,,307,308
2774,,E 12 ST,31,53,32,58,G00002582,,181,173
2775,,GREENE ST,33,55,34,54,G00002583,,123,123
2776,,MADISON AVE,1974,1982,1973,1983,G00002584,,649,649
2778,,E 73 ST,301,341,300,340,G00002586,,614,614
2781,,MADISON AVE,2026,2050,2027,2051,G00002589,,650,651
2782,,E 126 ST,101,131,100,132,G00002590,,648,648
2783,,B AVE,76,92,73,91,G00002591,,271,314
2784,,CORTLANDT ALY,1,23,2,24,G00002592,,47,47
2785,,W 4 ST,286,298,283,299,G00002593,,235,178
2786,,LEXINGTON AVE,784,802,783,801,G00002594,,586,592
2787,,GREENWICH ST,310,320,315,323,G00002595,,16,16
2788,,6 AVE,253,267,250,266,G00002596,,185,186
2789,,W 101 ST,200,210,201,211,G00002597,,528,528
2790,,W 101 ST,,,,,G00002598,,528,528
2791,,HUDSON ST,55,61,50,62,G00002599,,16,15
2792,,HUDSON ST,217,241,214,232,G00002600,,103,109
2793,,6 AVE,449,461,446,462,G00002601,,286,282
2794,,W 177 ST,500,514,501,511,G00002602,,534,534
2795,,BROAD ST,105,111,110,122,G00002603,,1,1
2796,,FIFTH AVE,,,1281,1299,G00002604,,0,591
2797,,FIFTH AVE,2078,2094,2077,2093,G00002605,,650,650
2799,,E 125 ST,301,349,300,352,G00002607,,646,646
2801,,MOTT ST,241,291,240,292,G00002609,,61,60
2802,,E 61 ST,,,,,G00002610,,586,585
2803,,BROADWAY,463,487,460,486,G00002611,,123,53
2804,,SULLIVAN ST,2,18,1,21,G00002612,,122,122
2805,,W 140 ST,450,476,451,475,G00002613,,531,531
2806,,TENTH AVE,575,591,576,594,G00002614,,441,458
2807,,BROOME ST,195,209,196,210,G00002615,,149,149
2808,,W 34 ST,2,72,1,61,G00002616,,292,295
2809,,RIVERSIDE DR,,,90,99,G00002617,,526,526
2810,EIGHTH AVE,EIGHTH AVE,2819,2831,2840,2848,G00002618,,532,536
2811,,W 108 ST,2,18,1,17,G00002619,,528,529
2813,,ST NICHOLAS AVENUE,271,291,272,292,G00002621,,530,530
2814,,W 183 ST,,,,,G00002622,,535,535
2816,,E 24 ST,135,165,138,164,G00002625,,473,473
2817,BOULEVARD,BOULEVARD,,,2940,2958,G00002626,BROADWAY,529,529
2818,,AUDUBON AVE,,,,,G00002627,,535,535
2819,,B AVE,160,174,159,173,G00002628,,369,325
2820,,W 82 ST,250,256,249,257,G00002629,,526,526
2821,,FIFTH AVE,130,140,109,117,G00002630,,188,188
2822,,MADISON AVE,1670,1690,1671,1691,G00002632,,630,630
2823,,A AVE,175,193,174,190,G00002633,,365,370
2824,,AVE A,1323,1327,1324,1328,G00002634,,613,613
2825,,W 18 ST,100,170,101,171,G00002635,,187,187
2826,FIRST AVE,FIRST AVE,281,295,274,288,G00002636,,437,420
2827,,3 AVE,1548,1566,1557,1567,G00002637,,599,598
2828,,W 36 ST,118,168,117,167,G00002638,,294,294
2829,,HUDSON ST,447,463,438,462,G00002639,,228,226
2831,,ST NICHOLAS AVENUE,323,339,324,340,G00002641,,530,530
2833,,W 12 ST,286,308,283,295,G00002643,,235,235
2834,,W 28 ST,24,56,25,61,G00002644,,282,282
2835,,W 122 ST,500,540,501,527,G00002645,,529,529
2836,,E TENTH ST,1,23,2,26,G00002646,,173,172
2837,SECOND AVE,SECOND AVE,943,961,944,960,G00002647,,553,553
2838,FIRST AVE,FIRST AVE,1495,1509,1494,1508,G00002648,,609,609
2840,SECOND AVE,SECOND AVE,2003,2017,2002,2016,G00002650,,624,624
2841,,W 97 ST,,,,,G00002651,,527,527
2842,,W 93 ST,250,260,251,265,G00002652,,527,527
2843,,FOURTH AVE,310,322,301,321,G00002653,,278,277
2845,,STANTON ST,42,58,41,59,G00002655,,249,215
2847,BOULEVARD,BOULEVARD,,,2464,2480,G00002657,BROADWAY,527,527
2848,,SPRING ST,88,104,89,103,G00002658,,124,125
2850,SECOND AVE,SECOND AVE,1833,1851,1834,1852,G00002660,,624,624
2851,,E 11 ST,42,64,35,63,G00002661,,173,173
2853,,E 62 ST,101,135,100,134,G00002663,,586,586
2854,FOURTH AVE,FOURTH AVE,988,992,,,G00002664,,586,586
2855,,WASHINGTON ST,568,582,567,583,G00002665,,217,217
2856,,LIBERTY ST,2,12,1,13,G00002666,,11,9
2857,BOULEVARD,BOULEVARD,,,,,G00002667,BROADWAY,521,521
2858,,TENTH AVE,451,467,450,464,G00002668,,389,390
2859,,DELANCEY ST,304,320,305,317,G00002669,,136,134
2860,,EDGECOMB AVE,249,343,250,344,G00002670,,532,532
2861,,E 127 ST,201,249,200,248,G00002671,,652,647
2862,,E 71 ST,201,259,200,258,G00002672,,615,615
2863,,E 17 ST,123,147,122,148,G00002673,,70,70
2864,,BROADWAY,291,303,292,304,G00002674,,15,38
2865,,BROADWAY,415,417,416,418,G00002675,,20,47
2868,,EIGHTH AVE,65,73,,,G00002678,,244,179
2869,,BROADWAY,715,727,716,732,G00002679,,164,66
2870,,W 147 ST,300,310,301,309,G00002680,,532,532
2872,NINTH AVE,COLUMBUS AVE,520,536,521,537,G00002682,,526,526
2873,,E 19 ST,201,247,200,248,G00002683,,435,436
2875,SECOND AVE,SECOND AVE,1655,1671,1658,1672,G00002685,,598,601
2877,,SEVENTH AVE,580,596,583,599,G00002687,,471,567
2878,,E 41 ST,401,431,400,420,G00002688,,480,480
2880,,SEAMAN AVE,112,148,113,149,G00002690,,535,535
2882,,E 64 ST,101,135,100,136,G00002692,,587,586
2883,TENTH AVE,TENTH AVE,2038,2048,,,G00002694,,534,534
2884,,FRONT ST,118,134,115,131,G00002695,,9,9
2885,,DIVISION ST,,,145,151,G00002696,,86,86
2886,FIRST AVE,FIRST AVE,1719,1737,1720,1738,G00002697,,601,601
2887,,DOWNING ST,34,72,35,73,G00002698,,220,220
2888,Lexington Ave,Lexington Ave,80,98,81,97,G00002699,,279,474
2890,,BROADWAY,4841,4875,4840,4876,G00002701,,535,535
2891,,W HOUSTON ST,45,61,42,60,G00002702,,126,127
2892,,W 104 ST,24,84,25,85,G00002703,,528,528
2893,,W 120 ST,,,,,G00002704,,529,529
2894,,LEROY ST,130,144,129,143,G00002705,,217,229
2895,,E 117 ST,143,191,144,192,G00002706,,639,638
2897,,W 55 ST,200,214,201,215,G00002708,,505,506
2898,,LEXINGTON AVE,1872,1894,1871,1895,G00002709,,638,638
2904,,HESTER ST,152,166,161,173,G00002715,,50,50
2906,EIGHTH AVE,EIGHTH AVE,2659,2679,2660,2680,G00002717,,532,536
2908,EIGHTH AVE,EIGHTH AVE,2269,2287,2270,2288,G00002719,,529,536
2909,,HANCOCK PL,20,28,,,G00002720,,530,530
2910,,E 59 ST,1,29,2,28,G00002721,,585,584
2911,,PECK SLIP,1,19,2,16,G00002722,,37,10
2912,,COLLISTER ST,,,,,G00002724,,22,22
