OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
94,13 AVE,13 AVE,,,84,106,G00010094,,243,243
95,LITTLE W 12 ST,LITTLE W 12 ST,,,,,G00010095,,243,244
96,13 AVE,13 AVE,,,108,122,G00010096,,244,244
97,W 13 ST,W 13 ST,500,550,501,551,G00010097,,244,244
98,13 AVE,13 AVE,,,124,130,G00010098,,244,244
99,WATER ST,WATER ST,686,736,687,737,G00010099,,130,130
100,SOUTH ST,SOUTH ST,387,409,,,G00010100,,130,None
101,FRONT ST,FRONT ST,346,388,345,389,G00010101,,130,130
102,CORLEANS ST,CORLEANS ST,,,,,G00010102,,130,130
103,CORLEARS ST,CORLEARS ST,,,,,G00010103,,130,130
104,E 14 ST,E 14 ST,801,815,800,814,G00010104,,0,0
105,E 13 ST,E 13 ST,743,747,742,746,G00010105,,0,376
106,DRY DOCK ST,DOCK ST,,,,,G00010106,,376,376
107,E 13 ST,E 13 ST,701,723,700,722,G00010107,,0,376
108,E 13 ST,E 13 ST,725,741,724,740,G00010108,,0,376
109,E 9 ST,E 9 ST,801,841,800,840,G00010109,,322,322
110,,E 63 ST,501,531,500,530,G00010110,,618,618
111,,E 62 ST,501,511,500,510,G00010111,,618,619
112,,E 61 ST,501,505,500,504,G00010112,,619,622
113,E 60 ST,E 60 ST,501,505,500,504,G00010113,,622,622
114,,JONES ALY,,,,,G00010114,,65,65
115,BLEECKER ST,BLEECKER ST,44,62,45,63,G00010115,,64,65
116,BOND ST,BOND ST,2,60,1,61,G00010116,,65,65
117,,E 40 ST,401,423,400,422,G00010117,,480,483
118,,E 39 ST,401,423,400,422,G00010118,,483,484
119,,W 66 ST,,,,,G00010119,,521,524
120,MANGIN ST,MANGIN ST,17,43,16,42,G00010120,,132,133
121,GOERICK ST,GOERICK ST,21,49,20,50,G00010121,,134,132
122,LEWIST ST,LEWIST ST,21,43,22,44,G00010122,,135,134
123,,TWELFTH AVE,,,,,G00010123,,519,519
124,W 61 ST,W 61 ST,300,332,301,333,G00010124,,519,519
125,,TWELFTH AVE,,,,,G00010125,,519,519
126,W 62 ST,W 62 ST,,,,,G00010126,,519,519
127,,TWELFTH AVE,,,,,G00010127,,519,519
128,,W 63 ST,,,,,G00010128,,519,521
129,,TWELFTH AVE,,,,,G00010129,,521,521
130,W 64 ST,W 64 ST,,,,,G00010130,,521,521
131,,TWELFTH AVE,,,,,G00010131,,521,521
132,,W 65 ST,,,,,G00010132,,521,521
133,CANNON ST,CANNON ST,21,43,22,44,G00010133,,138,135
134,COLUMBIA ST,COLUMBIA ST,23,43,24,46,G00010134,,138,138
135,SHERIFF ST,SHERIFF ST,17,41,18,42,G00010135,,140,138
136,WILLETT ST,WILLETT ST,21,43,20,46,G00010136,,140,140
137,PITT ST,PITT ST,21,45,20,44,G00010137,,144,140
138,RIDGE ST,RIDGE ST,39,69,40,70,G00010138,,145,144
139,ATTORNEY ST,ATTORNEY ST,45,79,46,78,G00010139,,150,145
140,CLINTON ST,CLINTON ST,108,136,109,137,G00010140,,150,150
141,SUFFOLK ST,SUFFOLK ST,61,89,64,88,G00010141,,149,150
142,NORFOLK ST,NORFOLK ST,63,81,60,82,G00010142,,204,149
143,ESSEX ST,ESSEX ST,75,97,76,96,G00010143,,204,204
144,LUDLOW ST,LUDLOW ST,81,103,82,104,G00010144,,205,204
