ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74,Street75,Street76
1,COLUMBIA HTS,CRANBERRY,DOUGHTY,ELIZABETH PL,EVERITT,FRONT,FULTON,FURMAN,HENRY,HICKS,MCKENNEY,MCKENNY,MIDDAGH,POPLAR,VINE,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,CLARK,COLUMBIA HTS,CRANBERRY,FULTON,FURMAN,HENRY,HICKS,LOVE LN,MIDDAGH,ORANGE,PIERREPONT,PIERREPONT PL,PINEAPPLE,PROSPECT,WILLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,COLUMBIA HTS,COLUMBIA PL,CRANBERRY,FULTON,FURMAN,GRACE CT,GRACE CT ALY,HENRY,HICKS,JORALEMON,MONTAGUE,MONTAGUE TER,ORANGE,PIERREPONT,PIERREPONT PL,PINEAPPLE,PINEAPPLE WALK,REMSEN,STATE,WILLOW,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ATLANTIC AVE,CLARK,COLLEGE PL,COLUMBIA,COLUMBIA HTS,COLUMBIA PL,EMMETT,FURMAN,HENRY,HICKS,JORALEMON,LOVE LN,PIERREPONT,PINEAPPLE,STATE,WILLOW,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CLARK,CLINTON,CRANBERRY,DOUGHTY,FULTON,HENRY,HICKS,HIGH,LOVE LN,MAIN,MIDDAGH,MONROE PL,NASSAU,ORANGE,PIERREPONT,PINEAPPLE,PINEAPPLE WALK,POPLAR,PROSPECT,SANDS,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CLARK,CLINTON,COLLEGE PL,CONCORD,FULTON,FURMAN,GRACE CT,HENRY,HICKS,JOHNSON,JORALEMON,LOVE LN,MONROE PL,MONTAGUE,MONTAGUE TER,PIERREPONT,PIERREPONT PL,PINEAPPLE,REMSEN,SPRAGUES ALY,TILLARY,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ADAMS,ATLANTIC AVE,BOERUM PL,CLINTON,CT,FULTON,GRACE CT ALY,HENRY,HICKS,HUNTS LN,JORALEMON,LIVINGSTON,MONTAGUE,PIERREPONT,REMSEN,SCHERMERHORN,STATE,WASHINGTON,WILLOUGHBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ATLANTIC AVE,CLINTON,COLUMBIA PL,FURMAN,HENRY,HUNTS LN,JORALEMON,LIVINGSTON,MONTAGUE,REMSEN,SCHERMERHORN,SIDNEY PL,STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ATLANTIC AVE,COLUMBIA PL,GARDEN PL,GRACE CT,GRACE CT ALY,HENRY,HICKS,JORALEMON,MONTAGUE,REMSEN,STATE,WILLOW PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,. ANNS CT,ATLANTIC AVE,COLUMBIA HTS,COLUMBIA PL,DOCK,ELIZABETH PL,FRONT,FULTON,FURMAN,GARRISON,HARRISON CT,HENRY,HICKS,HOWARD CT,JAMES,MAIN,MERCEIN,PLYMOUTH,PROSPECT,SANDS,STATE,WASHINGTON,WATER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
