OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1850Valid,y1850_gcheck,y1850DirStreet,y1850NameStreet,y1850Left_Low,y1850Left_High,y1850Right_Low,y1850Right_High,y1850Issue,y1850ParityLeft,y1850ParityRight,y1850Unopened,y1850NameALT,y1850_hnyc_street,JoinID_1850,y1880Valid,y1880_gcheck,y1880DirStreet,y1880NameStreet,y1880Left_Low,y1880Left_High,y1880Right_Low,y1880Right_High,y1880Issue,y1880ParityLeft,y1880ParityRight,y1880Unopened,y1880NameALT,y1880_hnyc_street,JoinID_1880,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,y1910_hnyc_street,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,y1850WardRight,y1880ED_Left,y1880ED_Right,y1910ED_Left,y1910ED_Right,y1850WardLeft
12,{00000000-0000-0000-0000-000000000000},G00010012,NY,New York,Manhattan,,1,1,,,182,192,171,179,,,,,,,,1,1,,DIVISION ST,182,194,171,179,,,,,,DIVISION ST,,0,1,,,,,,,,,,,,,,143.408356527259002,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:06:13,amv2173_columbia,143.408350208018334,7/22/2019 17:22:53,hnyc_columbia,2/14/2020 16:08:42,arm2226_columbia,,,,,,,
13,{00000000-0000-0000-0000-000000000000},G00010013,NY,New York,Manhattan,,1,1,,,1,13,2,14,,,,,,,,1,1,,NORFOLK ST,1,13,2,14,,,,,,NORFOLK ST,,0,1,,,,,,,,,,,,,,262.333488024388998,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:06:13,amv2173_columbia,262.333488010568260,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
14,{00000000-0000-0000-0000-000000000000},G00010014,NY,New York,Manhattan,,1,1,,,1,13,2,14,,,,,,,,1,1,,WHITEHALL ST,1,13,2,14,,,,,,WHITEHALL ST,,0,1,,,,,,,,,,,,,,218.185489968333002,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:37:07,amv2173_columbia,218.199211543212016,7/22/2019 17:22:53,hnyc_columbia,2/22/2020 0:00:02,amv2173_columbia,,,,,,,
15,{00000000-0000-0000-0000-000000000000},G00010015,NY,New York,Manhattan,,1,1,,BOWLING GREEN ROW,1,8,,,,M,,,,,,1,1,,BOWLING GREEN,1,8,,,,M,,,,BOWLING GREEN,,0,,,,,,,,,,,,,,,240.372204754314993,7/10/2019 23:07:10,dpm2159_columbia,7/10/2019 23:07:10,dpm2159_columbia,240.372194175018706,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
16,{00000000-0000-0000-0000-000000000000},G00010016,NY,New York,Manhattan,,1,1,,,2,31,1,30,,,,,,,,1,1,,MARKETFIELD ST,1,31,2,30,,,,,,MARKETFIELD ST,,0,1,,,,,,,,,,,,,,478.228106498048021,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:37:21,amv2173_columbia,478.228085443705254,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
17,{00000000-0000-0000-0000-000000000000},G00010017,NY,New York,Manhattan,,1,1,,,,,2,8,,,,,,,,1,1,,BROADWAY,,,2,6,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,143.872771417944989,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:36:36,amv2173_columbia,143.872771403132134,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
18,{00000000-0000-0000-0000-000000000000},G00010018,NY,New York,Manhattan,,1,1,,,,,35,41,,,M,,,,,1,1,,PARK ROW,,,35,41,,,M,,,PARK ROW,,0,1,,,,,,,,,,,,,,249.309556307272004,7/10/2019 23:07:10,dpm2159_columbia,7/11/2019 4:49:02,amv2173_columbia,249.309545340534584,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
19,{00000000-0000-0000-0000-000000000000},G00010019,NY,New York,Manhattan,,1,1,,,2,36,1,37,,,,,,,,1,1,,CHATHAM ST,40,60,1,49,E,,,,,CHATHAM ST,,0,,,,,,,,,,,,,,,485.303667592103011,7/10/2019 23:07:10,dpm2159_columbia,7/10/2019 23:07:10,dpm2159_columbia,485.303646221106476,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
20,{00000000-0000-0000-0000-000000000000},G00010020,NY,New York,Manhattan,EIGHTH AVE,1,1,,,409,425,396,414,,,,,,,,1,1,,,421,439,418,438,,,,,,EIGHTH AVE,,0,1,,,,,,,,,,,,,,250.961363520660996,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:50,amv2173_columbia,250.961352468842222,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:15:55,sk4562_columbia,,,,,,,
21,{00000000-0000-0000-0000-000000000000},G00010021,NY,New York,Manhattan,W 32 ST,1,1,,,118,176,117,177,,,,,,,,1,1,,,200,260,201,265,,,,,,W 32 ST,,0,1,,,,,,,,,,,,,,898.801280009919992,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:51,amv2173_columbia,898.801527859146177,7/22/2019 17:22:53,hnyc_columbia,2/4/2020 19:57:25,msl2215_columbia,,,,,,,
22,{00000000-0000-0000-0000-000000000000},G00010022,NY,New York,Manhattan,EIGHTH AVE,1,1,,,427,443,416,434,,,,,,,,1,1,,,441,459,440,458,,,,,,EIGHTH AVE,,0,1,,,,,,,,,,,,,,260.907216240841990,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:51,amv2173_columbia,260.907204767877488,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:15:55,sk4562_columbia,,,,,,,
23,{00000000-0000-0000-0000-000000000000},G00010023,NY,New York,Manhattan,9 AVE,1,1,,,341,355,336,356,,,,,,,,1,1,,,371,389,372,388,,,,,,9 AVE,,0,1,,,,,,,,,,,,,,248.890671444973009,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:51,amv2173_columbia,248.890660495327182,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:15:55,sk4562_columbia,,,,,,,
24,{00000000-0000-0000-0000-000000000000},G00010024,NY,New York,Manhattan,W 32 ST,1,1,,,178,242,179,243,O,,,,,,,1,1,,,300,388,301,399,,,,,,W 32 ST,,0,1,,,,,,,,,,,,,,899.878782048988000,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:52,amv2173_columbia,899.878742433851016,7/22/2019 17:22:53,hnyc_columbia,2/4/2020 20:28:12,msl2215_columbia,,,,,,,
25,{00000000-0000-0000-0000-000000000000},G00010025,NY,New York,Manhattan,9 AVE,1,1,,,357,371,358,372,,,,,,,,1,1,,,391,409,390,408,,,,,,9 AVE,,0,1,,,,,,,,,,,,,,264.690014630508983,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:52,amv2173_columbia,264.690002979083033,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:15:55,sk4562_columbia,,,,,,,
