ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74
11,90,ANN,BEEKMAN,BROADWAY,CLIFF,CORTLANDT,DEY,DUTCH,FERRY,FLETCHER,FRONT,FULTON,GOLD,JOHN,LIBERTY,LIBERTY PL,MAIDEN LN,NASSAU,PARK ROW,PEARL,PECK SLIP,PLATT,RYDERS ALY,SOUTH,SPRUCE,THEATRE ALY,WATER,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BARCLAY,BROADWAY,CHAMBERS,CHURCH,CORTLANDT,CORTLANDT WAY,DEY,FULTON,GREENWICH,JOHN,LIBERTY,MAIDEN LN,MURRAY,NEW CHURCH,PARK PL,READE,TEMPLE,VESEY,W BROADWAY,WARREN,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ANN,BARCLAY,BROADWAY,CHAMBERS,CHURCH,COLLEGE PL,CORTLANDT,DEY,DUANE,FULTON,GREENWICH,HUDSON,LIBERTY,MURRAY,NEW CHURCH,PARK PL,PARK ROW,READE,VESEY,W BROADWAY,WARREN,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,BARCLAY,BISHOPS LN,BROADWAY,CHAMBERS,CHURCH,CLIFF,COLLEGE PL,DUANE,FERRY,FRANKFORT,GOLD,GREENWICH,HUDSON,JACOB,MISSION PL,MURRAY,N WILLIAM,NASSAU,NEW CHAMBERS,NULL,PARK PL,PARK ROW,PEARL,READE,ROSE,SPRUCE,W BROADWAY,WARREN,WASHINGTON,WEST,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,BROADWAY,CATHERINE LN,CHAMBERS,CHESTNUT,CHURCH,CLIFF,DUANE,FRANKFORT,FRANKLIN,FRANKLIN PL,HAGUE,HARRISON,HUDSON,JAY,LEONARD,MADISON,MISSION PL,NULL,PEARL,READE,ROOSEVELT,ROSE,THOMAS,TRIMBLE PL,VANDEWATER,VARICK,W BROADWAY,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,BATAVIA,CAROLINE,CHAMBERS,CHERRY,DUANE,GREENWICH,HARRISON,HUDSON,JAMES SLIP,JAY,NULL,READE,ROOSEVELT,STAPLE,THOMAS,WASHINGTON,WATER,WEST,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,CHAMBERS,CHERRY,DOVERS,FRANKLIN,GREENWICH,HARRISON,HUDSON,LEONARD,N MOORE,NULL,PEARL,ROOSEVELT,STAPLE,WASHINGTON,WATER,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,BEACH,COLLISTER,DOVERS,FRONT,GREENWICH,HUBERT,HUDSON,JAMES SLIP,N MOORE,NULL,PEARL,PECK SLIP,ROOSEVELT,SOUTH,WASHINGTON,WATER,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,BATAVIA,BEACH,CHAMBERS,CHESTNUT,DUANE,FRANKLIN,HUDSON,JAMES,MADISON,N MOORE,NEW CHAMBERS,NULL,PARK ROW,PEARL,ROOSEVELT,SAINT JAMES PL,VARICK,W BROADWAY,WHITE,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5 AVE S,BEACH,BROADWAY,CANAL,CHURCH,FRANKLIN,FRANKLIN PL,GREENE,LAIGHT,LISPENARD,MADISON,MERCER,N MOORE,PARK ROW,PEARL,ROOSEVELT,SAINT JOHNS LN,THOMPSON,VARICK,W BROADWAY,WALKER,WHITE,WOOSTER,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
