ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street1.y,Street2.y,Street3.y,Street4.y,Street5.y,Street6.y,Street7.y,Street8.y,Street9.y,Street10.y,Street11.y,Street12.y,Street13.y,Street14.y,Street15.y,Street16.y,Street17.y,Street18.y,Street19.y,Street20.y,Street21.y,Street22.y,Street23.y,Street24.y,Street25.y,Street26.y,Street27.y,Street28.y,Street29.y,Street30.y,Street31.y,Street32.y,Street33.y,Street34.y,Street35.y,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66
1,BATTERY PARK,BATTERY PLACE,BEAVER,BRIDGE,BROAD,BROADWAY,EAST RIVER,ELLIS ISLAND,FRONT,MARKETFIELD,MOORE,NORTH RIVER,PEARL,PIER 3,PIER 4,PIERS,SOUTH,STATE,STONE,WATER,WHITEHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRIDGE,BROADWAY,FRONT,MARKETFIELD,MOORE,NEW,NONE,PEARL,SOUTH,STATE,STONE,WATER,WHITEHALL,BATTERY PLACE,BEAVER,BROAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BEDLOE\'SOUTH ISLAND,GOVERNORS ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ALBANY,BROADWAY,CEDAR,GREENWICH,LIBERTY,NORTH RIVER,TEMPLE,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY,CEDAR,GREENWICH,LIBERTY,LIBERTY ST BRIDGE,TEMPLE,TRINITY PLACE,WASHINGTON,WEST,ALBANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,NORTH RIVER,RECTOR,THAMES,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,THAMES,TRINITY PLACE,WASHINGTON,RECTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BATTERY PLACE,BROADWAY,EDGAR,EXCHANGE ALLEY,GREENWICH,MORRIS,NORTH RIVER,RECTOR,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE,BROADWAY,EDGAR,EXCHANGE ALLEY,GREENWICH,MORRIS,RECTOR,TRINITY PLACE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BATTERY PLACE,BOWLING GREEN,BOWLING GREEN PARK,BROADWAY,GREENWICH,MORRIS,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATTERY PLACE,BROADWAY,GREENWICH,MORRIS,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,BEAVER,BROAD,BROADWAY,CEDAR,EXCHANGE COURT,EXCHANGE PLACE,HANOVER,LIBERTY,MAIDEN LA,NASSAU,NEW,PEARL,PINE,WALL,WHITEHALL,WILLIAM,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEAVER,BROAD,CEDAR,EXCHANGE PLACE,HANOVER,LIBERTY,NASSAU,NEW,PEARL,PINE,WALL,WILLIAM,BROADWAY,MAIDEN LANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,BEAVER,BROAD,COENTIE\'SOUTH ALLEY,COENTIES SLIP,HANOVER,HANOVER SQUARE,MAIDEN LA,OLD SLIP,PEARL,PINE,STONE,WALL,WATER,WILLIAM SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD,COENTIES ALLEY,COENTIES SLIP,HANOVER SQ,HANOVER,MILL LANE,Old Slip,PEARL,PINE,SOUTH  WILLIAM,STONE,WALL,WATER,WILLIAM,BEAVER,MAIDEN LANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BROAD,COENTIES SLIP,CUYLER\'SOUTH ALLEY,DEPEYSTER,EAST RIVER,FRONT,GOUVERNEUR LANE,JEANNETTE PARK,JONES LA,MAIDEN LA,OLD SLIP,PIER FORTEENTH,PIER 4,PIERS,PINE,SOUTH,WALL,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROAD,COENTIES SLIP,CUYLERS ALLEY,DE PEYSTER,DEPEYSTER,FRONT,GOUVERNEUR LANE,JONES LANE,OLD   SLIP,OLD SLIP,PINE,SOUTH,WALL,MAIDEN LANE,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ANN,BEEKMAN,BROADWAY,DUTCH,FULTON,GOLD,JOHN,LIBERTY,LIBERTY PLACE,MAIDEN LA,NASSAU,PARK ROW,PLATT,SPRUCE,THEATRE ALLEY,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANN,BEEKMAN,DUTCH,FULTON,GOLD,JOHN,LIBERTY PLACE,MAIDEN LANE,NASSAU,PLATT,THEATRE ALLEY,THEATRE ALLEY,WILLIAM,BROADWAY,LIBERTY,PARK ROW,SPRUCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,BEEKMAN,BURLING SLIP,CLIFF,EAST RIVER,FERRY,FLETCHER,FRONT,FULTON,FULTON FISH MARKET,FULTON MARKET,GOLD,JOHN,MAIDEN LA,PEARL,PECK SLIP,PIER FORTEENTH,PIERS,PIERS,PLATT,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,BEEKMAN,CLIFF,FLETCHER,FRONT,FULTON,JOHN,MAIDEN LANE,PEARL,PECK SLIP,PLATT,RYDERS ALLEY,SOUTH,WATER,FERRY,GOLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BARCLAY,BROADWAY,BROADWAY WEST,CHAMBERS,CHURCH,CORTLANDT,DEY,FULTON,GREENWICH,LIBERTY,MURRAY,PARK PLACE,READE,VESEY,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY,BROADWAY,CHAMBERS,CHURCH,CORTLANDT,CORTLANDT WAY,DEY,FULTON,MURRAY,PARK PLACE,READE,VESEY,WARREN,GREENWICH,LIBERTY,WEST  BROADWAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,BARCLAY,BISHOP LANE,BROADWAY WEST,CHAMBERS,CORTLANDT,DEY,FULTON,GREENWICH,HUDSON,LIBERTY,MURRAY,NORTH RIVER,PARK PLACE,READE,VESEY,WARREN,WASHINGTON,WASHINGTON MARKET,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARCLAY,CHAMBERS,CORTLANDT,DEY,DUANE,FULTON,GREENWICH,HUDSON,MURRAY,PARK PLACE,READE,VESEY,WEST  BROADWAY,WARREN,WASHINGTON,WEST,LIBERTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CLIFF,DUANE,FERRY,FRANKFORT,GOLD,JACOB,NEW CHAMBERS,PARK ROW,PEARL,ROSE,SPRUCE,WILLIAM,WILLIAM NORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLIFF,DUANE,FERRY,GOLD,JACOB,NORTH WILLIAM,NASSAU,PEARL,ROSE,SPRUCE,WILLIAM,FRANKFORT,NEW CHAMBERS,PARK ROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CHESTNUT,CLIFF,FRANKFORT,HAGUE,NEW BOWERY,NEW CHAMBERS,OAK,PEARL,ROOSEVELT,ROSE,VANDEWATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAMBERS,CHESTNUT,CLIFF,FRANKFORT,HAGUE,PEARL,VANDEWATER,MADISON,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,BATAVIA,CHERRY,JAMES SLIP,NEW CHAMBERS,OAK,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATAVIA,CHAMBERS,CHERRY,ROOSEVELT,JAMES SLIP,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,CHERRY,DOVER,FRANKLIN SQUARE,OAK,PEARL,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAMBERS,CHERRY,DOVERS,PEARL,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DOVER,EAST RIVER,FERRY,FRONT,JAMES,JAMES SLIP,PEARL,PECK SLIP,PIER 21,PIERS,ROOSEVELT,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOVERS,FRONT,PECK SLIP,ROOSEVELT,SOUTH,WATER,JAMES SLIP,PEARL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,BATAVIA,CHAMBERS,CHERRY,DUANE,JAMES,MADISON,NEW BOWERY,NEW CHAMBERS,OAK,PARK ROW,PEARL,ROOSEVELT,ROSE,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BATAVIA,NEW CHAMBERS,PEARL,SAINT JAMES PLACE,WILLIAM,CHAMBERS,CHESTNUT,DUANE,JAMES,MADISON,PARK ROW,ROOSEVELT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MADISON,NEW CHAMBERS,PARK ROW,PEARL,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MADISON,PARK ROW,PEARL,ROOSEVELT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,JAMES,MADISON,NEW BOWERY,PARK ROW,ROOSEVELT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MADISON,NEW BOWERY,ROOSEVELT,SAINT JAMES PLACE,JAMES,PARK ROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,JAMES,MADISON,NEW BOWERY,OLIVER,PARK ROW,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANCIENT ORDER OF HIBERNIANS,JAMES,MADISON,NEW BOWERY,SAINT JAMES PLACE,CHATHAM SQ,OLIVER,PARK ROW,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,CATHERINE,HENRY,MADISON,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MADISON,OAK,OLIVER,CATHERINE,HENRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,JAMES,MADISON,OAK,OLIVER,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAMES,OAK,MADISON,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,JAMES,MADISON,NEW BOWERY,OAK,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROOSEVELT,CHAMBERS,JAMES,MADISON,SAINT JAMES PLACE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,CATHERINE,CHERRY,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHERRY,OLIVER,CATHERINE,OAK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,CHERRY,JAMES,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAMES,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,CATHERINE,HENRY,MADISON,MARKET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CATHERINE,MADISON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,CATHERINE,CATHERINE SLIP,CHERRY,EAST RIVER,JAMES,JAMES SLIP,NEW CHAMBERS,OLIVER,PIER 22,PIER 25,PIER,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAMES SLIP,OLIVER,SOUTH,WATER,CATHERINE SLIP,CHERRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BROADWAY,BROADWAY WEST,CANAL,CHURCH,DUANE,FRANKLIN,FRANKLIN PLACE,LEONARD,LISPENARD,MAIN,READE,THOMAS,TRIMBLE PLACE,WALKER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY,CANAL,CHURCH,DUANE,FRANKLIN PLACE,FRANKLIN,LEONARD,LISPENARD,THOMAS,TRIMBLE PLACE,WALKER,WHITE,WORTH,READE,WEST  BROADWAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BEACH,BROADWAY WEST,FRANKLIN,GREENWICH,HUDSON,MOORE NORTH,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEACH,BROADWAY,ERICSSON PLACE,FRANKLIN,HUDSON,NO MOORE,VARICK,WEST  BROADWAY,GREENWICH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BEACH,CAROLINE,DUANE,FRANKLIN,GREENWICH,HARRISON,JAY,MOORE NORTH,NORTH RIVER,READE,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEACH,CAROLINE,DUANE,FRANKLIN,GREENWICH,HARRISON,JAY,NO MOORE,WASHINGTON,WEST,READE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,BROADWAY WEST,DUANE,FRANKLIN,GREENWICH,HARRISON,HUDSON,JAY,LEONARD,READE,STAPLE,THOMAS,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DUANE,FRANKLIN,HARRISON,HUDSON,JAY,LEONARD,STAPLE,THOMAS,WEST  BROADWAY,WORTH,GREENWICH,READE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,CANAL,CANAL ST PARK,DESBROSSES,GREENWICH,HUDSON,NORTH RIVER,VESTRY,WASHINGTON,WATTS,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CANAL,DESBROSSES,GREENWICH,HUDSON,WASHINGTON,WASHINTON,WATTS,WEST,VESTRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,BEACH,BROADWAY WEST,CANAL,ERICSSON PLACE,GREENWICH,HUDSON,LAIGHT,SAINT JOHN\'SOUTH LANE,VARICK,VESTRY,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CANAL,HUDSON,LAIGHT,SAINT JOHN'SOUTH LANE,VARICK,VESTRY,WEST  BROADWAY,YORK,BEACH,ERICSSON PLACE,GREENWICH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
