ED,Name,Min,Max
1,COLUMBIA HTS,17,82
1,CRANBERRY,1,42
1,DOUGHTY,1,61
1,ELIZABETH PL,NA,NA
1,EVERITT,1,16
1,FRONT,NA,NA
1,FULTON,1,26
1,FURMAN,1,16
1,HICKS,1,NA
1,MCKENNEY,NA,NA
1,MCKENNY,1,22
1,MIDDAGH,1,42
1,OLD FULTON,NA,NA
1,POPLAR,1,46
1,VINE,NA,NA
1,WILLOW,1,39
2,CLARK,1,42
2,COLUMBIA HTS,81,222
2,CRANBERRY,1,42
2,FURMAN,NA,NA
2,HICKS,61,183
2,LOVE LN,NA,NA
2,ORANGE,1,42
2,PIERREPONT,NA,NA
2,PIERREPONT PL,NA,NA
2,PINEAPPLE,1,44
2,WILLOW,40,162
2,NA,NA,NA
3,COLUMBIA HTS,NA,NA
3,COLUMBIA PL,NA,NA
3,FURMAN,251,334
3,GRACE CT,1,58
3,GRACE CT ALY,NA,NA
3,HICKS,NA,NA
3,JORALEMON,15,77
3,MONTAGUE,31,85
3,MONTAGUE TER,1,13
3,PIERREPONT,NA,NA
3,PIERREPONT PL,NA,NA
3,REMSEN,1,58
3,STATE,37,64
3,WILLOW,NA,NA
3,WILLOW PL,1,57
3,NA,NA,NA
4,ATLANTIC AVE,6,75
4,COLUMBIA,NA,NA
4,COLUMBIA PL,1,75
4,EMMETT,NA,NA
4,FURMAN,315,410
4,HICKS,316,337
4,JORALEMON,15,53
4,STATE,1,64
4,WILLOW PL,1,57
4,NA,1,15
5,CADMAN W PLZ,NA,NA
5,CRANBERRY,43,82
5,DOUGHTY,NA,NA
5,FULTON,NA,NA
5,HENRY,1,91
5,HICKS,1,NA
5,HIGH,NA,NA
5,MAIN,NA,NA
5,MIDDAGH,39,98
5,NASSAU,NA,NA
5,OLD FULTON,45,113
5,ORANGE,43,82
5,PINEAPPLE,45,82
5,PINEAPPLE WALK,79,114
5,POPLAR,47,88
5,PROSPECT,NA,NA
5,SANDS,NA,NA
5,YORK,NA,NA
5,NA,NA,NA
6,CADMAN W PLZ,NA,NA
6,CLARK,43,119
6,CLINTON,1,77
6,COLLEGE PL,1,32
6,CONCORD,NA,NA
6,FULTON,NA,NA
6,HENRY,92,191
6,HICKS,101,209
6,JOHNSON,NA,NA
6,LOVE LN,NA,NA
6,MONROE PL,1,56
6,MONTAGUE,86,220
6,PIERREPONT,40,170
6,PINEAPPLE,45,82
6,PINEAPPLE WALK,79,114
6,SPRAGUES ALY,NA,NA
6,TILLARY,NA,NA
6,WASHINGTON,NA,NA
6,NA,NA,NA
7,ADAMS,NA,NA
7,ATLANTIC AVE,158,251
7,BOERUM PL,19,83
7,CADMAN W PLZ,NA,NA
7,CLINTON,67,202
7,CT,NA,NA
7,FULTON,NA,NA
7,JORALEMON,NA,NA
7,LIVINGSTON,27,116
7,MONTAGUE,167,220
7,REMSEN,143,198
7,SCHERMERHORN,1,96
7,STATE,131,244
7,WASHINGTON,NA,NA
7,WILLOUGHBY,NA,NA
7,NA,NA,NA
8,AITKEN PL,1,26
8,ATLANTIC AVE,110,167
8,CLINTON,67,202
8,HENRY,190,317
8,HUNTS LN,NA,NA
8,JORALEMON,114,157
8,LIVINGSTON,NA,NA
8,MONTAGUE,128,166
8,REMSEN,97,150
8,SCHERMERHORN,NA,NA
8,SIDNEY PL,1,61
8,STATE,91,148
9,ATLANTIC AVE,72,117
9,GARDEN PL,1,51
9,GRACE CT,NA,NA
9,GRACE CT ALY,NA,NA
9,HENRY,190,317
9,HICKS,NA,NA
9,JORALEMON,78,113
9,MONTAGUE,86,127
9,REMSEN,59,98
9,STATE,59,106
10,. ANNS CT,NA,NA
10,CADMAN E PLZ,110,135
10,CADMAN W PLZ,115,142
10,COLUMBIA HTS,NA,NA
10,DOCK,23,40
10,ELIZABETH PL,NA,NA
10,FRONT,1,21
10,FULTON,1,26
10,FURMAN,NA,NA
10,GARRISON,NA,NA
10,HARRISON CT,NA,NA
10,HENRY,NA,NA
10,HICKS,NA,NA
10,HOWARD CT,NA,NA
10,JAMES,NA,NA
10,MAIN,1,33
10,MERCEIN,NA,NA
10,OLD DOCK,1,22
10,OLD FULTON,NA,NA
10,PLYMOUTH,NA,NA
10,PROSPECT,NA,NA
10,SAND,NA,NA
10,SANDS,NA,NA
10,WASHINGTON,84,115
10,WATER,40,95
10,YORK,NA,NA
10,NA,NA,NA
11,. ANNS CT,NA,NA
11,ADAMS,40,135
11,CADMAN E PLZ,110,135
11,FLEET ALY,NA,NA
11,FLEETS ALY,NA,NA
11,FLINT,NA,NA
11,FRONT,78,119
11,HOWARD CT,NA,NA
11,MAIN,1,33
11,PLYMOUTH,77,102
11,PROSPECT,29,52
11,SAND,27,50
11,SANDS,NA,NA
11,STEWARTS ALY,NA,NA
11,WASHINGTON,23,115
11,WATER,112,145
11,YORK,51,70
11,NA,NA,NA
12,ADAMS,1,135
12,FRANKLIN PL,NA,NA
12,FRONT,106,163
12,JAY,NA,NA
12,JOHN,1,44
12,MARSHALL,NA,NA
12,PEARL,1,156
12,PLYMOUTH,99,176
12,PROSPECT,53,98
12,SAND,51,97
12,SANDS,NA,NA
12,TALMAN,NA,NA
12,WASHINGTON,23,42
12,WATER,112,187
12,YORK,63,110
12,NA,NA,NA
13,BRG,18,123
13,FRANKLIN PL,NA,NA
13,FRONT,146,215
13,JAY,NA,NA
13,JOHN,43,94
13,MARSHALL,NA,NA
13,PHILLIPS ALY,NA,NA
13,PLYMOUTH,NA,NA
13,PROSPECT,95,142
13,PROSPECT TER,NA,NA
13,SAND,96,147
13,SANDS,NA,NA
13,TALMAN,NA,NA
13,WALDRON PL,NA,NA
13,WATER,NA,NA
13,YORK,105,166
13,NA,NA,NA
14,ATLANTIC AVE,252,346
14,BOERUM PL,19,83
14,BRG,NA,NA
14,FULTON,NA,NA
14,GALLATIN PL,NA,NA
14,HOYT,1,89
14,JAY,NA,NA
14,LAWRENCE,NA,NA
14,LIVINGSTON,NA,NA
14,PEARL,NA,NA
14,RED HOOK LN,NA,NA
14,SCHERMERHORN,97,197
