ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
234,Bedford Ave,Jefferson St,Madison St,Marcy Ave,Monroe St,Nostrand Ave,Putnam Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Gates Ave,Lefferts Park,Lexington Ave,Marcy Ave,Monroe St,Quincy St,Throop Ave,Tompkins Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,Halsey St,Hancock St,Jefferson St,Macon St,Madison St,Marcy Ave,Monroe St,Putnam Ave,Throop Ave,Tompkins Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,Greene Ave,Lafayette Ave,Lexington Ave,Marcy Ave,Throop Ave,Tompkins Ave,Van Buren St,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,Bedford Ave,Clifton Pl,Greene Ave,Lafayette Ave,Lexington Ave,Marcy Ave,Nostrand Ave,Quincy St,Van Buren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Atlantic Ave,Bergen St,Brooklyn Ave,Butler St,Carroll St,Crown St,Dean St,Degraw St,Douglass St,Montgomery St,New York Ave,Nostrand Ave,Old Clove Rd,Pacific St,Park Pl,Park Way,President St,Prospect Pl,St. Mark\'s Ave,Union St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,Atlantic Ave,Bedford Ave,Bedford Ave S,Bergen St,Butler St,Carroll St,Crown St,Dean St,Degraw St,Douglass St,Franklin Ave,Montgomery St,Nostrand Ave,Old Clove St,Pacific St,Park Pl,Park Way,President St,Prospect Pl,Rogers Ave,St. Mark\'s Ave,Union St,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Albany Ave,Atlantic Ave,Bergen St,Brooklyn Ave,Butler St,Carroll St,Crown St,Dean St,Degraw St,Douglass St,Kingston Ave,Malbone St,Montgomery St,Pacific St,Park Pl,Park Way,President St,Prospect Pl,Schenectady Ave,St. Mark\'s Ave,Troy Ave,Union St,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Atlantic Ave,Bergen St,Buffalo Ave,Butler St,Carroll St,Crown St,Dean St,Degraw St,Douglass St,Hopkinson Ave,Howard Ave,Pacific St,Park Pl,Park Way,President St,Ralph Ave,Rochester Ave,Rockaway Ave,Saratoga Ave,Schenectady Ave,St. Mark\'s Ave,Stone Ave,Union St,Utica Ave,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,Gates Ave,Greene Ave,Jefferson St,Lafayette Ave,Lexington Ave,Madison St,Monroe St,Putnam Ave,Quincy St,Reid Ave,Stuyvesant Ave,Van Buren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Gates Ave,Greene Ave,Halsey St,Hancock St,Jefferson St,Lafayette Ave,Lewis Ave,Lexington Ave,Madison St,Monroe St,Putnam Ave,Quincy St,Stuyvesant Ave,Van Buren St,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,Albany Ave,Atlantic Ave,Bainbridge St,Chauncey St,Decatur St,Fulton St,Halsey St,Herkimer St,Lewis Ave,Macon St,McDonough St,Schenectady Ave,Stuyvesant Ave,Troy Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Bainbridge St,Decatur St,Halsey St,Hancock St,Jefferson St,Macon St,Madison St,McDonough St,Patchen Ave,Putnam Ave,Reid Ave,Stuyvesant Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,Atlantic Ave,Bainbridge St,Buffalo Ave,Chauncey St,Fellows Pl,Fulton St,Herkimer St,Hunterfly Rd,Marion St,Patchen Ave,Reid Ave,Rochester Ave,Schenectady Ave,Stuyvesant Ave,Sumpter St,Suydam Pl,Utica Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,Broadway,Gates Ave,Greene Ave,Lafayette Ave,Lexington Ave,Madison St,Monroe St,Patchen Ave,Quincy St,Ralph Ave,Reid Ave,Van Buren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,Bainbridge St,Buffalo Ave,Chauncey St,Decatur St,Fulton St,Halsey St,Hancock St,Jefferson St,Macon St,Madison St,Marion St,McDonough St,McDougal St,Patchen Ave,Putnam Ave,Ralph Ave,Sumpter St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,Aberdeen St,Atlantic Ave,Bainbridge St,Bancroft Pl,Broadway,Buffalo Ave,Chauncey St,Columbus Pl,Cooper Pl,Covert St,Decatur St,Eldert St,Fulton St,Gates Ave,Gunther Pl,Halsey St,Hancock St,Herkimer St,Hopkinson Ave,Howard Ave,Hull Pl,Hull St,Ivy St,Jacob St,Jefferson St,Kane Pl,Linden St,Louis Pl,Macon St,Madison St,Magnolia St,Margaretta St,Marion St,McDonough St,McDougal St,Monroe St,Ocean Pl,Olive Pl,Palmetto St,Pleasant Pl,Prescott Pl,Putnam Ave,Quincy St,Radde Pl,Ralph Ave,Rockaway Ave,Russell Pl,Sackman St,Saratoga Ave,Schaeffer St,Somers St,Stewart St,Stone Ave,Sumpter St,Truxton St,Van Voorhis St,Vanderveer St,Vigelius St,Woodbine St
