ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
29,Bridge St,Charles St,Cornell\'s Aly,Duffield St,Front St,Gold St,Hart\'s Aly,High St,Nassau St,Prospect St,Sands St,Talman St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Bridge Rd,Cornell\'s Aly,Dixon\'s Aly,Front St,Gold St,Green Ln,Hudson Ave,Jackson Ct,Navy St,Prospect St,Sands St,York St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Bridge Rd,Concord Pl,Concord St,Dixon\'s Aly,Flushing Ave,Gold St,Green Ln,High St,Hudson Ave,Nassau Pl,Nassau St,Navy St,Navy Yard,Prince St,Sands St,Smith\'s Aly,Way-home St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Bridge St,Chapel St,Concord St,Duffield St,Gold St,Johnson St,Matilda Pl,Nassau St,Tillary St,Way-home St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Fleet Pl,Gold St,Hudson Ave,Johnson St,Navy St,Prince St,Tillary St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Concord Pl,Concord St,Fleet Pl,Gold St,Hudson Ave,Nassau Pl,Navy St,Park Ave,Prince St,Prince Street Ct,Tillary St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Amity St,Atlantic Ave,Clinton St,Columbia Pl,Columbia St,Court St,Emmett St,Furman St,Henry St,Hicks St,Pacific St,Smoky Hollow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Amity St,Clinton St,Columbia St,Congress St,Court St,Dean St,Emmett St,Henry St,Hicks St,Pacific St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Baltic St,Canal,Clinton St,Columbia St,Congress St,Court St,Henry St,Hicks St,Verandah Pl,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Baltic St,Butler St,Cheever Pl,Clinton St,Court St,Degraw St,Douglass St,Harrison St,Henry St,Hicks St,Strong Pl,Tompkins Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Baltic St,Columbia St,Degraw St,Harrison St,Henry St,Hicks St,Irving St,Sedgwick St,Tiffany Pl,Van Brunt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Beach Pl,Cheever Pl,Clinton St,Columbia St,Court St,Degraw St,East River,Ferry Pl,Henry St,Hicks St,Sackett St,Sedgwick St,Strong Pl,Tiffany Pl,Tompkins Pl,Van Brunt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Beach Pl,Clinton St,Columbia St,Conover St,Court St,Ferry Pl,Hamilton Ave,Henry St,Hicks St,President St,Sackett St,Union Ct,Union St,Van Brunt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Carroll St,Columbia St,Conover St,Hamilton Ave,Hicks St,Imlay St,President St,Union St,Van Brunt St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1st Pl,Carroll St,Columbia St,Hamilton Ave,Henry St,Hicks St,President St,Summit St,Van Brunt St,Woodhull St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1st Pl,2nd Pl,3rd Pl,Carroll St,Clinton St,Court St,Henry St,President St,Rapelye St,Summit St,Woodhull St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2nd Pl,3rd Pl,4th Pl,Clinton St,Coles St,Columbia St,Court St,Hamilton Ave,Henry St,Hicks St,Manhasset Pl,Rapelye St,Summit St,Woodhull St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Bedford Ave,Flushing Ave,Franklin Ave,Graham St,Kent Ave,Little Nassau St,Myrtle Ave,Park Ave,Skillman St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Clason Ave,Flushing Ave,Graham St,Grand Ave,Myrtle Ave,Park Ave,Ryerson St,Schenck St,Steuben St,Williamsburgh Rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Flushing Ave,Hall St,Myrtle Ave,Park Ave,Ryerson St,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,DeKalb Ave,Hall St,Lafayette Ave,Myrtle Ave,Ryerson St,St. James\' Pl,Washington Ave,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Clason Ave,DeKalb Ave,Graham St,Grand Ave,Kent Ave,Myrtle Ave,Ryerson St,Schenck St,Steuben St,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Bedford Ave,DeKalb Ave,Franklin Ave,Kent Ave,Myrtle Ave,Park Ave,Skillman St,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Bedford Ave,Clason Ave,DeKalb Ave,Franklin Ave,Graham St,Kent Ave,Kosciusko Pl,Kosciusko St,Lafayette Ave,Skillman St,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Clason Ave,DeKalb Ave,Grand Ave,Lafayette Ave,Ryerson St,Schenck St,Steuben St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Bedford Ave,Clason Ave,Clifton Pl,Franklin Ave,Grand Ave,Greene Ave,Lafayette Ave,Lexington Ave,Skillman St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Bedford Ave,Clason Ave,Downing St,Franklin Ave,Gates Ave,Grand Ave,Irving Pl,Lexington Ave,Quincy St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Bedford Ave,Clason Ave,Downing St,Franklin Ave,Gates Ave,Grand Ave,Irving Pl,Madison St,Monroe St,Ormond Pl,Putnam Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Atlantic Ave,Bedford Ave,Brevoort Pl,Clason Ave,Downing St,Franklin Ave,Fulton St,Grand Ave,Hancock St,Herkimer St,Irving Pl,Jefferson St,Lefferts Pl,Ormond Pl,Putnam Ave,Spencer Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Cambridge Pl,Clifton Pl,Gates Ave,Grand Ave,Greene Ave,Lafayette Ave,Lexington Ave,Ryerson St,St. James\' Pl,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Atlantic Ave,Cambridge Pl,Fulton St,Gates Ave,Grand Ave,Lefferts Pl,Putnam Ave,St. James\' Pl,Underhill Ave,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,17th St,18th St,3rd Ave,4th Ave,5th Ave,Hamilton Ave,Prospect Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,18th St,19th St,20th St,3rd Ave,4th Ave,5th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,17th St,18th St,19th St,20th St,21st St,22nd St,23rd St,24th St,5th Ave,6th Ave,Prospect Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,10th Ln,11th Ave,17th St,18th St,19th St,20th St,21st St,22nd St,23rd St,6th Ave,7th Ave,8th Ave,9th Ave,City Line,Jackson Pl,Prospect Ave,Webster Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,20th St,21st St,22nd St,23rd St,4th Ave,5th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,20th St,21st St,22nd St,23rd St,3rd Ave,4th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,23rd St,24th St,25th St,26th St,27th St,28th St,29th St,30th St,31st St,32nd St,33rd St,34th St,35th St,3rd Ave,4th Ave,5th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1st Ave,2nd Ave,35th St,36th St,37th St,38th St,39th St,3rd Ave,40th St,41st St,42nd St,43rd St,4th Ave,5th Ave,6th Ave,7th Ave,8th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1st Ave,2nd Ave,3rd Ave,43rd St,44th St,45th St,46th St,47th St,48th St,49th St,4th Ave,50th St,51st St,52nd St,53rd St,54th St,55th St,56th St,57th St,58th St,59th St,5th Ave,60th St,6th Ave,7th Ave,8th Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5th Ave,6th Ave,Adelphi St,Atlantic Ave,Carlton Ave,Cumberland St,Dean St,Flatbush Ave,Fort Greene Pl,Oxford St S,Pacific St,Portland Ave S,Vanderbilt Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,6th Ave,Bergen St,Carlton Ave,Dean St,Flatbush Ave,Park Pl,Prospect Pl,St. Mark\'s Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,8th Ave,9th Ave,Bergen St,Butler St,Carlton Ave,Dean St,Degraw St,Douglass St,Flatbush Ave,Grand Army Plz,Grand Ave,Lincoln Pl,Parade Pl,Park Pl,Park Way,Plaza St E,Plaza St W,Prospect Park,Prospect Pl,Sackett St,St. John\'s Pl,St. Mark\'s Ave,Sterling Pl,Underhill Ave,Union St,Vanderbilt Ave,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Atlantic Ave,Bergen St,Dean St,Grand Ave,Pacific St,Underhill Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Atlantic Ave,Bergen St,Clason Ave,Dean St,Grand Ave,Pacific St,Prospect Pl,St. Mark\'s Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Bergen St,Dean St,Grand Ave,Pacific St,Park Pl,Prospect Pl,St. Mark\'s Ave,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Atlantic Ave,Bergen St,Butler St,Carroll St,City Line,Clason Ave,Crown St,Dean St,Degraw St,Douglass St,Franklin Ave,Grand Ave,Montgomery St,Pacific St,Park Pl,Park Way,President St,Prospect Pl,St. Mark\'s Ave,Union St,Washington Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Bergen St,Boerum Pl,Congress St,Court St,Hoyt St,Smith St,Warren St,Wyckoff St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Baltic St,Bergen St,Bond St,Hoyt St,Nevins St,Warren St,Wyckoff St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,3rd Ave,4th Ave,Baltic St,Bergen St,Nevins St,Warren St,Wyckoff St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1st Ln,3rd Ave,4th Ave,Baltic St,Butler St,Carroll St,Degraw St,Denton Pl,Douglass St,Macomb St,Nevins St,President St,Sackett St,Union St,Whitwell Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Baltic St,Bond St,Butler St,Court St,Harrison St,Hoyt St,Smith St,Warren St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Butler St,Court St,Degraw St,Douglass St,Hoyt St,Sackett St,Smith St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Court St,Degraw St,Hoyt St,President St,Sackett St,Smith St,Union St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1st Pl,2nd Ln,Carroll St,Court St,Hoyt St,President St,Smith St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1st Pl,2nd Ln,2nd Pl,3rd Ln,3rd Pl,4th Ln,4th Pl,5th Ln,Bond St,Court St,Hoyt St,Smith St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Baltic St,Bond St,Butler St,Degraw St,Douglass St,Hoyt St,Sackett St,Union St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1st Ln,2nd Ln,3rd Ave,Baltic St,Bond St,Butler St,Carroll St,Degraw St,Douglass St,Hoyt St,Nevins St,President St,Sackett St,Union St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Bedford St,Bridge St,Duffield St,Fleet Pl,Gold St,Hudson Ave,Johnson St,Myrtle Ave,Navy St,Prince St,Raymond St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Auburn Pl,Bedford St,Bolivar St,Canton St,Division St,Fleet St,Flushing Ave,Hudson Ave,Johnson St,Myrtle Ave,Navy St,Navy Yard,Park Ave,Raymond St,Sycamore St,Tillary St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Bolivar St,Bridge St,Duffield St,Duffield Terr,Fair St,Fleet Pl,Fleet St,Gold St,Hudson Ave,Myrtle Ave,Prince St,Willoughby St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Bridge St,Debevoise Pl,DeKalb Ave,Duffield St,Elm Pl,Fleet Pl,Fleet St,Fulton Pl,Fulton St,Gold St,Hoyt St,Hudson Ave,Lafayette St,Prince St,Willoughby St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Bolivar St,Bond St,Canton St,Debevoise Pl,DeKalb Ave,Flatbush Ave,Fort Greene Pl,Fulton Pl,Fulton St,Gold St,Hanover Pl,Hudson Ave,Lafayette St,Navy St,Raymond St,St. Felix St,Willoughby St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
