Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
NA,NA,NA,10,81,105,84,106,145,G00010145,ORCHARD,10
NA,NA,NA,10,89,115,88,116,146,G00010146,ALLEN,10
NA,NA,NA,10,99,119,98,122,147,G00010147,ELDREDGE,10
NA,NA,NA,10,111,133,112,134,148,G00010148,FORSYTH,10
NA,NA,NA,10,125,151,124,150,149,G00010149,NA,10
NA,NA,NA,18,185,231,186,230,150,G00010150,E 25,18
NA,NA,NA,NA,NA,NA,NA,NA,156,G00010156,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,157,G00010157,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,159,G00010159,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,160,G00010160,NA,NA
NA,NA,NA,10,2,18,1,17,162,G00010162,NA,10
NA,NA,NA,14,150,180,149,181,163,G00010163,NA,10
NA,NA,NA,14,182,188,183,187,164,G00010164,NA,10
NA,NA,NA,NA,376,402,369,389,168,G00010168,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,169,G00010169,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,170,G00010170,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,171,G00010171,NA,19
NA,NA,NA,19,NA,NA,NA,NA,172,G00010172,NA,19
NA,NA,NA,19,NA,NA,NA,NA,173,G00010173,NA,19
NA,NA,NA,19,NA,NA,NA,NA,174,G00010174,NA,19
NA,NA,NA,19,NA,NA,NA,NA,175,G00010175,NA,19
NA,NA,NA,19,NA,NA,NA,NA,176,G00010176,NA,19
NA,NA,NA,19,NA,NA,NA,NA,177,G00010177,NA,19
NA,NA,NA,19,NA,NA,NA,NA,178,G00010178,NA,19
NA,NA,NA,19,NA,NA,NA,NA,179,G00010179,NA,19
NA,NA,NA,19,NA,NA,NA,NA,180,G00010180,NA,19
NA,NA,NA,19,NA,NA,NA,NA,181,G00010181,NA,19
NA,NA,NA,19,NA,NA,NA,NA,183,G00010183,NA,19
NA,NA,NA,19,NA,NA,NA,NA,184,G00010184,NA,19
NA,NA,NA,19,NA,NA,NA,NA,185,G00010185,NA,19
NA,NA,NA,19,NA,NA,NA,NA,186,G00010186,NA,19
NA,NA,NA,19,NA,NA,NA,NA,187,G00010187,NA,19
NA,NA,NA,19,NA,NA,NA,NA,188,G00010188,NA,19
NA,NA,NA,NA,NA,NA,NA,NA,189,G00010189,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,190,G00010190,NA,NA
