Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
PARK AVE,PARK AVE,NA,18,498,516,NA,NA,2043,G00001829,NA,18
W 182,W 182,NA,12,NA,NA,NA,NA,2044,G00001830,NA,12
W 126,W 126,NA,12,NA,NA,NA,NA,2046,G00001832,NA,12
HUBERT,HUBERT,NA,5,11,17,8,18,2048,G00001834,NA,5
BOWERY,BOWERY,NA,6,30,60,29,57,2049,G00001835,NA,10
E 77,E 77,NA,19,NA,NA,NA,NA,2050,G00001836,NA,19
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,2051,G00001837,NA,19
WALKER,WALKER,NA,5,2,30,1,31,2052,G00001838,NA,5
5 AVE,5 AVE,NA,18,NA,NA,NA,NA,2053,G00001839,NA,18
W WASHINGTON PL,W WASHINGTON PL,NA,9,NA,NA,62,70,2057,G00001843,NA,9
E 22,E 22,NA,18,5,49,6,50,2058,G00001844,NA,18
GREENWICH AVE,GREENWICH AVE,NA,9,21,37,20,36,2059,G00001845,NA,9
W 4,W 4,NA,9,149,167,152,168,2060,G00001846,NA,9
E 8,E 8,NA,15,30,40,31,41,2062,G00001848,NA,15
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2065,G00001851,NA,19
3 AVE,3 AVE,NA,17,70,86,69,85,2066,G00001853,NA,17
COOPER SQ,COOPER SQ,NA,15,NA,NA,NA,NA,2072,G00001859,NA,17
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,2073,G00001860,NA,19
BROADWAY,BROADWAY,NA,19,NA,NA,NA,NA,2074,G00001861,BLOOMINGDALE RD,19
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2075,G00001862,NA,19
BROADWAY,BROADWAY,NA,3,1,10,NA,NA,2076,G00001863,ASTOR PL,6
7 AVE,7 AVE,NA,19,NA,NA,NA,NA,2077,G00001864,NA,19
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2080,G00001867,10 AVE,12
MULBERRY,MULBERRY,NA,14,273,283,272,290,2082,G00001869,NA,14
5 AVE,5 AVE,NA,18,100,114,99,115,2083,G00001870,NA,18
CROSBY,CROSBY,NA,14,74,106,73,105,2086,G00001873,NA,14
W 155,W 155,NA,12,NA,NA,NA,NA,2087,G00001874,NA,12
GREENWICH,GREENWICH,NA,9,736,748,735,751,2088,G00001875,NA,9
IRVING PL,IRVING PL,NA,18,1,13,2,12,2090,G00001877,NA,18
SUTTON N PL,SUTTON N PL,NA,19,NA,NA,NA,NA,2091,G00001878,NA,19
BROOME,BROOME,NA,8,467,481,468,482,2093,G00001880,NA,8
W 32,W 32,NA,18,2,52,1,51,2094,G00001881,NA,18
E 68,E 68,NA,19,NA,NA,NA,NA,2095,G00001882,NA,19
BEACH,BEACH,NA,5,NA,NA,11,13,2097,G00001884,NA,5
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2098,G00001885,NA,19
E 37,E 37,NA,18,NA,NA,NA,NA,2100,G00001887,NA,18
BEACH,BEACH,NA,5,NA,NA,1,9,2102,G00001889,NA,5
10 AVE,10 AVE,NA,19,NA,NA,NA,NA,2103,G00001890,NA,19
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2104,G00001891,10 AVE,12
W 14,W 14,NA,9,NA,NA,NA,NA,2106,G00001893,NA,16
CHRISTOPHER,CHRISTOPHER,NA,9,138,152,139,153,2109,G00001896,NA,9
GRAND,GRAND,NA,8,108,118,107,119,2117,G00001904,NA,8
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2120,G00001908,NA,12
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,2123,G00001911,NA,12
T SHEVCHENKO PL,T SHEVCHENKO PL,HALL,17,NA,NA,1,5,2125,G00001913,HALL PL,17
CANAL,CANAL,NA,5,NA,NA,NA,NA,2127,G00001915,HOBOKEN,5
SAINT MARKS PL,SAINT MARKS PL,NA,17,37,83,38,84,2131,G00001920,NA,17
BARROW,BARROW,NA,9,171,181,172,182,2133,G00001922,NA,9
E 22,E 22,NA,18,143,177,144,174,2134,G00001923,NA,18
W 28,W 28,NA,16,224,284,223,283,2136,G00001925,NA,16
3 AVE,3 AVE,NA,17,32,50,33,49,2138,G00001927,NA,17
W 25,W 25,NA,NA,306,340,305,339,2142,G00001931,NA,NA
8 AVE,8 AVE,NA,9,NA,NA,32,50,2143,G00001932,NA,9
MONROE,MONROE,NA,7,45,77,46,78,2147,G00001936,NA,7
E 20,E 20,NA,18,NA,NA,27,31,2148,G00001937,NA,18
YORK AVE,YORK AVE,NA,12,NA,NA,NA,NA,2149,G00001938,NA,12
W 10,W 10,NA,9,2,6,1,7,2150,G00001939,AMOS,9
GREENWICH,GREENWICH,NA,3,144,158,143,159,2152,G00001941,NA,3
GREENWICH,GREENWICH,NA,8,480,514,481,513,2154,G00001943,NA,8
E 37,E 37,NA,18,19,37,20,36,2155,G00001944,NA,18
RIVINGTON,RIVINGTON,NA,11,180,194,181,195,2156,G00001945,NA,13
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,2160,G00001949,NA,19
E 34,E 34,NA,18,163,219,164,214,2161,G00001950,NA,18
C W P,C W P,NA,19,919,935,NA,NA,2162,G00001951,NA,19
LEX AVE,LEX AVE,NA,19,NA,NA,NA,NA,2163,G00001952,NA,19
E 12,E 12,NA,17,193,233,196,232,2164,G00001953,NA,17
JANE,JANE,NA,9,2,34,1,35,2165,G00001954,NA,9
GREENWICH,GREENWICH,NA,5,320,334,319,333,2166,G00001955,NA,5
E 57,E 57,NA,19,NA,NA,NA,NA,2167,G00001956,NA,19
E 55,E 55,NA,19,NA,NA,NA,NA,2168,G00001957,NA,19
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2169,G00001958,NA,12
W 11,W 11,NA,15,62,134,61,135,2170,G00001959,NA,15
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2171,G00001960,NA,12
WASHINGTON,WASHINGTON,NA,1,40,96,41,97,2173,G00001962,NA,1
JAY,JAY,NA,5,2,6,1,7,2174,G00001963,NA,5
GOUVERNEUR,GOUVERNEUR,NA,7,32,48,41,49,2175,G00001964,NA,7
SAINT JOHNS LN,SAINT JOHNS LN,NA,5,2,10,1,9,2176,G00001965,NA,5
E 54,E 54,NA,19,NA,NA,NA,NA,2177,G00001966,NA,19
E 16,E 16,NA,18,1,27,2,20,2178,G00001967,NA,18
W 54,W 54,NA,19,62,138,61,135,2179,G00001968,NA,19
BROADWAY,BROADWAY,NA,8,569,609,568,608,2180,G00001969,NA,14
E 80,E 80,NA,19,NA,NA,NA,NA,2181,G00001970,NA,19
E 13,E 13,NA,15,65,67,64,66,2183,G00001972,NA,15
W 21,W 21,NA,16,NA,NA,249,317,2184,G00001973,NA,16
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,2185,G00001974,NA,19
E 62,E 62,NA,19,NA,NA,NA,NA,2186,G00001975,NA,19
2 AVE,2 AVE,NA,12,NA,NA,NA,NA,2188,G00001977,NA,12
MAIDEN LN,MAIDEN LN,NA,2,21,27,20,26,2191,G00001980,MAIDEN LN,2
WASHINGTON,WASHINGTON,NA,5,456,474,455,475,2193,G00001982,NA,5
1 AVE,1 AVE,NA,18,445,463,446,464,2194,G00001983,NA,18
W 51,W 51,NA,19,294,330,295,331,2195,G00001984,NA,19
E 38,E 38,NA,18,157,163,170,182,2196,G00001985,NA,18
8 AVE,8 AVE,NA,16,461,469,452,470,2197,G00001986,NA,16
HUDSON,HUDSON,NA,5,181,195,182,194,2199,G00001988,NA,5
BEEKMAN,BEEKMAN,NA,2,40,62,39,61,2200,G00001989,NA,2
STUYVESANT,STUYVESANT,NA,17,10,16,NA,NA,2201,G00001990,NA,17
CLINTON,CLINTON,NA,7,210,216,207,217,2202,G00001992,NA,7
E 110,E 110,NA,12,NA,NA,NA,NA,2203,G00001993,NA,12
E 104,E 104,NA,12,NA,NA,NA,NA,2204,G00001994,NA,12
10 AVE,10 AVE,NA,12,NA,NA,NA,NA,2205,G00001995,10 AVE,12
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2206,G00001996,NA,19
BLEECKER,BLEECKER,NA,15,170,186,169,185,2207,G00001997,NA,15
FRONT,FRONT,NA,2,162,180,161,175,2208,G00001998,NA,2
1 AVE,1 AVE,NA,18,465,479,466,480,2211,G00002001,NA,18
E 78,E 78,NA,19,NA,NA,NA,NA,2212,G00002002,NA,19
6 AVE,6 AVE,NA,19,733,749,736,750,2213,G00002003,NA,19
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2214,G00002004,10 AVE,12
SOUTH,SOUTH,NA,2,94,103,NA,NA,2215,G00002005,NA,2
WATER,WATER,NA,7,618,620,NA,NA,2216,G00002006,NA,7
DELANCEY,DELANCEY,NA,13,166,178,165,179,2217,G00002007,NA,13
SUFFOLK,SUFFOLK,NA,17,137,167,140,166,2218,G00002008,NA,17
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2222,G00002012,NA,19
BROOME,BROOME,NA,8,483,499,484,500,2223,G00002013,NA,8
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2226,G00002016,10 AVE,12
E 43,E 43,NA,19,NA,NA,NA,NA,2227,G00002017,NA,19
AVE D,AVE D,NA,11,75,91,76,92,2228,G00002018,NA,11
SAINT NICHOLAS AVE,SAINT NICHOLAS AVE,KINGSBRIDGE RD,12,NA,NA,NA,NA,2231,G00002021,POST RD,12
3 AVE,3 AVE,NA,19,NA,NA,NA,NA,2232,G00002022,NA,19
LEX AVE,LEX AVE,NA,18,288,306,287,305,2238,G00002029,NA,18
GREENWICH,GREENWICH,NA,5,398,408,397,407,2239,G00002030,NA,5
RIDGE,RIDGE,NA,11,79,105,78,104,2242,G00002033,NA,11
E 65,E 65,NA,19,NA,NA,NA,NA,2243,G00002034,NA,19
6 AVE,6 AVE,NA,19,685,701,NA,NA,2245,G00002037,NA,19
MAC DOUGAL,MAC DOUGAL,NA,8,31,57,30,56,2246,G00002038,NA,8
SOUTH,SOUTH,NA,4,161,175,NA,NA,2250,G00002042,NA,4
W 130,W 130,NA,12,NA,NA,NA,NA,2252,G00002044,NA,12
W 124,W 124,NA,12,NA,NA,NA,NA,2253,G00002045,NA,12
W 45,W 45,NA,19,256,298,255,299,2254,G00002046,NA,19
FLETCHER,FLETCHER,NA,2,2,14,1,15,2257,G00002049,NA,2
E 49,E 49,NA,19,173,175,166,172,2258,G00002050,NA,19
8 AVE,8 AVE,NA,9,49,63,NA,NA,2259,G00002051,NA,9
E 18,E 18,NA,18,2,26,1,27,2261,G00002053,NA,18
WILLIAM,WILLIAM,NA,1,31,41,30,44,2266,G00002059,NA,1
GREENWICH AVE,GREENWICH AVE,NA,9,133,149,134,150,2268,G00002061,NA,9
GREENWICH,GREENWICH,NA,8,554,570,553,569,2270,G00002063,NA,8
W 80,W 80,NA,19,NA,NA,NA,NA,2271,G00002064,NA,19
PERRY,PERRY,NA,9,NA,NA,49,77,2273,G00002066,NA,9
E 51,E 51,NA,19,NA,NA,NA,NA,2274,G00002067,NA,19
C W P,C W P,NA,12,NA,NA,NA,NA,2276,G00002070,NA,12
MERCER,MERCER,NA,15,153,177,152,178,2277,G00002071,NA,15
BROADWAY,BROADWAY,NA,19,NA,NA,NA,NA,2279,G00002073,BLOOMINGDALE RD,19
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2280,G00002074,NA,12
WATER,WATER,NA,7,392,432,393,431,2281,G00002075,NA,7
SAINT NICHOLAS AVE,SAINT NICHOLAS AVE,NA,12,NA,NA,NA,NA,2282,G00002076,NA,12
C W P,C W P,NA,19,NA,NA,NA,NA,2283,G00002077,NA,19
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2284,G00002078,NA,12
WATER,WATER,NA,1,74,74,NA,NA,2286,G00002080,NA,1
S WILLIAM,S WILLIAM,NA,1,9,43,4,40,2288,G00002082,NA,1
E 91,E 91,NA,12,NA,NA,NA,NA,2289,G00002083,NA,12
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2290,G00002084,NA,12
9 AVE,9 AVE,NA,19,615,629,616,630,2291,G00002085,NA,19
LEX AVE,LEX AVE,NA,19,NA,NA,NA,NA,2292,G00002086,NA,19
5 AVE,5 AVE,NA,12,NA,NA,NA,NA,2295,G00002089,NA,12
BEACH,BEACH,NA,5,44,50,45,51,2296,G00002090,NA,5
HOWARD,HOWARD,NA,14,11,29,12,30,2297,G00002091,NA,14
E 85,E 85,NA,19,NA,NA,NA,NA,2298,G00002092,NA,19
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,2299,G00002093,NA,19
BROADWAY,BROADWAY,NA,12,NA,NA,NA,NA,2300,G00002094,KINGS BRG RD,12
GRAND,GRAND,NA,10,340,354,341,355,2302,G00002096,NA,10
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2303,G00002097,NA,12
E 52,E 52,NA,19,NA,NA,NA,NA,2304,G00002098,NA,19
BROADWAY,BROADWAY,NA,5,365,379,364,378,2305,G00002099,NA,6
3 AVE,3 AVE,NA,19,630,644,629,643,2309,G00002103,NA,19
3 AVE,3 AVE,NA,17,88,108,87,107,2311,G00002105,NA,17
ELDRIDGE,ELDRIDGE,NA,17,175,197,178,200,2312,G00002106,NA,17
SAINT NICHOLAS AVE,SAINT NICHOLAS AVE,NA,12,NA,NA,NA,NA,2315,G00002109,KINGS BRG RD,12
W 180,W 180,NA,12,NA,NA,NA,NA,2316,G00002110,NA,12
BROOME,BROOME,NA,8,533,539,534,540,2319,G00002113,NA,8
LEX AVE,LEX AVE,NA,19,NA,NA,NA,NA,2322,G00002116,NA,19
6 AVE,6 AVE,NA,16,375,389,376,392,2323,G00002118,NA,18
LEX AVE,LEX AVE,NA,19,NA,NA,NA,NA,2324,G00002119,NA,19
W 154,W 154,NA,12,NA,NA,NA,NA,2325,G00002120,NA,12
2 AVE,2 AVE,NA,12,NA,NA,NA,NA,2326,G00002121,NA,12
3 AVE,3 AVE,NA,19,900,920,901,917,2328,G00002123,NA,19
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,2329,G00002124,NA,12
BANK,BANK,NA,9,90,128,91,129,2331,G00002126,NA,9
GOLD,GOLD,NA,4,81,83,82,84,2332,G00002127,NA,2
GOUVERNEUR W SLIP,GOUVERNEUR W SLIP,NA,7,NA,NA,1,5,2333,G00002128,NA,7
FULTON,FULTON,NA,3,188,222,189,225,2334,G00002129,NA,3
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2335,G00002130,NA,12
WATER,WATER,NA,2,182,200,181,199,2336,G00002131,NA,2
10 AVE,10 AVE,NA,12,NA,NA,NA,NA,2337,G00002132,10 AVE,12
W 117,W 117,NA,12,NA,NA,NA,NA,2340,G00002135,NA,12
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2342,G00002137,NA,19
W 31,W 31,NA,16,64,122,63,123,2346,G00002141,NA,16
GOLD,GOLD,NA,2,25,35,26,36,2349,G00002144,NA,2
E 25,E 25,NA,18,137,183,136,184,2350,G00002145,NA,18
E END AVE,E END AVE,NA,19,NA,NA,NA,NA,2352,G00002147,NA,19
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2354,G00002149,NA,19
8 AVE,8 AVE,NA,16,273,291,274,288,2355,G00002150,NA,16
CENTRE,CENTRE,NA,14,227,259,226,258,2356,G00002151,NA,14
3 AVE,3 AVE,NA,19,694,708,691,707,2358,G00002153,NA,19
YORK AVE,YORK AVE,NA,19,NA,NA,NA,NA,2359,G00002154,NA,19
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,2361,G00002156,NA,19
BARCLAY,BARCLAY,NA,3,2,22,1,23,2364,G00002159,NA,3
W 34,W 34,NA,16,232,276,235,271,2368,G00002163,NA,16
UNION E SQ,UNION E SQ,NA,18,NA,NA,36,48,2369,G00002164,NA,18
3 AVE,3 AVE,NA,19,782,796,783,799,2371,G00002166,NA,19
GREENWICH,GREENWICH,NA,5,354,368,353,367,2372,G00002167,NA,5
MADISON AVE,MADISON AVE,NA,18,88,102,87,89,2375,G00002171,NA,18
MADISON,MADISON,NA,7,61,105,62,114,2376,G00002172,NA,7
PARK AVE S,PARK AVE S,NA,18,420,438,425,441,2380,G00002176,NA,18
HUBERT,HUBERT,NA,5,1,9,2,6,2383,G00002179,NA,5
ELIZABETH,ELIZABETH,NA,14,97,123,96,122,2386,G00002182,NA,14
10 AVE,10 AVE,NA,16,377,391,376,390,2387,G00002183,NA,16
E 3,E 3,NA,11,255,313,256,312,2389,G00002185,NA,11
E 3,E 3,NA,17,1,39,2,38,2391,G00002187,NA,17
HUDSON,HUDSON,NA,9,587,597,NA,NA,2392,G00002188,NA,9
8 AVE,8 AVE,NA,19,755,775,758,772,2394,G00002190,NA,19
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2396,G00002193,NA,12
CHARLTON,CHARLTON,NA,8,90,112,91,113,2397,G00002194,NA,8
2 AVE,2 AVE,NA,12,NA,NA,NA,NA,2398,G00002195,NA,12
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2399,G00002196,NA,12
BEAVER,BEAVER,NA,1,13,31,12,30,2400,G00002198,NA,1
SULLIVAN,SULLIVAN,NA,15,206,240,207,239,2402,G00002200,NA,15
E 97,E 97,NA,12,NA,NA,NA,NA,2403,G00002201,NA,12
E 74,E 74,NA,19,NA,NA,NA,NA,2404,G00002202,NA,19
E 51,E 51,NA,19,84,100,85,101,2405,G00002203,NA,19
6 AVE,6 AVE,NA,9,189,207,190,206,2406,G00002204,NA,15
LAFAYETTE,LAFAYETTE,NA,6,58,60,57,61,2407,G00002205,ELM,6
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2408,G00002206,NA,19
E 70,E 70,NA,19,NA,NA,NA,NA,2410,G00002208,NA,19
4 AVE,4 AVE,NA,15,32,54,31,55,2411,G00002209,NA,17
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2414,G00002212,NA,19
MURRAY,MURRAY,NA,3,64,84,63,87,2417,G00002215,NA,3
W 60,W 60,NA,19,NA,NA,NA,NA,2418,G00002216,NA,19
E 12,E 12,NA,17,103,139,102,140,2419,G00002217,NA,17
W HOUSTON,W HOUSTON,NA,8,722,730,723,731,2423,G00002221,NA,15
LEROY,LEROY,NA,9,100,128,101,127,2424,G00002222,NA,9
OLD SLIP,OLD SLIP,NA,1,NA,NA,15,25,2426,G00002224,NA,1
E 126,E 126,NA,12,NA,NA,NA,NA,2430,G00002228,NA,12
E 78,E 78,NA,19,NA,NA,NA,NA,2431,G00002229,NA,19
WALL,WALL,NA,1,90,104,91,103,2433,G00002231,NA,1
MADISON AVE,MADISON AVE,NA,19,NA,NA,NA,NA,2434,G00002232,NA,19
HORATIO,HORATIO,NA,9,76,98,77,99,2435,G00002233,NA,9
PRINCE,PRINCE,NA,8,128,144,127,145,2436,G00002234,NA,8
E 120,E 120,NA,12,NA,NA,NA,NA,2437,G00002235,NA,12
W END AVE,W END AVE,NA,19,NA,NA,NA,NA,2438,G00002237,NA,19
W 160,W 160,NA,12,NA,NA,NA,NA,2440,G00002239,NA,12
1 AVE,1 AVE,NA,19,NA,NA,NA,NA,2441,G00002240,NA,19
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,2442,G00002241,NA,19
2 AVE,2 AVE,NA,19,1003,1019,1004,1020,2443,G00002242,NA,19
6 AVE,6 AVE,NA,19,851,853,844,852,2444,G00002243,NA,19
6 AVE,6 AVE,NA,16,631,647,630,648,2446,G00002245,NA,18
NORFOLK,NORFOLK,NA,10,83,113,82,112,2447,G00002246,NA,13
E 32,E 32,NA,18,81,107,82,106,2448,G00002247,NA,18
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2449,G00002248,NA,19
CATHERINE,CATHERINE,NA,7,43,59,50,72,2450,G00002249,NA,4
BAYARD,BAYARD,NA,6,39,53,46,58,2451,G00002250,NA,6
W 14,W 14,NA,9,188,242,181,231,2454,G00002253,NA,16
E 93,E 93,NA,12,NA,NA,NA,NA,2455,G00002254,NA,12
W 122,W 122,NA,12,NA,NA,NA,NA,2458,G00002257,NA,12
DUANE,DUANE,NA,5,184,188,177,187,2461,G00002260,NA,5
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2463,G00002262,NA,12
WILLIAM,WILLIAM,NA,2,157,171,156,170,2464,G00002263,NA,2
E 67,E 67,NA,19,NA,NA,NA,NA,2465,G00002264,NA,19
W 48,W 48,NA,19,178,236,179,237,2466,G00002265,NA,19
FRANKLIN,FRANKLIN,NA,5,167,193,168,194,2467,G00002266,NA,5
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2468,G00002267,NA,19
5 AVE,5 AVE,NA,15,24,34,23,33,2469,G00002268,NA,15
MADISON AVE,MADISON AVE,NA,18,36,56,39,59,2470,G00002269,NA,18
WHITE,WHITE,NA,5,2,30,1,31,2472,G00002271,NA,5
3 AVE,3 AVE,NA,19,NA,NA,NA,NA,2473,G00002272,NA,19
SOUTH,SOUTH,NA,1,1,7,NA,NA,2474,G00002273,NA,1
CHRYSTIE,CHRYSTIE,NA,10,73,103,76,102,2475,G00002274,NA,10
KIMLOW SQ,KIMLOW SQ,NA,6,178,210,NA,NA,2477,G00002276,CHATHAM E SQ,4
FORSYTH,FORSYTH,NA,10,63,89,64,90,2479,G00002278,NA,10
LENOX AVE,LENOX AVE,NA,12,NA,NA,NA,NA,2481,G00002280,NA,12
E 15,E 15,NA,18,62,86,61,87,2483,G00002282,NA,18
E 119,E 119,NA,12,NA,NA,NA,NA,2484,G00002283,NA,12
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,2485,G00002284,10 AVE,12
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2486,G00002285,NA,12
C W P,C W P,NA,19,NA,NA,NA,NA,2487,G00002286,NA,19
W 155,W 155,NA,12,NA,NA,NA,NA,2488,G00002287,NA,12
UNION W SQ,UNION W SQ,NA,18,17,31,NA,NA,2489,G00002288,NA,18
ELIZABETH,ELIZABETH,NA,14,159,199,158,198,2491,G00002290,NA,14
AMSTERDAM AVE,AMSTERDAM AVE,NA,19,NA,NA,NA,NA,2493,G00002292,NA,19
W 24,W 24,NA,16,72,132,71,133,2494,G00002293,NA,16
WILLIAM,WILLIAM,NA,1,1,9,2,14,2496,G00002295,NA,1
COOPER SQ,COOPER SQ,NA,15,378,412,NA,NA,2498,G00002297,BOWERY,17
W 36,W 36,NA,16,252,298,245,299,2499,G00002298,NA,16
E 10,E 10,NA,17,151,169,152,168,2500,G00002299,NA,17
W 173,W 173,NA,12,NA,NA,NA,NA,2502,G00002301,NA,12
7 AVE,7 AVE,NA,16,82,96,81,95,2503,G00002302,NA,16
E 73,E 73,NA,19,NA,NA,NA,NA,2504,G00002303,NA,19
W 53,W 53,NA,19,NA,NA,NA,NA,2506,G00002305,NA,19
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2508,G00002307,NA,12
C W P,C W P,NA,12,NA,NA,NA,NA,2509,G00002308,NA,12
E 89,E 89,NA,12,NA,NA,NA,NA,2510,G00002309,NA,12
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,2512,G00002311,NA,19
E 121,E 121,NA,12,NA,NA,NA,NA,2513,G00002312,NA,12
W 15,W 15,NA,18,2,54,1,53,2514,G00002313,NA,18
E BROADWAY,E BROADWAY,NA,7,118,162,119,161,2516,G00002315,NA,7
W 212,W 212,NA,12,NA,NA,NA,NA,2517,G00002316,NA,12
W 38,W 38,NA,16,236,292,239,293,2520,G00002319,NA,16
GRAND,GRAND,NA,10,308,320,309,321,2523,G00002322,NA,10
W 35,W 35,NA,18,26,64,9,65,2524,G00002323,NA,18
W 96,W 96,NA,12,NA,NA,NA,NA,2526,G00002325,NA,12
W 35,W 35,NA,16,178,236,183,233,2528,G00002327,NA,16
F D R DR,F D R DR,NA,7,NA,NA,NA,NA,2530,G00002329,FRONT,7
BARROW,BARROW,NA,9,71,73,NA,NA,2531,G00002330,NA,9
GREENWICH,GREENWICH,NA,5,308,318,307,317,2532,G00002331,NA,5
N MOORE,N MOORE,NA,5,2,14,1,17,2535,G00002334,NA,5
CANAL,CANAL,NA,5,233,251,260,268,2536,G00002335,NA,8
11 AVE,11 AVE,NA,16,305,341,306,342,2537,G00002336,NA,16
BLEECKER,BLEECKER,NA,9,258,262,257,261,2538,G00002337,NA,9
WHITE,WHITE,NA,6,98,112,97,113,2539,G00002338,NA,6
3 AVE,3 AVE,NA,19,886,898,885,899,2540,G00002339,NA,19
HUDSON,HUDSON,NA,5,135,149,NA,NA,2541,G00002340,NA,5
GREENE,GREENE,NA,15,249,251,248,252,2542,G00002341,NA,15
LEX AVE,LEX AVE,NA,19,NA,NA,NA,NA,2544,G00002343,NA,19
COLUMBUS AVE,COLUMBUS AVE,NA,12,NA,NA,NA,NA,2545,G00002344,NA,12
E 33,E 33,NA,18,1,29,2,30,2546,G00002345,NA,18
SULLIVAN,SULLIVAN,NA,8,46,56,45,55,2547,G00002346,NA,8
STANTON,STANTON,NA,17,104,118,103,119,2548,G00002347,NA,17
E 58,E 58,NA,19,NA,NA,NA,NA,2549,G00002348,NA,19
2 AVE,2 AVE,NA,18,435,449,430,444,2550,G00002349,NA,18
BEAVER,BEAVER,NA,1,75,97,76,92,2551,G00002350,NA,1
E 1,E 1,NA,17,10,24,11,25,2553,G00002352,NA,17
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,2554,G00002353,NA,19
E 109,E 109,NA,12,NA,NA,NA,NA,2555,G00002354,NA,12
5 AVE,5 AVE,NA,18,330,342,331,341,2556,G00002355,NA,18
W 32,W 32,NA,18,54,56,53,55,2558,G00002357,NA,18
FORSYTH,FORSYTH,NA,10,31,61,30,62,2560,G00002359,NA,10
WAVERLY PL,WAVERLY PL,NA,9,186,204,167,169,2562,G00002361,NA,9
E 50,E 50,NA,19,187,223,188,230,2564,G00002363,NA,19
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,2566,G00002365,NA,12
11 AVE,11 AVE,NA,NA,39,75,40,76,2569,G00002368,NA,NA
LEX AVE,LEX AVE,NA,18,228,240,229,241,2570,G00002369,NA,18
W 117,W 117,NA,12,NA,NA,NA,NA,2571,G00002370,NA,12
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,2572,G00002372,NA,12
2 AVE,2 AVE,NA,12,NA,NA,NA,NA,2574,G00002374,NA,12
LEX AVE,LEX AVE,NA,18,186,194,183,193,2575,G00002375,NA,18
YORK AVE,YORK AVE,NA,19,NA,NA,NA,NA,2578,G00002378,NA,19
7 AVE,7 AVE,NA,19,NA,NA,NA,NA,2582,G00002382,NA,19
LEX AVE,LEX AVE,NA,18,272,286,273,285,2584,G00002384,NA,18
ORCHARD,ORCHARD,NA,10,7,39,8,40,2586,G00002386,NA,10
BOWERY,BOWERY,NA,14,232,248,231,239,2587,G00002387,NA,17
F DOUGLAS BLVD,F DOUGLAS BLVD,NA,12,NA,NA,NA,NA,2588,G00002388,NA,12
E 13,E 13,NA,11,NA,NA,291,321,2589,G00002389,NA,11
W 13,W 13,NA,9,222,234,223,233,2591,G00002391,NA,9
NASSAU,NASSAU,NA,1,27,39,28,40,2593,G00002393,NA,1
W 58,W 58,NA,19,NA,NA,NA,NA,2595,G00002395,NA,19
E 11,E 11,NA,17,116,154,115,153,2597,G00002397,NA,17
W 39,W 39,NA,16,122,178,121,183,2598,G00002398,NA,16
