OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
2645,,PRINCE ST,190,206,189,205,G00002448,,8,8
2646,,W 35 ST,500,550,501,551,G00002449,,16,16
2649,,E 123 ST,,,,,G00002452,,12,12
2650,,A AVE,191,205,188,202,G00002453,,17,17
2652,MINETTO LN,MINETTA LN,1,5,2,4,G00002456,MINNETA ST,15,15
2653,,E 83 ST,,,,,G00002457,,19,19
2654,,HUDSON ST,95,101,94,100,G00002458,,5,5
2655,,GREENE ST,119,147,118,146,G00002459,,8,8
2656,,E 43 ST,121,125,116,126,G00002460,,19,19
2657,,LEONARD ST,,,122,140,G00002461,,6,6
2658,,W END AVE,,,,,G00002462,,12,12
2659,,GREENE ST,1,35,2,34,G00002463,,8,8
2660,LIVINGSTON PL,NATHAN D PERLMAN PL,,,1,9,G00002464,,18,18
2664,,W 57 ST,,,,,G00002468,,19,19
2665,,W 19 ST,70,126,69,127,G00002469,,16,16
2666,,LEX AVE,90,108,89,105,G00002470,,18,18
2668,,SEVENTH AVE,210,226,209,225,G00002472,,16,16
2669,,GRAND ST,236,252,237,253,G00002473,,10,10
2671,TENTH AVE ,AMSTERDAM AVE,,,,,G00002475,,12,12
2672,,FIRST AVE,,,,,G00002476,,12,12
2673,TENTH AVE ,AMSTERDAM AVE,,,,,G00002477,,12,12
2674,,ALLEN ST,179,213,180,214,G00002478,,17,17
2677,,W 175 ST,,,,,G00002481,,12,12
2678,,E 3 ST,181,253,182,254,G00002482,,11,11
2681,,9 AVE,459,473,444,470,G00002486,,16,16
2682,,MONROE ST,1,43,2,44,G00002487,,7,7
2683,,GREENWICH ST,94,112,91,111,G00002488,,1,1
2684,,E 38 ST,33,57,34,56,G00002489,,18,18
2687,,E 90 ST,,,,,G00002492,,12,12
2688,,W 179 ST,,,,,G00002493,,12,12
2689,,E 118 ST,,,,,G00002494,,12,12
2690,,W 51 ST,68,132,67,131,G00002495,,19,19
2692,,W 48 ST,2,60,1,59,G00002497,,19,19
2694,,PARK AVE,,,,,G00002499,,12,12
2697,,MORNINGSIDE AVE,,,,,G00002502,,12,12
2699,,TENTH AVE,215,229,214,230,G00002504,,16,16
2700,,STONE ST,41,61,42,60,G00002505,,1,1
2701,,CANAL ST,63,79,68,86,G00002506,,8,5
2702,,EIGHTH AVE,541,557,538,556,G00002507,,16,16
2703,,RIVINGTON ST,138,162,147,163,G00002508,,13,17
2706,,E 45 ST,,,,,G00002512,,19,19
2707,,CHERRY ST,118,168,117,167,G00002513,,7,7
2708,,FIRST AVE,,,,,G00002514,,12,12
2709,,GOLD ST,37,51,38,52,G00002515,,2,2
2711,,PARK AVE,,,,,G00002517,,19,19
2712,,DONNELLON SQ,,,,,G00002518,,12,12
2714,,MONTGOMERY ST,35,51,36,50,G00002520,,7,7
2715,,E 18 ST,28,58,29,59,G00002521,,18,18
2716,,W END AVE,,,,,G00002522,,19,19
2717,,JEFFERSON ST,21,25,22,26,G00002523,,7,7
2718,,E 53 ST,,,,,G00002524,,19,19
2719,,9 AVE,,,,,G00002525,,19,19
2720,,WATER ST,76,96,75,95,G00002526,,1,1
2723,,W 59 ST,,,305,313,G00002529,,19,19
2728,,2 AVE,37,51,36,52,G00002534,,17,17
2729,,W END AVE,,,,,G00002535,,12,12
2730,,SPRUCE ST,,,,,G00002536,,2,4
2731,KINGS BRIDGE RD,BROADWAY,,,,,G00002537,,12,12
2733,,MAIDEN LN,1,19,2,18,G00002540,,2,2
2734,,AMSTERDAM AVE,,,978,994,G00002541,,19,19
2735,,E 28 ST,21,47,22,48,G00002542,,18,18
2736,,FIRST AVE,357,385,374,382,G00002543,,18,18
2739,,E SIXTH ST,64,104,63,85,G00002546,,17,17
2741,,FIRST AVE,,,,,G00002549,,19,19
2742,,BROADWAY,873,887,872,886,G00002550,,18,18
2743,,STUYVESANT ST,13,45,16,46,G00002551,,17,17
2744,,E 13 ST,259,301,260,304,G00002552,,17,17
2745,,SAINT MARK'S PL,1,35,2,36,G00002553,,17,17
2746,,HUDSON ST,405,421,,,G00002554,,9,9
2747,,PARK AVE,,,,,G00002555,,19,19
2750,,PARK AVE,,,,,G00002558,,12,12
2753,,E 75 ST,,,,,G00002561,,19,19
2755,,TENTH AVE,199,213,200,212,G00002563,,16,16
2756,,E 49 ST,,,,,G00002564,,19,19
2757,,IRVING PL,51,63,52,64,G00002565,,18,18
2758,,PEARL ST,313,339,314,340,G00002566,,4,4
2760,,E 34 ST,39,65,40,66,G00002568,,18,18
2761,,E 117 ST,,,,,G00002569,,12,12
2762,,PARK AVE,,,,,G00002570,,12,12
2763,,GANSEVOORT ST,50,76,,,G00002571,,9,9
2764,,EIGHTH AVE,741,749,742,748,G00002572,,19,19
2765,,SAINT NICHOLAS AVE,,,,,G00002573,,12,12
2766,,FIFTH AVE,,,,,G00002574,,12,12
2771,,SEVENTH AVE,794,810,795,811,G00002579,,19,19
2772,,6 AVE,411,427,414,428,G00002580,,18,16
2773,,AVE D,,,,,G00002581,,11,11
2774,,E 12 ST,29,47,34,54,G00002582,,15,15
2775,,GREENE ST,37,53,36,56,G00002583,,8,8
2778,,E 73 ST,,,,,G00002586,,19,19
2783,,B AVE,72,88,73,91,G00002591,,11,17
2784,,CORTLANDT ALY,2,10,1,9,G00002592,,6,6
2785,,W 4 ST,51,67,52,68,G00002593,,9,9
2786,,LEX AVE,,,,,G00002594,,19,19
2787,,GREENWICH ST,296,306,301,305,G00002595,,5,5
2788,,6 AVE,253,267,250,266,G00002596,,18,16
2791,,HUDSON ST,53,61,52,60,G00002599,,5,5
2792,,HUDSON ST,219,243,214,230,G00002600,,8,8
2793,,6 AVE,449,461,446,462,G00002601,,18,16
2794,,W 177 ST,,,,,G00002602,,12,12
2795,,BROAD ST,107,111,110,122,G00002603,,1,1
2796,,FIFTH AVE,,,,,G00002604,,19,19
2797,,FIFTH AVE,,,,,G00002605,,12,12
2799,,E 125 ST,,,,,G00002607,,12,12
2801,,MOTT ST,243,291,242,290,G00002609,,14,14
2802,,E 61 ST,,,,,G00002610,,19,19
2803,,BROADWAY,461,487,460,486,G00002611,,14,8
2804,,SULLIVAN ST,2,20,1,19,G00002612,,8,8
2806,,TENTH AVE,509,525,510,528,G00002614,,19,19
2807,,BROOME ST,195,209,192,210,G00002615,,13,13
2808,,W 34 ST,1,12,49,65,G00002616,,18,18
2810,,F DOUGLAS BLVD,,,,,G00002618,,12,12
2813,,SAINT NICHOLAS AVE,,,,,G00002621,,12,12
2814,,W 183 ST,,,,,G00002622,,12,12
2816,,E 24 ST,59,89,58,88,G00002625,,18,18
2819,,B AVE,160,174,159,173,G00002628,,11,17
2821,,FIFTH AVE,130,138,127,137,G00002630,,18,18
2823,,A AVE,157,173,156,170,G00002633,,17,17
2824,,YORK AVE,,,,,G00002634,,19,19
2825,,W 18 ST,64,120,65,119,G00002635,,16,16
2826,,FIRST AVE,267,281,274,288,G00002636,,18,18
2827,,3 AVE,,,,,G00002637,,12,12
2828,,W 36 ST,80,116,79,123,G00002638,,16,16
2829,,HUDSON ST,445,463,438,462,G00002639,,9,9
2831,,SAINT NICHOLAS AVE,,,,,G00002641,,12,12
2833,TROY ST,W 12 ST,46,58,45,57,G00002643,,9,9
2834,,W 28 ST,18,46,27,43,G00002644,,18,18
2836,,E TENTH ST,63,97,64,98,G00002646,,15,15
2837,,2 AVE,941,961,940,960,G00002647,,19,19
2838,,FIRST AVE,,,,,G00002648,,19,19
2840,,2 AVE,,,,,G00002650,,12,12
2843,,PARK AVE S,306,314,305,315,G00002653,,18,18
2845,,STANTON ST,40,58,41,59,G00002655,,17,17
2848,,SPRING ST,88,104,89,105,G00002658,,8,8
2850,,2 AVE,,,,,G00002660,,12,12
2851,,E 11 ST,34,60,35,59,G00002661,,15,15
2853,,E 62 ST,,,,,G00002663,,19,19
2854,,PARK AVE,,,,,G00002664,,19,19
2855,,WASHINGTON ST,568,582,569,583,G00002665,,9,9
2856,,LIBERTY ST,2,12,1,15,G00002666,,1,2
2858,,TENTH AVE,393,409,392,408,G00002668,,16,16
2859,,DELANCEY ST,304,314,305,319,G00002669,,13,13
2861,,E 127 ST,,,,,G00002671,,12,12
2862,,E 71 ST,,,,,G00002672,,19,19
2863,,E 17 ST,70,96,71,97,G00002673,,18,18
2864,,BROADWAY,289,301,290,302,G00002674,,6,5
2865,,BROADWAY,415,417,414,416,G00002675,,6,5
2868,,EIGHTH AVE,65,67,,,G00002678,,9,9
2869,,BROADWAY,715,727,714,726,G00002679,,15,15
2873,,E 19 ST,109,155,108,156,G00002683,,18,18
2875,,2 AVE,,,,,G00002685,,12,12
2877,,SEVENTH AVE,506,522,507,519,G00002687,,19,19
2882,,E 64 ST,,,,,G00002692,,19,19
2883,TENTH AVE ,AMSTERDAM AVE,,,,,G00002694,,12,12
2884,,FRONT ST,116,134,115,131,G00002695,,1,1
2885,,DIVISION ST,,,137,147,G00002696,,7,10
2886,,FIRST AVE,,,,,G00002697,,12,12
2887,,DOWNING ST,34,70,35,71,G00002698,,9,9
2888,,LEX AVE,70,88,69,87,G00002699,,18,18
2890,KINGS BRIDGE RD,BROADWAY,,,,,G00002701,,12,12
2891,,W HOUSTON ST,612,640,611,639,G00002702,,15,8
2894,,LEROY ST,130,144,129,143,G00002705,,9,9
2900,,E 46 ST,,,,,G00002711,,19,19
2904,,HESTER ST,162,174,161,175,G00002715,,14,14
2906,,F DOUGLAS BLVD,,,,,G00002717,,12,12
2908,,F DOUGLAS BLVD,,,,,G00002719,,12,12
2911,,PECK SLIP,1,19,2,18,G00002722,,2,4
2912,,COLLISTER ST,,,,,G00002724,,5,5
2913,,LEX AVE,256,270,257,271,G00002725,,18,18
2914,,THOMPSON ST,235,247,236,248,G00002726,,15,15
2915,,W 69 ST,,,,,G00002727,,19,19
2917,,F DOUGLAS BLVD,,,,,G00002729,,12,12
2920,,3 AVE,922,940,919,937,G00002732,,19,19
2921,,C AVE,159,167,158,166,G00002733,,11,11
2922,,PARK AVE,,,,,G00002734,,12,12
2925,,W 17 ST,130,200,131,201,G00002737,,16,16
2926,,W END AVE,,,,,G00002738,,12,12
2930,,PEARL ST,237,265,238,266,G00002742,,2,2
2931,,E 57 ST,,,,,G00002743,,19,19
2932,,2 AVE,,,810,822,G00002744,,19,19
2933,,WAVERLY PL,,,153,161,G00002745,,9,9
2934,,FULTON ST,72,76,73,79,G00002746,,2,2
2935,,W 185 ST,,,,,G00002747,,12,12
2940,SECOND ST,E HOUSTON ST,300,314,299,315,G00002752,,11,11
2941,,SAINT NICHOLAS AVE,,,,,G00002753,,12,12
2942,,2 AVE,469,477,464,478,G00002754,,18,18
2943,HAMMERSLEY ST,W HOUSTON ST,16,62,1,63,G00002755,,9,8
2944,,2 AVE,,,,,G00002756,,19,19
2945,,HUDSON ST,465,487,464,488,G00002757,,9,9
2946,,SAINT NICHOLAS AVE,,,,,G00002758,,12,12
2949,,W 31 ST,260,320,271,321,G00002761,,16,16
2952,,TENTH AVE,167,181,168,180,G00002764,,16,16
2953,,E 72 ST,,,,,G00002765,,19,19
2955,,PINE ST,16,46,17,45,G00002767,,1,1
2956,,W 73 ST,,,,,G00002768,,19,19
2958,,AMSTERDAM AVE,,,,,G00002770,,19,19
2959,,E 71 ST,,,,,G00002771,,19,19
2962,,WASHINGTON ST,816,830,815,829,G00002775,,9,9
2967,,OLIVER ST,2,14,1,11,G00002780,,4,4
2968,,MERCER ST,179,217,180,216,G00002781,,15,15
2969,,CROSBY ST,26,46,27,47,G00002782,,14,14
2972,,W 36 ST,2,74,1,67,G00002785,,18,18
2973,,WOOSTER ST,57,89,56,90,G00002786,,8,8
2975,,CHURCH ST,88,94,87,93,G00002788,,3,3
2977,,E 26 ST,115,159,118,160,G00002790,,18,18
2978,,E 94 ST,,,,,G00002791,,12,12
2980,,PARK AVE,,,,,G00002793,,19,19
2982,,E 4 ST,575,619,576,620,G00002795,,11,11
2983,,PARK AVE,,,,,G00002796,,19,19
2984,,ASTOR PL,2,14,1,13,G00002797,,15,15
2986,BLOOMINGDALE RD,BROADWAY,,,,,G00002799,,19,19
2988,,E 64 ST,,,,,G00002801,,19,19
2990,,PARK AVE,,,,,G00002803,,19,19
2992,,W 51 ST,258,292,257,293,G00002805,,19,19
2993,,FIRST AVE,,,,,G00002806,,19,19
2995,,WATER ST,260,278,259,279,G00002808,,4,4
2996,,E 111 ST,,,,,G00002809,,12,12
2997,,2 AVE,281,283,280,286,G00002810,,18,18
2998,,6 AVE,1,21,2,16,G00002811,,15,9
2999,,E 52 ST,,,,,G00002812,,19,19
3001,,COLUMBUS AVE,,,,,G00002814,,19,19
3003,,RECTOR ST,3,11,2,10,G00002816,,1,1
3004,,BARCLAY ST,58,74,57,73,G00002817,,3,3
3005,,PARK AVE,,,,,G00002818,,19,19
3006,,E 53 ST,67,79,70,80,G00002819,,19,19
3008,,HESTER ST,176,190,177,191,G00002821,,14,14
3010,,SEVENTH AVE,704,720,705,721,G00002823,,19,19
3011,,E 9 ST,350,400,349,401,G00002824,,11,11
3012,,AMSTERDAM AVE,,,,,G00002825,,12,12
3015,,PLATT ST,22,40,25,41,G00002828,,2,2
3016,,W 31 ST,2,44,1,45,G00002829,,18,18
3017,,E 112 ST,,,,,G00002830,,12,12
3018,,E SEVENTH ST,15,47,16,46,G00002831,,17,17
3019,,W 28 ST,110,168,115,169,G00002832,,16,16
3022,,CHRISTOPHER ST,184,186,185,187,G00002835,,9,9
3023,COLLEGE PL,W BROADWAY,1,4,,,G00002836,,3,3
3025,,FOURTH AVE,92,108,93,109,G00002838,,17,15
3026,,W 36 ST,306,364,307,363,G00002839,,16,16
3027,,PARK AVE,,,,,G00002840,,19,19
3028,AMITY ST,W THIRD ST,78,96,79,93,G00002841,,15,15
3029,,SOUTH ST,151,160,,,G00002842,,4,4
3030,,PIKE ST,9,21,8,22,G00002843,,7,7
3031,WASHINGTON SQ,WASHINGTON SQ N,,,14,29,G00002844,,15,15
3033,,PARK AVE,,,,,G00002846,,19,19
3034,,FRANKLIN ST,131,165,132,166,G00002847,,5,5
3035,BLOOMINGDALE RD,BROADWAY,,,,,G00002848,,19,19
3036,,TENTH AVE,67,81,68,82,G00002849,,16,16
3038,,3 AVE,,,,,G00002851,,19,19
3039,,ELDRIDGE ST,1,27,2,28,G00002853,,10,10
3040,,9 AVE,373,391,374,390,G00002854,,16,16
3042,,GREENWICH ST,370,380,369,379,G00002856,,5,5
3043,,FIRST AVE,,,,,G00002857,,12,12
3044,,E 41 ST,123,165,124,166,G00002858,,19,19
3045,,E 122 ST,,,,,G00002859,,12,12
3046,LEROY PL,BLEECKER ST,,,,,G00002860,,15,15
3047,,BROOME ST,451,465,452,466,G00002861,,8,8
3048,,UNIVERSITY PL,10,24,11,23,G00002862,,15,15
3049,,BROADWAY,955,965,,,G00002863,,18,18
3051,,SOUTH ST,,,,,G00002865,,2,2
3052,,W 49 ST,224,274,225,275,G00002866,,19,19
3053,LAURENS ST,LAGUARDIA PL,169,199,166,196,G00002867,,15,15
3056,,WORTH ST,149,168,,,G00002870,,6,6
3057,,2 AVE,17,35,18,34,G00002871,,17,17
3058,,GRAMERCY PARK N,70,82,,,G00002872,,18,18
3061,,BROADWAY,745,755,746,754,G00002875,,15,15
3062,,SEVENTH AVE,12,32,17,33,G00002876,,9,9
3066,,SEVENTH AVE,128,142,127,141,G00002880,,16,16
3067,,3 AVE,152,170,151,169,G00002881,,18,18
3068,,W 108 ST,,,,,G00002882,,12,12
3069,,E 14 ST,241,287,240,284,G00002883,,17,18
3070,TENTH AVE ,AMSTERDAM AVE,,,,,G00002884,,12,12
3074,,THOMPSON ST,83,121,82,118,G00002888,,8,8
3076,,MADISON AVE,,,25,37,G00002891,,18,18
3077,,SPRING ST,308,318,305,317,G00002892,,8,8
3078,,W 140 ST,,,,,G00002893,,12,12
3080,,E 87 ST,,,,,G00002895,,12,12
3081,TROY ST,W 12 ST,92,128,91,127,G00002896,,9,9
3083,,IRVING PL,35,49,36,50,G00002898,,18,18
3084,,W 176 ST,,,,,G00002899,,12,12
3085,,NASSAU ST,93,105,94,102,G00002900,,2,2
3086,,YORK AVE,,,,,G00002901,,19,19
3087,,3 AVE,676,692,677,689,G00002902,,19,19
3088,,LEONARD ST,1,35,2,34,G00002903,,5,5
3089,,E 12 ST,285,327,280,326,G00002904,,11,11
3090,,LEX AVE,,,,,G00002905,,19,19
3092,,W 42 ST,,,,,G00002908,,19,19
3093,,FIRST AVE,349,355,356,372,G00002909,,18,18
3098,,PARK AVE,,,,,G00002914,,12,12
3099,,SUTTON PL S,,,,,G00002915,,19,19
3100,,2 AVE,,,,,G00002916,,12,12
3102,,E 59 ST,,,,,G00002918,,19,19
3103,,C P W,,,,,G00002919,,19,19
3109,,BOWERY,2,18,1,17,G00002925,,10,6
3110,COLLEGE PL,W BROADWAY,5,11,,,G00002926,,3,3
3111,,TENTH AVE,411,425,410,422,G00002927,,16,16
3112,,FIRST AVE,,,,,G00002928,,12,12
3113,,AMSTERDAM AVE,,,,,G00002929,,19,19
3114,,9 AVE,,,,,G00002930,,19,19
3115,,FIRST AVE,,,,,G00002931,,19,19
3117,,3 AVE,,,,,G00002933,,12,12
3118,POST RD,SAINT NICHOLAS AVE,,,,,G00002934,KINGSBRIDGE RD,12,12
3119,,E 9 ST,88,130,87,131,G00002935,,15,15
3121,,COLUMBUS AVE,,,,,G00002937,,19,19
3122,LAURENS ST,W BROADWAY,93,125,92,124,G00002939,,8,8
3125,,F DOUGLAS BLVD,,,,,G00002942,,12,12
3127,,BROADWAY,531,567,530,566,G00002944,,14,8
3128,,FIRST AVE,137,151,148,162,G00002945,,17,17
3131,,CANAL ST,203,217,,,G00002948,,8,5
3132,,GREENWICH ST,588,600,587,599,G00002949,,9,9
3133,,THAMES ST,12,30,13,31,G00002950,,1,1
3134,,N MOORE ST,16,48,19,47,G00002951,,5,5
3137,,BROADWAY,345,347,346,348,G00002954,,6,5
3138,,E 31 ST,111,147,108,146,G00002955,,18,18
3139,,E 111 ST,,,,,G00002956,,12,12
3140,,W 36 ST,182,250,185,243,G00002957,,16,16
3141,,WHITEHALL ST,33,41,34,44,G00002958,,1,1
3142,FRONT ST,F D R DR,305,343,306,342,G00002959,,7,7
3143,,E 35 ST,173,225,172,218,G00002960,,18,18
3144,,DELANCEY ST,264,282,267,285,G00002961,,13,13
3147,,NORFOLK ST,115,135,114,134,G00002964,,17,17
3149,,CHURCH ST,2,16,1,15,G00002966,,3,3
3150,,FIRST AVE,,,,,G00002967,,12,12
3151,,WASHINGTON ST,440,454,441,453,G00002968,,5,5
3152,,COLUMBUS AVE,,,,,G00002969,,19,19
3154,,UNION SQ E,,,22,34,G00002971,,18,18
3155,,FIFTH AVE,,,,,G00002972,,12,12
3157,,WASHINGTON ST,694,700,695,701,G00002974,,9,9
3159,WILLETT ST,BIALYSTOKER PL,1,19,2,20,G00002976,,13,13
3160,3 AVE,COOPER SQ,2,18,1,17,G00002977,,17,17
3161,AMOS ST,W TENTH ST,146,158,147,159,G00002978,,9,9
3167,,GRAND ST,190,202,191,203,G00002984,,14,14
3168,,E 3 ST,137,179,138,180,G00002985,,17,17
3169,FRONT ST,F D R DR,291,305,290,304,G00002986,,7,7
3170,,SAINT NICHOLAS AVE,,,,,G00002987,,12,12
3171,,CHARLES ST,24,54,23,53,G00002988,,9,9
3173,,PLATT ST,2,20,1,23,G00002990,,2,2
3174,,W 13 ST,136,172,137,173,G00002991,,9,9
3175,,SULLIVAN ST,94,130,95,129,G00002992,,8,8
3176,,BROOME ST,501,517,502,518,G00002993,,8,8
3178,,AMSTERDAM AVE,,,,,G00002995,,12,12
3179,,E 14 ST,151,195,152,194,G00002996,,17,18
3180,,W 15 ST,244,298,245,299,G00002997,,16,16
3181,,W 187 ST,,,,,G00002998,,12,12
3182,,ORCHARD ST,107,135,108,136,G00002999,,10,10
3183,,E 26 ST,1,27,,,G00003000,,18,18
3185,,E 55 ST,,,,,G00003002,,19,19
3187,,E 15 ST,,,141,157,G00003004,,18,18
3188,,STANTON ST,60,72,61,73,G00003005,,17,17
3189,,BOWERY,20,28,19,27,G00003006,,10,6
3192,,E 25 ST,25,49,28,48,G00003009,,18,18
3193,,E 77 ST,,,,,G00003010,,19,19
3194,,COLUMBUS AVE,,,,,G00003011,,12,12
3195,,PARK AVE,,,,,G00003012,,19,19
3196,,E 22 ST,105,141,104,142,G00003013,,18,18
3197,,3 AVE,,,,,G00003014,,12,12
3198,,3 AVE,1108,1122,1107,1121,G00003015,,19,19
3200,,F DOUGLAS BLVD,,,,,G00003017,,12,12
3202,,MADISON ST,257,297,258,288,G00003019,,7,7
3203,,BROADWAY,643,663,642,658,G00003020,,15,15
3204,,EIGHTH AVE,615,625,610,626,G00003021,,19,19
3205,,W 74 ST,,,,,G00003022,,19,19
3206,,E 52 ST,67,111,68,112,G00003023,,19,19
3207,,E 14 ST,297,321,286,320,G00003024,,11,18
3209,,E 5 ST,206,258,207,259,G00003026,,11,11
3210,,E 68 ST,,,,,G00003027,,19,19
3212,,KING ST,2,12,1,13,G00003029,,8,8
3213,,E 45 ST,125,165,126,164,G00003030,,19,19
3215,,SEVENTH AVE,740,756,741,757,G00003033,,19,19
3216,,6 AVE,649,665,650,664,G00003034,,18,16
3218,,W 31 ST,46,62,47,61,G00003036,,18,18
3220,,SUFFOLK ST,105,135,108,138,G00003038,,17,17
3222,,WOOSTER ST,31,55,30,54,G00003040,,8,8
3223,,FIFTH AVE,,,,,G00003041,,19,19
3224,,E TENTH ST,281,347,,,G00003042,,17,17
3226,HAMMOND ST,W 11 ST,20,50,19,49,G00003044,,9,9
3227,,FULTON ST,126,158,127,157,G00003045,,2,2
3229,,COOPER SQ,2,16,1,17,G00003047,,17,15
3230,HAMMERSLEY ST,W HOUSTON ST,2,14,,,G00003048,,9,8
3231,,3 AVE,248,260,247,259,G00003049,,18,18
3232,,E 100 ST,,,,,G00003050,,12,12
3236,,SPRING ST,30,46,29,45,G00003054,,14,14
3237,,W 32 ST,58,116,57,115,G00003055,,16,16
3238,,W 38 ST,100,174,101,177,G00003056,,16,16
3239,,PECK SLIP,,,20,32,G00003057,,2,2
3240,,PIKE ST,39,57,42,56,G00003058,,7,7
3241,,PRINCE ST,2,14,1,15,G00003059,,14,14
3242,,AMSTERDAM AVE,,,,,G00003060,,19,19
3243,,2 AVE,609,627,644,658,G00003061,,18,18
3244,,PARK AVE,,,,,G00003062,,12,12
3246,,HAMILTON PL,,,,,G00003064,,12,12
3247,,GREENWICH ST,682,698,685,699,G00003065,,9,9
3248,,W 76 ST,,,,,G00003066,,19,19
3250,,E 42 ST,129,137,130,152,G00003068,,19,19
3251,,E 82 ST,,,,,G00003069,,19,19
3252,,CHRYSTIE ST,105,123,104,122,G00003070,,10,10
3253,,ELEVENTH AVE,389,405,,,G00003071,,16,16
3254,,EIGHTH AVE,471,489,472,490,G00003072,,16,16
3257,,C P W,,,,,G00003075,,12,12
3258,,E 68 ST,,,,,G00003076,,19,19
3259,,PRINCE ST,94,110,93,109,G00003077,,8,8
3260,AMITY ST,W THIRD ST,44,60,43,59,G00003078,,15,15
3262,,GREENE ST,233,247,232,246,G00003081,,15,15
3266,,FULTON ST,2,14,1,13,G00003085,,2,2
3267,,WOOSTER ST,1,29,2,28,G00003086,,8,8
3268,KINGS BRIDGE RD,BROADWAY,,,,,G00003087,,12,12
3269,,BROADWAY,1345,1365,1346,1366,G00003089,,19,19
3270,,W TENTH ST,1,61,2,62,G00003090,,15,15
3271,,FIFTH AVE,,,,,G00003091,,12,12
3272,,TENTH AVE,153,165,152,166,G00003092,,16,16
3274,,3 AVE,818,828,821,831,G00003094,,19,19
3275,,GRAND ST,34,50,35,51,G00003095,,8,8
3277,,W 175 ST,,,,,G00003097,,12,12
3278,,AMSTERDAM AVE,,,,,G00003098,,19,19
3282,,TENTH AVE,489,507,490,508,G00003102,,19,19
3283,,E 93 ST,,,,,G00003103,,12,12
3284,,YORK AVE,,,,,G00003104,,19,19
3285,BURLING SLIP,JOHN ST,25,41,26,40,G00003105,,2,2
3286,,AMSTERDAM AVE,,,,,G00003106,,19,19
3287,,PARK AVE S,51,61,52,62,G00003107,,18,18
3288,,3 AVE,,,,,G00003108,,12,12
3291,,W 46 ST,144,180,143,179,G00003112,,19,19
3292,,E 23 ST,,,,,G00003113,,18,18
3293,,W BROADWAY,120,122,119,121,G00003114,,5,5
3296,,E BROADWAY,16,72,19,75,G00003118,,7,7
3297,,LUDLOW ST,61,79,60,82,G00003119,,10,10
3298,HAMMOND ST,W 11 ST,82,92,81,91,G00003120,,9,9
3299,WALKER ST,CANAL ST,246,258,247,261,G00003121,,10,10
3300,,W 125 ST,,,,,G00003122,,12,12
3301,,FIFTH AVE,36,46,35,45,G00003124,,15,15
3302,,MADISON AVE,136,150,133,149,G00003125,,18,18
3305,,DELANCEY ST,100,114,99,113,G00003128,,10,10
3307,,E 57 ST,,,,,G00003130,,19,19
3308,,WAVERLY PL,156,168,,,G00003131,,9,9
3309,,W 114 ST,,,,,G00003132,,12,12
3310,,GRAND ST,174,188,175,189,G00003133,,14,14
3311,,BOWERY,214,230,215,229,G00003134,,17,14
3312,TENTH AVE ,AMSTERDAM AVE,,,,,G00003135,,12,12
3313,,BROADWAY,967,975,968,974,G00003136,,18,18
3314,,W 43 ST,118,192,125,199,G00003137,,19,19
3315,,E 30 ST,201,253,200,252,G00003138,,18,18
3317,,E 87 ST,,,,,G00003140,,12,12
3318,,E 28 ST,105,149,108,152,G00003142,,18,18
3319,,W 163 ST,,,,,G00003143,,12,12
3321,,E 91 ST,,,,,G00003145,,12,12
3322,,6 AVE,269,287,268,286,G00003146,,18,16
3323,,WALKER ST,110,124,111,125,G00003147,,6,6
3324,,PINE ST,48,76,47,77,G00003148,,1,1
3325,TENTH AVE ,AMSTERDAM AVE,,,,,G00003149,,12,12
3326,AMOS ST,W TENTH ST,86,114,87,115,G00003150,,9,9
3332,,9 AVE,173,191,174,192,G00003156,,16,16
3334,,CARLISLE ST,2,14,1,5,G00003158,,1,1
3336,,W 53 ST,60,104,61,105,G00003160,,19,19
3337,,E 83 ST,,,,,G00003161,,19,19
3338,,PARK AVE,,,,,G00003162,,12,12
3339,,W 18 ST,2,62,1,63,G00003163,,18,18
3341,,E SIXTH ST,276,332,275,333,G00003166,,11,11
3343,,9 AVE,587,603,580,598,G00003168,,19,19
3344,,3 AVE,660,674,661,675,G00003169,,19,19
3347,,HUDSON ST,151,163,,,G00003172,,5,5
3348,,W 24 ST,134,192,135,191,G00003173,,16,16
3349,,TENTH AVE,119,133,120,134,G00003174,,16,16
3351,,2 AVE,,,,,G00003176,,12,12
3352,,LAIGHT ST,1,11,10,10,G00003177,,5,5
3354,,E EIGHTH ST,295,341,294,340,G00003179,,11,11
3355,,E 40 ST,1,29,2,30,G00003180,,18,19
3356,,WILLIAM ST,109,141,108,140,G00003181,,2,2
3357,,LEX AVE,148,166,147,163,G00003182,,18,18
3359,,E 69 ST,,,,,G00003184,,19,19
3360,,EIGHTH AVE,523,539,538,566,G00003185,,16,16
3363,,TENTH AVE,83,101,84,100,G00003188,,16,16
3364,,FIRST AVE,299,313,306,322,G00003189,,18,18
3365,,FIFTH AVE,268,280,265,279,G00003190,,18,18
3366,,E 115 ST,,,,,G00003191,,12,12
3368,,FIFTH AVE,,,,,G00003193,,12,12
3369,,WATTS ST,77,85,76,86,G00003194,,5,5
