OBJECTID,BK_STREET1850_FULL_STREE,BK_STREET1850_Y1850NAMESTREET,BK_STREET1850_Y1850LEFT_LOW,BK_STREET1850_Y1850LEFT_HIGH,BK_STREET1850_Y1850RIGHT_LOW,BK_STREET1850_Y1850RIGHT_HIGH,BK_STREET1850_JOINID,BK_STREET1850_Y1850NAMEALT,Ward Left 1850,Ward Right 1850
426,GOLD ST,,,,,,G00000425,,5,5
444,3 AVE,,,,,,G00000443,,10,10
447,LEONARD ST,,,,,,G00000446,,,
456,NINTH ST,,,,,,G00000455,,8,8
457,GATES AVE,,,,,,G00000456,,7,7
459,FIFTH AVE,,,,,,G00000458,,8,10
465,QUINCY ST,,,,,,G00000464,,9,9
466,16 ST,,,,,,G00000465,,8,8
471,BKLYN AVE,BROOKLYN AVE ,,,,,G00000470,,9,9
474,BAY ST,,,,,,G00000473,,6,6
478,GRAND ST,,,,,,G00000477,,,
480,CLYMER ST,,,,,,G00000479,,7,7
488,COURT ST,,,,,,G00000487,,10,6
489,N  THIRD ST,,,,,,G00000488,,,
490,8 ST,,,,,,G00000489,,8,8
492,RALPH AVE,,,,,,G00000491,,9,9
493,PROSPECT ST,,,,,,G00000492,,2,2
501,MANHATTAN AVE,,,,,,G00000500,,,
502,LEONARD ST,,,,,,G00000501,,,
504,GARVEY BLVD,,,,,,G00000503,,9,9
513,19 ST,,,,,,G00000512,,8,8
515,FOURTH AVE,,,,,,G00000514,,10,10
519,PROSPECT AVE,,,,,,G00000518,,8,8
522,BERGEN ST,,,,,,G00000521,,9,9
524,TOMPKINS AVE,,,,,,G00000523,,9,9
526,GRAND ST,,,,,,G00000525,,,
528,LEE AVE,,,,,,G00000527,,7,7
533,6 AVE,,,,,,G00000532,,8,8
538,FIFTH AVE,,,,,,G00000537,,8,8
546,17 ST,,,,,,G00000545,,8,8
550,MARTIN LUTHER KING PL,,,,,,G00000549,,9,9
552,NINTH ST,,,,,,G00000551,,8,8
556,S  2 ST,,,,,,G00000555,,,
557,S  8 ST,,,,,,G00000556,,,
558,LINCOLN PL,,,,,,G00000557,,9,9
574,WILLOUGHBY AVE,,,,,,G00000573,,9,9
580,BERGEN ST,,,,,,G00000579,,10,10
581,MONROE ST,,,,,,G00000580,,9,9
583,THROOP AVE,,,,,,G00000582,,7,7
584,FULTON ST,,,,,,G00000583,,9,9
594,FIFTH AVE,,,,,,G00000592,,,
596,LEONARD ST,,,,,,G00000594,,,
597,LAFAYETTE AVE,,,,,,G00000595,,11,11
599,GRAND AVE,,,,,,G00000597,,9,9
602,41 ST,,,,,,G00000600,,8,8
604,46 ST,,,,,,G00000602,,8,8
609,COURT ST,,,,,,G00000607,,10,6
615,DE GRAW ST,,,,,,G00000613,,6,6
617,SAINT MARK'S AVE,,,,,,G00000615,,9,9
628,PATCHEN AVE,,,,,,G00000625,,9,9
630,EIGHTH AVE,,,,,,G00000627,,8,8
631,SAND ST,,,,,,G00000628,,2,4
632,SMITH ST,,,,,,G00000629,,10,10
635,UNDERHILL AVE,,,,,,G00000632,,9,9
638,GRAND ST,,,,,,G00000635,,,
645,SUMPTER ST,,,,,,G00000642,,9,9
647,AINSLIE ST,,,,,,G00000644,,,
650,SMITH ST,,,,,,G00000647,,10,10
652,FIFTH ST,,,,,,G00000649,,8,8
665,HART ST,,,,,,G00000661,,9,9
666,FLATBUSH AVE,,,,,,G00000662,,8,8
674,VERONA ST,,,,,,G00000670,,6,6
675,DE KALB AVE,,,,,,G00000671,,7,7
677,FIFTH AVE,,,,,,G00000673,,8,8
689,JOHNSON ST,,,,,,G00000685,,4,4
692,CONGRESS ST,,,,,,G00000688,,6,6
693,JOHNSON AVE,,,,,,G00000689,,,
701,LEWIS AVE,,,,,,G00000697,,9,9
703,COURT ST,,,,,,G00000699,,10,6
704,BAINBRIDGE ST,,,,,,G00000700,,9,9
707,LEWIS AVE,,,,,,G00000703,,9,9
712,PACIFIC ST,,,,,,G00000707,,9,9
716,SARATOGA AVE,,,,,,G00000711,,9,9
717,THROOP AVE,,,,,,G00000712,,9,9
719,IMLAY ST,,,,,,G00000714,,6,6
721,PRESIDENT ST,,,,,,G00000716,,10,10
722,CARLTON AVE,,,,,,G00000717,,9,9
728,DIVISION AVE,,,,,,G00000723,,,7
730,DRIGGS AVE,,,,,,G00000725,,,
735,HICKS ST,,,,,,G00000730,,6,6
744,HANSON PL,,,,,,G00000739,,11,11
746,FRANKLIN AVE,,,,,,G00000741,,7,7
748,LIBERTY AVE,,,,,,G00000743,,,
756,NEW YORK AVE,,,,,,G00000751,,9,9
758,EVERITT ST,,,,,,G00000753,,1,1
762,LEE AVE,,,,,,G00000757,,7,7
764,MONTROSE AVE,,,,,,G00000759,,,
772,DEAN ST,,,,,,G00000767,,9,9
778,6 AVE,,,,,,G00000773,,8,8
785,BROADWAY,,,,,,G00000780,,,
794,SAINT JOHNS PL,,,,,,G00000789,,9,9
795,SKILLMAN ST,,,,,,G00000790,,7,7
796,WALWORTH ST,,,,,,G00000791,,7,7
797,22 ST,,,,,,G00000792,,8,8
801,DEAN ST,,,,,,G00000796,,9,9
810,ATLANTIC AVE,,,,,,G00000805,,11,11
813,HANCOCK ST,,,,,,G00000808,,9,9
819,AINSLIE ST,,,,,,G00000814,,,
824,KENT AVE,,,,,,G00000819,,,
828,GRAHAM AVE,,,,,,G00000823,,,
830,HOWARD AVE,,,,,,G00000825,,9,9
836,UNION AVE,,,,,,G00000831,,,
840,RAPELYE ST,,,,,,G00000834,,6,6
849,FOURTH AVE,,,,,,G00000843,,8,8
852,HAMILTON AVE,,,,,,G00000846,,6,6
853,JACKSON ST,,,,,,G00000847,,,
854,6 AVE,,,,,,G00000848,,8,8
866,MAIN ST,,,,,,G00000860,,2,2
867,MARCY AVE,,,,,,G00000861,,9,9
877,CARLTON AVE,,,,,,G00000871,,11,11
878,KINGSTON AVE,,,,,,G00000872,,9,9
886,12 ST,,,,,,G00000880,,8,8
887,DEVOE ST,,,,,,G00000881,,,
888,LINCOLN PL,,,,,,G00000882,,9,9
891,BERGEN ST,,,,,,G00000885,,9,9
900,DEAN ST,,,,,,G00000894,,10,10
901,56 ST,,,,,,G00000895,,8,8
907,PARK AVE,,,,,,G00000901,,11,11
936,SPENCER ST,,,,,,G00000930,,7,7
942,EIGHTH AVE,,,,,,G00000936,,8,8
948,EIGHTH AVE,,,,,,G00000942,,8,8
960,3 AVE,,,,,,G00000953,,10,10
961,S  6 ST,,,,,,G00000954,,,
965,MANHATTAN AVE,,,,,,G00000958,,,
968,KOSCIUSZKO ST,,,,,,G00000961,,9,9
979,CLIFTON PL,,,,,,G00000972,,7,7
980,MAUJER ST,,,,,,G00000973,,,
990,UNION ST,,,,,,G00000983,,9,9
995,TOMPKINS AVE,,,,,,G00000988,,9,9
999,FIFTH AVE,,,,,,G00000992,,8,8
1002,MARCY AVE,,,,,,G00000995,,9,9
1004,46 ST,,,,,,G00000997,,8,8
1008,CLIFTON PL,,,,,,G00001001,,7,7
1012,BERGEN ST,,,,,,G00001004,,9,9
1020,VERONA ST,,,,,,G00001012,,6,6
1027,BERGEN ST,,,,,,G00001019,,9,9
1038,BEDFORD AVE,,,,,,G00001030,,7,7
1044,SAINT JOHNS PL,,,,,,G00001036,,9,9
1055,HENRY ST,,,,,,G00001047,,3,3
1061,BERGEN ST,,,,,,G00001053,,9,9
1064,WITHERS ST,,,,,,G00001056,,,
1067,ORANGE ST,,,,,,G00001059,,1,1
1070,DE GRAW ST,,,,,,G00001062,,6,6
1077,UTICA AVE,,,,,,G00001069,,9,9
1091,RODNEY ST,,,,,,G00001083,,7,7
1092,CROWN ST,,,,,,G00001084,,9,9
1094,SCHERMERHORN ST,,,,,,G00001086,,10,10
1095,SAINT MARK'S AVE,,,,,,G00001087,,9,9
1103,PACIFIC ST,,,,,,G00001095,,11,9
1108,PRESIDENT ST,,,,,,G00001100,,9,9
1109,KENT AVE,,,,,,G00001101,,,
1112,SKILLMAN ST,,,,,,G00001104,,7,7
1118,CUMBERLAND ST,,,,,,G00001110,,11,11
1134,DE KALB AVE,,,,,,G00001126,,9,9
1143,UNION AVE,,,,,,G00001135,,,
1145,FULTON ST,,,,,,G00001137,,9,9
1150,24 ST,,,,,,G00001142,,8,8
1153,LORIMER ST,,,,,,G00001145,,,
1161,PUTNAM AVE,,,,,,G00001153,,9,9
1169,LEXINGTON AVE,HICKORY ST ,,,,,G00001161,,7,7
1173,3 AVE,,,,,,G00001165,,10,10
1176,MARCY AVE,,,,,,G00001168,,9,9
1181,JOHN ST,,,,,,G00001173,,5,5
1183,ALABAMA AVE,,,,,,G00001175,,,
1187,SEVENTH AVE,,,,,,G00001179,,8,8
1199,PLYMOUTH ST,,,,,,G00001191,,2,2
1200,WHIPPLE ST,,,,,,G00001192,,7,7
1207,FULTON ST,,,,,,G00001199,,9,9
1208,MAUJER ST,,,,,,G00001200,,,
1210,SARATOGA AVE,,,,,,G00001202,,9,9
1211,TROY AVE,,,,,,G00001203,,9,9
1214,TROY AVE,,,,,,G00001206,,9,9
1215,PROSPECT PL,,,,,,G00001207,,9,9
1220,FULTON ST,,,,,,G00001212,,11,11
1222,CLINTON ST,,,,,,G00001214,,6,6
1234,FULTON ST,,,,,,G00001226,,11,11
1239,HUDSON AVE,,,,,,G00001231,,5,5
1241,FRANKLIN AVE,,,,,,G00001233,,9,9
1242,MARCY AVE,,,,,,G00001234,,7,7
1243,DIVISION AVE,,,,,,G00001235,,,7
1246,UNION ST,,,,,,G00001238,,9,9
1249,PENN ST,,,,,,G00001241,,7,7
1266,ALBANY AVE,,,,,,G00001258,,9,9
1274,19 ST,,,,,,G00001266,,8,8
1275,NOSTRAND AVE,,,,,,G00001267,,9,9
1283,FIFTH AVE,,,,,,G00001275,,8,8
1285,ATLANTIC AVE,,,,,,G00001277,,3,6
1288,SCHNECTADY AVE,,,,,,G00001280,,9,9
1294,2 AVE,,,,,,G00001286,,8,8
1296,BEDFORD AVE,PERRY AVE ,,,,,G00001288,,9,9
1298,SCHERMERHORN ST,,,,,,G00001290,,10,10
1299,VANDERBILT AVE,,,,,,G00001291,,9,9
1301,FLUSHING AVE,,,,,,G00001293,,7,7
1315,FULTON ST,,,,,,G00001307,,11,11
1317,SCHNECTADY AVE,,,,,,G00001309,,9,9
1318,AINSLIE ST,,,,,,G00001310,,,
1321,56 ST,,,,,,G00001313,,8,8
1322,LEWIS AVE,,,,,,G00001314,,9,9
1326,BEDFORD AVE,PERRY AVE ,,,,,G00001318,,9,9
1331,CARROLL ST,,,,,,G00001323,,8,8
1341,GRAHAM AVE,,,,,,G00001333,,,
1343,UNION ST,,,,,,G00001335,,8,8
1350,TOMPKINS AVE,,,,,,G00001342,,9,9
1351,FIFTH AVE,,,,,,G00001343,,8,8
1362,PIERREPONT ST,,,,,,G00001354,,3,3
1366,GRAHAM AVE,,,,,,G00001358,,,
1368,HUMBOLDT ST,,,,,,G00001360,,,
1378,DUNHAM PL,,,,,,G00001370,,,
1381,BERGEN ST,,,,,,G00001373,,9,9
1383,MADISON ST,,,,,,G00001375,,9,9
1398,HAVEMEYER ST,,,,,,G00001390,,,
1408,,,,,,,G00001400,,9,9
1409,58 ST,,,,,,G00001401,,8,8
1412,HOWARD AVE,,,,,,G00001404,,9,9
1415,6 AVE,,,,,,G00001406,,8,8
1419,GRAND AVE,,,,,,G00001410,,7,7
1425,FORT HAMILTN PKWY,,,,,,G00001415,,,
1436,NOSTRAND AVE,,,,,,G00001426,,9,9
1440,HOYT ST,,,,,,G00001430,,10,10
1457,WALTON ST,,,,,,G00001447,,7,7
1460,KINGSTON AVE,,,,,,G00001450,,9,9
1467,PENNSYLVAN AVE,,,,,,G00001457,,,
1470,TROY AVE,,,,,,G00001460,,9,9
1474,KENT AVE,,,,,,G00001464,,,
1481,BOND ST,,,,,,G00001471,,10,10
1483,PATCHEN AVE,,,,,,G00001473,,9,9
1486,VAN BRUNT ST,,,,,,G00001476,,6,6
1492,FRANKLIN AVE,,,,,,G00001482,,9,9
1497,PITKIN AVE,,,,,,G00001487,,,
1498,28 ST,,,,,,G00001488,,8,8
1500,FOURTH AVE,,,,,,G00001490,,8,8
1502,STERLING PL,,,,,,G00001492,,9,9
1509,HICKS ST,,,,,,G00001499,,3,1
1520,STUYVESANT AVE,,,,,,G00001510,,9,9
1524,RALPH AVE,,,,,,G00001514,,9,9
1528,JACKSON ST,,,,,,G00001518,,,
1531,MARION ST,,,,,,G00001521,,9,9
1532,ATLANTIC AVE,,,,,,G00001522,,,
1535,JORALEMON ST,,,,,,G00001525,,3,3
1538,PROSPECT  W,,,,,,G00001528,,8,8
1542,SMITH ST,,,,,,G00001532,,10,10
1543,57 ST,,,,,,G00001533,,8,8
1550,HART ST,,,,,,G00001540,,9,9
1552,NOSTRAND AVE,,,,,,G00001542,,9,9
1559,SEVENTH AVE,,,,,,G00001549,,8,8
1561,NEW YORK AVE,,,,,,G00001551,,9,9
1571,TOMPKINS AVE,,,,,,G00001561,,9,9
1575,UTICA AVE,,,,,,G00001565,,9,9
1577,ROCHESTER AVE,,,,,,G00001567,,9,9
1583,WYONA ST,,,,,,G00001573,,,
1584,BROADWAY,,,,,,G00001574,,,7
1591,2 AVE,,,,,,G00001581,,8,8
1602,TOMPKINS AVE,,,,,,G00001592,,9,9
1606,EIGHTH AVE,,,,,,G00001596,,8,8
1609,EIGHTH AVE,,,,,,G00001599,,8,8
1611,UNION AVE,,,,,,G00001601,,,
1612,SEVENTH AVE,,,,,,G00001602,,8,8
1618,FOURTH AVE,,,,,,G00001608,,8,8
1619,HOYT ST,,,,,,G00001609,,10,10
1621,SCHOLES ST,,,,,,G00001611,,,
1622,32 ST,,,,,,G00001612,,8,8
1623,FOURTH AVE,,,,,,G00001613,,8,8
1626,KOSCIUSZKO ST,,,,,,G00001616,,9,9
1637,RICHARD ST,,,,,,G00001627,,6,6
1639,14 ST,,,,,,G00001629,,8,8
1641,HULL ST,,,,,,G00001631,,9,9
1650,LAFAYETTE AVE,,,,,,G00001640,,11,11
1658,SEVENTH AVE,,,,,,G00001648,,8,8
1673,THORNTON ST,,,,,,G00001663,,7,7
1674,UNDERHILL AVE,,,,,,G00001664,,9,9
1680,STUYVESANT AVE,,,,,,G00001670,,9,9
1698,HUNTINGTON ST,,,,,,G00001688,,6,6
1700,20 ST,,,,,,G00001690,,8,8
1703,METROPOLITAN AVE,,,,,,G00001693,,,
1710,PACIFIC ST,,,,,,G00001700,,9,9
1713,GOLD ST,,,,,,G00001703,,5,5
1725,NOSTRAND AVE,,,,,,G00001715,,9,9
1728,CLERMONT AVE,,,,,,G00001717,,11,11
1731,MARION ST,,,,,,G00001720,,9,9
1734,BROADWAY,,,,,,G00001723,,,
1735,HENRY ST,,,,,,G00001724,,3,3
1738,LINCOLN PL,,,,,,G00001727,,9,9
1743,LYNCH ST,,,,,,G00001732,,7,7
1745,FOURTH AVE,,,,,,G00001734,,8,8
1748,JOHNSON AVE,,,,,,G00001737,,,
1757,MYRTLE AVE,,,,,,G00001746,,9,9
1764,MONROE ST,,,,,,G00001753,,9,9
1766,ROCHESTER AVE,,,,,,G00001755,,9,9
1770,HENRY ST,,,,,,G00001759,,6,6
1786,SCHERMERHORN ST,,,,,,G00001774,,10,10
1791,LIVINGSTON ST,,,,,,G00001779,,10,10
1796,LEWIS AVE,,,,,,G00001784,,9,9
1797,PACIFIC ST,,,,,,G00001785,,10,10
1808,SEVENTH AVE,,,,,,G00001796,,8,8
1810,GOLD ST,,,,,,G00001798,,5,5
1812,BERRY ST,,,,,,G00001800,,,
1813,HUMBOLDT ST,,,,,,G00001801,,,
1816,CARROLL ST,,,,,,G00001804,,9,9
1817,ATLANTIC AVE,,,,,,G00001805,,1,6
1827,SEABRING ST,,,,,,G00001815,,6,6
1831,MARION ST,,,,,,G00001819,,9,9
1838,RALPH AVE,,,,,,G00001826,,9,9
1844,14 ST,,,,,,G00001832,,8,8
1846,ROGERS AVE,,,,,,G00001834,,9,9
1848,LEE AVE,,,,,,G00001836,,7,7
1850,FLUSHING AVE,,,,,,G00001838,,7,7
1860,LORIMER ST,,,,,,G00001848,,,
1863,CLINTON AVE,,,,,,G00001851,,11,11
1866,MONTGOMERY PL,,,,,,G00001854,,8,8
1867,DECATUR ST,,,,,,G00001855,,9,9
1868,GERRY ST,,,,,,G00001856,,7,7
1872,COLUMBIA ST,,,,,,G00001860,,6,6
1876,RODNEY ST,,,,,,G00001864,,7,7
1888,WILLOUGHBY AVE,,,,,,G00001876,,7,7
1891,MARCY AVE,,,,,,G00001879,,7,7
1892,FIRST PL,,,,,,G00001880,,6,6
1893,NEVINS ST,,,,,,G00001881,,10,10
1897,DOUGLAS ST,,,,,,G00001885,,10,10
1899,METROPOLITAN AVE,,,,,,G00001887,,,
1900,NEW YORK AVE,,,,,,G00001888,,9,9
1908,16 ST,,,,,,G00001896,,8,8
1911,BROADWAY,,,,,,G00001899,,,
1912,2 PL,,,,,,G00001900,,6,6
1922,52 ST,,,,,,G00001910,,8,8
1932,DE KALB AVE,,,,,,G00001920,,11,11
1933,LEWIS AVE,,,,,,G00001921,,9,9
1937,FLUSHING AVE,,,,,,G00001925,,7,7
1938,GARFIELD PL,,,,,,G00001926,,10,10
1939,PRESIDENT ST,,,,,,G00001927,,8,8
1940,BUFFALO AVE,,,,,,G00001928,,9,9
1948,FIFTH ST,,,,,,G00001935,,8,8
1959,3 AVE,,,,,,G00001946,,8,8
1964,MARCY AVE,,,,,,G00001951,,7,7
1967,JORALEMON ST,,,,,,G00001954,,1,1
1968,S  1 ST,,,,,,G00001955,,,
1973,FLUSHING AVE,,,,,,G00001959,,7,7
1978,SAINT MARK'S PL,,,,,,G00001964,,10,10
1984,PROSPECT  W,,,,,,G00001970,,8,8
1986,WASHINGTON AVE,,,,,,G00001972,,9,9
1987,NEWJERSEY AVE,,,,,,G00001973,,,
1990,11 ST,,,,,,G00001976,,8,8
1991,46 ST,,,,,,G00001977,,8,8
1997,DRIGGS AVE,,,,,,G00001983,,,
2007,KENT AVE,,,,,,G00001993,,,
2012,HALSEY ST,,,,,,G00001998,,9,9
2014,FOURTH AVE,,,,,,G00002000,,8,8
2023,FOURTH AVE,,,,,,G00002009,,8,8
2030,ATLANTIC AVE,,,,,,G00002016,,,
2036,HICKS ST,,,,,,G00002022,,6,6
2037,PEARL ST,,,,,,G00002023,,2,2
2038,FIRST AVE,,,,,,G00002024,,8,8
2047,FIFTH AVE,,,,,,G00002033,,8,8
2049,PARK PL,,,,,,G00002035,,9,9
2051,49 ST,,,,,,G00002037,,8,8
2052,PROSPECT PL,,,,,,G00002038,,9,9
2061,DRIGGS AVE,,,,,,G00002047,,,
2062,FOURTH AVE,STEWARD AVE,,,,,G00002048,,,
2070,55 ST,,,,,,G00002056,,8,8
2074,48 ST,,,,,,G00002060,,8,8
2075,BKLYN AVE,BROOKLYN AVE ,,,,,G00002061,,9,9
2079,S  1 ST,,,,,,G00002065,,,
2080,GREENE AVE,,,,,,G00002066,,11,11
2084,FOURTH AVE,,,,,,G00002070,,8,8
2085,ROEBLING ST,,,,,,G00002071,,,
2088,N  FOURTH ST,,,,,,G00002074,,,
2090,FOURTH PL,,,,,,G00002076,,6,6
2103,DE KALB AVE,,,,,,G00002089,,11,11
2105,HENRY ST,,,,,,G00002091,,6,6
2119,BEDFORD AVE,,,,,,G00002105,,7,7
2123,NOSTRAND AVE,,,,,,G00002109,,9,9
2130,NOSTRAND AVE,,,,,,G00002116,,9,9
2141,JEFFERSON AVE,,,,,,G00002127,,9,9
2146,REMSEN ST,,,,,,G00002132,,3,3
2147,MALCOLM X BLVD,REED AVE ,,,,,G00002133,,9,9
2157,FLATBUSH AVE,,,,,,G00002143,,11,10
2165,METROPOLITAN AVE,,,,,,G00002151,,,
2166,41 ST,,,,,,G00002152,,8,8
2170,SMITH ST,,,,,,G00002156,,10,10
2171,MYRTLE AVE,,,,,,G00002157,,7,7
2176,DEAN ST,,,,,,G00002162,,9,9
2177,FIFTH AVE,,,,,,G00002163,,8,8
2180,PIONEER ST,,,,,,G00002166,,6,6
2184,GREENE AVE,,,,,,G00002169,,11,11
2190,THROOP AVE,,,,,,G00002175,,9,9
2198,HOYT ST,,,,,,G00002183,,10,10
2203,PARK AVE,,,,,,G00002188,,7,7
2208,COURT ST,,,,,,G00002193,,10,6
2210,MALCOLM X BLVD,REED AVE,,,,,G00002195,,9,9
2212,MANHATTAN AVE,,,,,,G00002197,,,
2216,3 AVE,,,,,,G00002201,,8,8
2219,BAY ST,,,,,,G00002204,,6,6
2221,TOMPKINS AVE,,,,,,G00002206,,9,9
2226,GRAHAM AVE,,,,,,G00002211,,,
2229,3 AVE,,,,,,G00002214,,8,8
2236,GATES AVE,,,,,,G00002220,,7,7
2243,SMITH ST,,,,,,G00002227,,10,10
2246,HENRY ST,,,,,,G00002230,,3,3
2251,PULASKI ST,PULASKY ST ,,,,,G00002235,,9,9
2252,VERMONT ST,,,,,,G00002236,,,
2258,CARLTON AVE,,,,,,G00002242,,11,11
2263,GARVEY BLVD,,,,,,G00002247,,9,9
2264,VERMONT ST,,,,,,G00002248,,,
2269,2 ST,,,,,,G00002253,,8,8
2271,BRIDGE ST,,,,,,G00002255,,11,4
2287,DEBEVOISE ST,,,,,,G00002271,,,
2288,SHEFFIELD AVE,,,,,,G00002272,,,
2294,MANHATTAN AVE,,,,,,G00002278,,,
2298,NEW YORK AVE,,,,,,G00002282,,9,9
2300,EIGHTH AVE,,,,,,G00002284,,8,8
2309,FIFTH AVE,,,,,,G00002293,,8,8
